,L1NN,L2NN,RIDGE,CVL1,CVL2,CVRR
350,229.037685974,231.087899471,58.4140807693,162.141302143,229.520104806,8.36786042016
466,228.422145745,269.184052703,58.1336676496,132.00777175,187.516127507,7.18885311214
583,198.679047279,200.001554921,58.3116005666,118.112863097,151.611950136,6.29455413504
700,197.547539276,198.857512709,58.0635897758,95.4774314542,138.976621292,5.71597558564
816,210.702352881,219.505253986,58.182892931,90.9641777163,128.924658594,5.19042185848
933,193.841602797,206.274625368,58.3162110267,80.8869360244,115.833125688,4.80426805562
1050,195.532911183,204.433428649,58.1258789867,69.4807724183,102.727764641,4.50265107655
1167,176.515860801,194.301065375,58.1940891342,66.0509545796,98.975238869,4.16384249194
1283,187.953370602,201.279181753,58.1675027368,53.9440352816,84.8451524674,3.97912312444
1400,198.499200476,207.671709626,58.1838214825,43.8033395887,66.8378487424,3.7162618622
1517,201.734763934,214.828354179,58.2519769429,36.9290313837,60.3167199799,3.57087679624
1633,187.041314295,195.620681101,58.2205603843,33.9365496222,47.4481488898,3.37314327639
1750,179.80116225,192.901946391,58.2766224354,29.2923865199,40.6464672016,3.23987240663
1867,181.016924719,197.705702878,58.2845399925,25.6516195363,37.2802349309,3.10569824124
1983,186.403502655,194.78142441,58.2888012707,24.5890043099,26.7885584457,2.98964079944
2100,177.032996531,192.631520087,58.3029122711,20.2060901522,24.1557100744,2.87665884334
2217,180.407193625,196.195957198,58.2858112668,19.9254932637,21.0111716067,2.79253238404
2334,173.90112133,191.226776368,58.3195201135,19.04571577,17.9470142623,2.68407678167
