,L1NN,L2NN,RIDGE,CVL1,CVL2,CVRR
350,0.581489748955,0.49618414638,0.600786502566,0.428480187014,0.327598353722,0.37585253755
466,0.582453649128,0.434466970176,0.566046134701,0.36200738621,0.263201824723,0.344602262392
583,0.438260822996,0.424662018397,0.590091572662,0.303133533332,0.225077107593,0.347412773471
700,0.401410689146,0.380266022911,0.577288387541,0.277370931453,0.198635718225,0.34713403234
816,0.359912214062,0.342238093065,0.564529827676,0.267169777323,0.193203220552,0.340761003179
933,0.354942657755,0.342010616019,0.564948235222,0.226115149154,0.160036486512,0.350262816718
1050,0.394271343604,0.378125745645,0.564805620038,0.196208224295,0.14198337252,0.336186753833
1167,0.351512914742,0.339882331417,0.554085121135,0.176075211347,0.131429542713,0.338897472004
1283,0.378057180853,0.34305790919,0.553262683511,0.164397131169,0.120413374103,0.33483945567
1400,0.377027930593,0.358874740308,0.554403656769,0.150884353423,0.116915856315,0.323950059346
1517,0.382288057366,0.363436540121,0.555231023871,0.176237631047,0.138606890758,0.328216766728
1633,0.335681938473,0.320494073646,0.548559379717,0.129598063414,0.100814337769,0.328206404845
1750,0.376212205323,0.357620790058,0.546049890206,0.139949486614,0.109455745344,0.331637149888
1867,0.380043987844,0.366828267303,0.541131603746,0.124928170666,0.105103386043,0.327720544005
1983,0.365396552977,0.345202748001,0.546221337634,0.123162012007,0.106913504606,0.326166995454
2100,0.357761235036,0.347391244544,0.543665003123,0.112556515784,0.0951416662178,0.326927581358
2217,0.354780279003,0.341555110614,0.542793761882,0.103682902726,0.0892465699396,0.321501133312
2334,0.363338457463,0.353799512772,0.539714527757,0.108293527042,0.0936818314992,0.323482814449
