,L1NN,L2NN,RIDGE,CVL1,CVL2,CVRR
350,0.83,0.883333333333,0.886666666667,0.872380952381,0.886666666667,0.932380952381
466,0.82,0.906666666667,0.88,0.931330472103,0.931330472103,0.94635193133
583,0.893333333333,0.91,0.89,0.928530588908,0.924528301887,0.95025728988
700,0.886666666667,0.916666666667,0.89,0.943333333333,0.938095238095,0.954285714286
816,0.893333333333,0.89,0.89,0.939133986928,0.934640522876,0.953839869281
933,0.896666666667,0.886666666667,0.89,0.944980350125,0.94355126831,0.95498392283
1050,0.83,0.78,0.89,0.950793650794,0.957777777778,0.952063492063
1167,0.83,0.76,0.89,0.954298771779,0.957726363896,0.955155669809
1283,0.883333333333,0.83,0.89,0.958690568979,0.956352299299,0.95765133801
1400,0.856666666667,0.836666666667,0.89,0.961428571429,0.959047619048,0.959285714286
1517,0.91,0.866666666667,0.89,0.962206108548,0.962425840475,0.955614150736
1633,0.8,0.726666666667,0.89,0.969789753011,0.970606246173,0.957746478873
1750,0.776666666667,0.726666666667,0.89,0.973904761905,0.972571428571,0.957714285714
1867,0.78,0.706666666667,0.89,0.973219068024,0.972147830745,0.960899839314
1983,0.806666666667,0.72,0.89,0.977979492352,0.97713901496,0.958648512355
2100,0.78,0.73,0.89,0.979841269841,0.979682539683,0.959682539683
2217,0.78,0.73,0.89,0.98150654037,0.980454067058,0.959254247482
2334,0.78,0.73,0.89,0.982433590403,0.981719508712,0.961296772351
