,CVL1,TrainL1,CVL2,TrainL2
0.1,-213655524.08746907,-229411.76470588235,-103059469.87170434,-259590.79283887465
0.15000000000000002,-214356392.86816353,-54049.44586530265,-103992067.00871865,-70417.73231031545
0.2,-214381058.9490531,-9079.283887468031,-104267527.54983029,-19565.217391304344
0.25,-214407742.0383998,-3682.864450127877,-104276110.75371733,-2762.148337595908
0.30000000000000004,-214394242.1246973,-4092.0716112531964,-104422258.48461549,-767.2634271099744
0.35,-214099463.80472702,-3214.024835646457,-104926930.94629157,-730.4601899196493
0.4,-214096703.01622918,-43144.77468839885,-104921406.54501331,-37456.056248002555
0.45000000000000007,-214051196.29286763,-33068.181818181816,-104966092.7096899,-29715.909090909096
0.5,-214034831.3537205,-21171.05599590898,-104955968.17974989,-19330.09460496037
0.55,-172816523.88349313,-18410.041841004186,-88071403.72073075,-12924.22129242213
0.6,-172740346.75913578,-13168.548902620925,-88189225.98967567,-10142.765821436182
0.65,-27668235.084911533,-38709.67741935484,-27249213.17580113,-35798.58379228953
0.7000000000000001,-27586998.938278962,-29108.83856829803,-27652883.12177365,-27647.918188458727
0.75,-27748359.876359183,-20078.404636100222,-28022221.29822855,-19498.89210840293
0.8,-27710111.088447116,-14733.141578779163,-27992766.541666012,-16107.382550335573
0.85,-27692624.229206216,-8843.435103023012,-27968326.92639606,-9655.587306361858
0.9,-27683316.9106533,-7443.181818181818,-27931294.82894785,-8607.954545454544
0.9500000000000001,-27681169.775992554,-6055.712555510698,-27958713.957708985,-6217.1982236576505
1.0,-27680862.87062171,-9311267.345576433,-27956361.1734371,-9143374.94851364
