,CVL1,TrainL1,CVL2,TrainL2
0.1,-29082482.07365101,-131457.80051150898,-30129489.537079167,-354987.2122762148
0.15000000000000002,-29034786.008295022,-23188.40579710145,-30056491.35194222,-81329.92327365729
0.2,-29011373.176637955,0.0,-29967822.321246453,0.0
0.25,-29029476.25249086,0.0,-30063334.274760853,0.0
0.30000000000000004,-29000942.735056143,-85.25149190110827,-30043904.62293213,-682.0119352088661
0.35,-28813434.90290221,-4528.8531775018255,-29886779.48106423,-9422.936449963478
0.4,-28775901.75680835,-25055.92841163311,-29855692.289185606,-33365.29242569511
0.45000000000000007,-28773242.433276318,-17840.909090909092,-29849248.53163458,-43352.27272727273
0.5,-28764141.862666648,-14318.588596266938,-29839431.116271533,-40296.59933520838
0.55,-28816288.16050293,-13063.691306369132,-29471518.470284887,-28498.372849837284
0.6,-28756788.058514953,-12955.465587044533,-29072374.384803265,-28041.764329852973
0.65,-28221640.437449984,-24744.295830055074,-27897382.98840475,-45948.07238394965
0.7000000000000001,-28074028.78676144,-18809.34989043097,-27740771.395247884,-44959.824689554414
0.75,-27893101.794465452,-15646.838247826827,-27511789.07839476,-39884.09749446054
0.8,-27850244.561948545,-12911.473314157878,-27446735.181669362,-37711.72898689677
0.85,-27840119.87510395,-9926.304707474808,-27390280.231591173,-29207.39960896376
0.9,-27748153.076114416,-8835.227272727272,-27331871.034890354,-22215.90909090909
0.9500000000000001,-27748052.13416388,-8047.369129323107,-27335758.13681034,-21343.02247342215
1.0,-27743653.104880255,-8080915.249904129,-27334223.505353063,-7908898.262956808
