,CVL1,TrainL1,CVL2,TrainL2
0.1,-7888.167140333671,-1.951140239600165e-39,-7852.512893161764,-1.951140239600165e-39
0.15000000000000002,-7887.986781992651,-1.9441253543011404e-39,-7852.284411800744,-1.9441253543011404e-39
0.2,-7887.980768920756,-1.9451274807724297e-39,-7852.26637258514,-1.9451274807724297e-39
0.25,-7887.980768920756,-1.9469313084207504e-39,-7852.26637258514,-1.9469313084207504e-39
0.30000000000000004,-7887.980768920756,-1.9451274807724297e-39,-7852.26637258514,-1.9451274807724297e-39
0.35,-7887.9567166331735,-1.9439877357645427e-39,-7852.194215722389,-1.9439877357645427e-39
0.4,-7887.9567166331735,-1.945257190334869e-39,-7852.194215722389,-1.945257190334869e-39
0.45000000000000007,-7887.9567166331735,-1.9442409404793628e-39,-7852.194215722389,-1.9442409404793628e-39
0.5,-7887.9567166331735,-1.9440290107692548e-39,-7852.194215722389,-1.9440290107692548e-39
0.55,-7887.794446686053,-1.9444020921551366e-39,-7852.194215714531,-1.9444020921551366e-39
0.6,-7887.794446686053,-1.9442120500921794e-39,-7852.194215714531,-1.9442120500921794e-39
0.65,-6819.125390025576,-1.9435888105846084e-39,-6803.794776214834,-1.9435888105846084e-39
0.7000000000000001,-6681.033548593351,-1.9439877357645427e-39,-6677.200895140665,-1.9439877357645427e-39
0.75,-6677.200895140665,-1.9438633358919096e-39,-6677.200895140665,-1.9438633358919096e-39
0.8,-6677.200895140665,-1.9448815130095822e-39,-6677.200895140665,-1.9448815130095822e-39
0.85,-6677.200895140665,-1.944012014083603e-39,-6677.200895140665,-1.944012014083603e-39
0.9,-6677.200895140665,-1.9442409404793628e-39,-6677.200895140665,-1.9442409404793628e-39
0.9500000000000001,-6677.200895140665,-1.944762151663195e-39,-6677.200895140665,-1.944762151663195e-39
1.0,-6677.200895140665,-1.9437805090421974e-39,-6677.200895140665,-1.9437805090421974e-39
