,CVL1,TrainL1,CVL2,TrainL2
0.1,-2815.1379928563206,-1214.8179507998789,-1794.9581335073563,-592.9569498058529
0.15000000000000002,-2297.6341062157917,-218.46260659098098,-1628.9831411313105,-51.21228571367362
0.2,-2167.724179216649,-2.7058823719588867,-1695.938349625998,-1.777906121057118e-08
0.25,-2152.2597295366113,-0.829803939049318,-1799.0748890107293,-8.250360352372833e-09
0.30000000000000004,-2095.7985766275683,-0.370806116363643,-1800.3197745190932,-7.395396002652267e-09
0.35,-1989.4679778590748,-0.5109244540724523,-1827.2403473992774,-8.017494002110217e-09
0.4,-1959.8273174450574,-190.50638251411524,-1839.9659296677564,-38.94298987170332
0.45000000000000007,-1986.6166975986284,-126.92658421825222,-1839.9539065979254,-27.640810457092726
0.5,-1862.665622520827,-80.85172414186442,-1857.7957065419462,-16.458252018150013
0.55,-1782.5584727459245,-49.07233200717923,-1623.6559145777442,-18.603905169876946
0.6,-1721.41890813426,-36.744705488672366,-1576.6393552549812,-11.664281919735679
0.65,-1029.2149945355948,-144.49287526926977,-936.9190321057142,-34.46150451395006
0.7000000000000001,-472.0027960865018,-102.56244269685025,-385.912088699381,-23.483451537551964
0.75,-284.36736997595915,-64.65955771272635,-202.98224991161868,-16.235982104963096
0.8,-188.06069753622523,-49.49082664834395,-131.97509156208224,-14.65714375689143
0.85,-135.091320588649,-28.085847931066233,-124.09659208772166,-10.66812638005823
0.9,-124.0039464222967,-19.0231096290573,-113.70783531105508,-4.414257429801437
0.9500000000000001,-121.28119273535049,-12.838022603097997,-109.66678214939006,-4.139277663170154
1.0,-121.2511273754025,-12.184207731473368,-109.66678214905612,-3.9273559575436883
