,CVL1,TrainL1,CVL2,TrainL2
0.1,-0.5902141846023371,-0.07561096902529127,-0.6799343551401884,-0.09587240693378798
0.15000000000000002,-0.5648105496809548,-0.04924694515487351,-0.6580317541386723,-0.05792365255280853
0.2,-0.5907327741695767,-0.03485720375106562,-0.6672420805060231,-0.039133986928104554
0.25,-0.6295554964060365,-0.02657289002557544,-0.6883944262702675,-0.027300369423131566
0.30000000000000004,-0.6324018929062507,-0.026173249976319028,-0.6862858340472725,-0.027524770294591265
0.35,-0.631619746683961,-0.025432757081405726,-0.6842110101203691,-0.02787184481779076
0.4,-0.5828252745836304,-0.02843620610063563,-0.6477768889981643,-0.03003430275913497
0.45000000000000007,-0.6052604746863739,-0.031465972222222215,-0.6628645284616436,-0.03408131313131313
0.5,-0.6203238534348681,-0.03564709224693882,-0.6626740282323885,-0.03751373618568708
0.55,-0.5445852116939477,-0.030459011312567792,-0.5688275434402202,-0.03167524148974637
0.6,-0.5216477676696589,-0.0637949191467197,-0.5407361954915153,-0.06782465610720459
0.65,-0.44479141299323394,-0.07249082087595068,-0.4472500390785633,-0.07710013987236648
0.7000000000000001,-0.19349388114886698,-0.06773374726077426,-0.19503790269477236,-0.07353591429267105
0.75,-0.1706936127141762,-0.056078063746378026,-0.17190226798956992,-0.06141874514705603
0.8,-0.1775090089476526,-0.057537729484038194,-0.17220578828924604,-0.06381687440076703
0.85,-0.18089768844446535,-0.06727812035226684,-0.17485007109872147,-0.07232656539830551
0.9,-0.17551896154503366,-0.06228756313131312,-0.1750838193807615,-0.06562095959595958
0.9500000000000001,-0.17163707657469152,-0.05855933850685565,-0.17487431038170237,-0.06298231133838723
1.0,-0.19531850671007694,-0.07723836244123453,-0.19579564958216306,-0.08147308342068259
