,CVL1,TrainL1,CVL2,TrainL2
1,-27661877.492586154,-0.0,-28062838.736067083,-0.0
2,-27693245.730647307,-8240048.829123632,-28045352.285509765,-8131039.727988547
3,-27669546.988444626,-9309827.748804128,-27944933.01973617,-9141479.47415664
4,-27684099.856836077,-9151442.18478372,-27928526.689845588,-8615536.161672972
5,-27692984.96778812,-8254173.228346457,-27919388.485530216,-7746354.432968606
6,-27591650.475508742,-8552972.071672859,-27755879.94682483,-8274825.732010772
7,-27556148.535700195,-8838266.506111598,-27643157.661878537,-8605337.134342438
8,-27539952.48108191,-9341241.835182535,-27547500.14380305,-9108171.048931384
9,-27536593.594992545,-9760121.525213389,-27482576.04163116,-9592990.270155624
10,-27542734.430923406,-9980246.190817056,-27452627.569281112,-9694949.125677472
11,-27427793.703660823,-10128369.613077104,-27284354.481985766,-9608116.016865285
12,-27330960.583052117,-10221985.923634546,-27122601.329663336,-9682523.171819432
13,-27280659.528236754,-10237894.60085644,-27014672.940626908,-9896613.53183461
14,-27235659.738381498,-10638498.051843707,-26936078.665027726,-10224490.056785574
15,-27229963.640908524,-10804507.959232368,-26868353.614889048,-10518953.199031938
16,-27317546.28860313,-10903549.39874348,-26863912.285733458,-10676394.709805451
17,-27391770.3213333,-11180087.547250994,-26861894.936929677,-10798251.036487693
18,-27421848.468436398,-11261619.680746976,-26868155.842893377,-10851814.214511063
19,-27458450.52389101,-11369903.821830884,-26871985.349917386,-10942448.471327135
20,-27511714.324061766,-11629826.79721853,-26864549.03364352,-11114753.553533081
21,-27571417.209212486,-11815931.345780294,-26928994.729091145,-11318860.24682907
22,-27611813.907606028,-11956644.9526266,-27013629.465315707,-11459144.563869786
23,-27641398.972103912,-12149643.414353238,-27110086.40675372,-11582411.31849411
24,-27667105.798564952,-12306230.764123233,-27219460.18288907,-11697863.184360476
25,-27741519.950915225,-12413404.31536967,-27329325.3706923,-11847913.528990695
26,-27814275.97236198,-12650395.258890111,-27435200.058875106,-12019539.591238562
27,-27934210.559538648,-12820767.458781457,-27541543.032429583,-12216267.43907292
28,-28064230.266961064,-12969369.037880002,-27613536.549321644,-12394331.759956257
29,-28154519.184318263,-13166338.597876323,-27696516.984939095,-12510834.933602167
30,-28305066.35534195,-13314502.78942405,-27846439.195100613,-12633812.960879892
31,-28435586.716167144,-13466157.385184482,-27932197.879058514,-12734207.622164717
32,-28512015.393716764,-13667917.495198576,-28030045.799273316,-12924576.075606849
33,-28698192.96629995,-13834886.318210974,-28150614.883695517,-13106924.697898861
34,-28858679.45434943,-13930468.92111512,-28246378.839126706,-13240300.055977589
35,-28927637.19006367,-14075785.867675634,-28312679.502724495,-13408936.955700574
36,-29065190.51753632,-14257894.392777923,-28430076.133160125,-13564119.293326974
37,-29136866.45799861,-14402135.30940281,-28554297.93916706,-13698485.432364982
38,-29231604.452160053,-14593891.519194702,-28592433.53599309,-13903420.280016622
39,-29364538.92026272,-14804132.370758658,-28694721.22197743,-14127098.202961318
40,-29384134.161851928,-14961754.572936906,-28740021.602413334,-14311662.187468044
41,-29429379.181761067,-15124777.435579734,-28776398.532493748,-14518884.646949818
42,-29465384.747824885,-15366385.686599009,-28817775.2856264,-14749246.934346562
43,-29496820.42915883,-15558271.853389876,-28853327.24493071,-14904988.13668499
44,-29527873.493884265,-15761620.35583503,-28847310.21483885,-15140829.03130253
45,-29566186.751908537,-16038353.412894096,-28865133.057862714,-15406860.379826263
46,-29544097.716432985,-16249350.738755614,-28857600.453481294,-15618921.211708821
47,-29578867.47319472,-16470377.009131318,-28850940.1248812,-15836536.436690427
48,-29589797.579901237,-16694975.12873036,-28863318.47679196,-16087802.86741501
49,-29594402.14538894,-16845290.605854608,-28839615.14697642,-16259741.622638315
50,-29634576.20411085,-17042250.414152775,-28826464.843030985,-16481814.633398099
51,-29655782.037154138,-17251740.640394155,-28845458.52812752,-16708168.566456715
52,-29679593.4323853,-17379541.992305093,-28831001.996943094,-16946236.134398613
53,-29726315.75584752,-17569080.997630402,-28832869.88111891,-17111247.89860182
54,-29758174.851460066,-17761500.324875213,-28827225.35314399,-17259050.26812726
55,-29767700.266805496,-17848371.556861177,-28804531.95792299,-17419503.25330295
56,-29786225.397939876,-18020623.802619524,-28822153.439873237,-17586690.460581925
57,-29805625.231749084,-18134543.093030013,-28818224.993029233,-17682633.11394814
58,-29855071.523292594,-18219074.51345363,-28819900.736721497,-17828870.133092355
59,-29884687.965720095,-18353186.122881908,-28826144.88174876,-17965437.87188389
60,-29914621.062992126,-18420220.100328363,-28841008.219143063,-18027713.687777665
61,-29951495.155266795,-18598387.471147843,-28857480.485348072,-18163811.390010003
62,-30021973.571177978,-18706131.89362114,-28918661.863978527,-18223043.497773215
63,-30069147.059050113,-18851123.323818702,-28938950.870937053,-18361582.6817257
64,-30104035.974828873,-18955218.158210516,-28969405.85174545,-18450341.562196415
65,-30163169.622624498,-19050137.57290559,-29043556.95788161,-18536136.03235045
66,-30247527.679203507,-19139813.75919295,-29086306.865191814,-18612665.39301859
67,-30303515.375246275,-19256271.041566856,-29116233.86646628,-18692273.01965553
68,-30389770.82869655,-19326064.392450314,-29176045.581397325,-18782258.401592143
69,-30454501.369576614,-19411690.875167497,-29218551.716307845,-18896816.869793665
70,-30507842.936029103,-19538943.049558505,-29264394.15156594,-18970429.05351117
71,-30595495.564046364,-19621667.334503964,-29346287.743905235,-19044626.87078544
72,-30701006.168618128,-19716811.770648304,-29420529.95821861,-19116808.172613215
73,-30757364.606173236,-19786623.092429385,-29503531.57568912,-19189707.67376165
74,-30841623.183158614,-19855904.57996821,-29598708.86735645,-19269600.49657698
75,-30955644.308097854,-19935676.426810287,-29719131.16315006,-19361950.619808886
76,-31054565.18331441,-20010406.542766895,-29806251.087043043,-19436623.230740074
77,-31169737.585355535,-20099501.14687572,-29928355.158877958,-19519704.41684486
78,-31305853.830535837,-20212166.135735184,-30049730.19274958,-19623724.847566456
79,-31373027.999873966,-20307079.404691458,-30140448.221510146,-19686544.66481227
80,-31492572.153179005,-20400526.355104048,-30260487.4643688,-19791654.390147254
81,-31594845.779269487,-20513511.479010005,-30375754.13202418,-19885775.94950525
82,-31680354.09969608,-20608942.595671296,-30456302.381987553,-19947729.872569263
83,-31781397.354461454,-20709647.500663187,-30543094.988890123,-20054089.502701234
84,-31890937.946445238,-20809974.135161445,-30639985.09274351,-20135854.724299304
85,-31945659.30949414,-20859759.947433434,-30722478.441374443,-20180639.464341886
86,-32053664.725562014,-20935229.303131938,-30786044.881497096,-20242011.080077946
87,-32201294.398247786,-21016116.023411892,-30871071.353352472,-20296594.46214775
88,-32331846.996568374,-21076481.819095608,-30976116.155940924,-20352735.24092147
89,-32446315.58813237,-21183715.032143462,-31073497.095428977,-20455433.848305088
90,-32526358.22037397,-21285518.025524586,-31144561.614141673,-20530435.52952345
91,-32602584.735256337,-21364162.44480621,-31226880.09588651,-20571569.195832167
92,-32707509.772687167,-21424023.265297286,-31315752.74881594,-20658804.477946553
