,CVL1,TrainL1,CVL2,TrainL2
1,-27643470.70252582,-0.0,-27277789.139993865,-0.0
2,-27671924.53216075,-6314257.5928009,-27292744.656917885,-6404623.427753349
3,-27732334.59453932,-8079430.412107578,-27323090.29553124,-7906471.918282942
4,-27774657.42918499,-10950018.854177319,-27312704.51988956,-10141427.101441866
5,-27810567.542693526,-10416457.715512834,-27349968.29941712,-8862611.718989672
6,-27845996.523161877,-8791173.120405404,-27410931.588096943,-8109635.443296861
7,-27868240.1480891,-8496734.986048823,-27456766.99967235,-8516614.110620216
8,-27871647.791185193,-9414084.86936292,-27524138.140402906,-9291118.484124143
9,-27897927.531785797,-9566884.31622815,-27561412.77794821,-9300236.460341448
10,-27931601.39073525,-9696503.988137847,-27587885.264341958,-9340734.226403518
11,-27967427.672217153,-9276721.115157375,-27619587.512116954,-8979660.412470981
12,-27997999.53983025,-8619335.757746192,-27654629.818999898,-8590771.679108294
13,-28035631.53987139,-8172666.370576727,-27696928.450108342,-8423865.504574167
14,-28068908.594217926,-8255548.515039516,-27730120.353694193,-8520362.38107064
15,-28086767.563145515,-8553194.146186272,-27744900.29655384,-8844200.15679858
16,-28122336.04854791,-8862803.704046937,-27782066.88119951,-9074855.677663872
17,-28145454.86391112,-8935165.956567474,-27814826.878159575,-9227640.898457997
18,-28173893.03609776,-8884631.60854893,-27840815.35262638,-9158387.004023487
19,-28195993.08144906,-8808016.868075324,-27858413.74147043,-9192168.106284626
20,-28223064.474895183,-8903627.288066264,-27882733.663973823,-9194220.140096124
21,-28253503.44657753,-9039147.066264212,-27905623.462187823,-9211188.350992305
22,-28287639.899633132,-9062514.050178364,-27925692.93789441,-9244035.329543235
23,-28320169.02467016,-9061816.668216355,-27942872.16289062,-9197247.400055403
24,-28350556.677574392,-8960612.434099147,-27964026.86880049,-9149707.849018874
25,-28376437.917987525,-8833720.298599038,-27989886.491461296,-9206266.366704162
26,-28402218.91978403,-8856655.45841197,-28004034.124567136,-9218150.035912
27,-28423398.464080878,-8970926.368491257,-28024065.8049057,-9205347.402562335
28,-28450939.878456753,-8983204.162762353,-28048976.513603706,-9232879.676566403
29,-28476719.021893963,-9015416.750616692,-28072340.8857754,-9278797.452231778
30,-28505472.952244606,-9065183.158923317,-28099545.96584518,-9355885.201849768
31,-28524626.98264316,-9061656.12268384,-28134065.607469298,-9348746.87407523
32,-28554560.374111615,-9061010.215408975,-28161825.563707944,-9371773.893475495
33,-28569083.77624848,-9064351.812334504,-28173672.4588615,-9399474.506896256
34,-28587828.200462047,-9044560.94303484,-28196392.523913436,-9406060.595740253
35,-28607649.169085775,-9098877.791018236,-28221875.656081025,-9430583.173856514
36,-28628966.833691247,-9122086.479246914,-28234330.08373953,-9474941.204476966
37,-28645888.489153013,-9138503.38275748,-28258978.837718997,-9488311.404463775
38,-28666868.046996515,-9143160.098566122,-28271361.705888502,-9480726.054105991
39,-28679464.99291139,-9131111.956217952,-28288488.313624598,-9519068.218947079
40,-28694579.711626954,-9127898.190638103,-28305717.289600164,-9580737.278223746
41,-28709557.454120357,-9134495.734677479,-28323011.760380313,-9564987.54843736
42,-28722913.636259284,-9177265.628786199,-28337085.29940251,-9593996.570233915
43,-28735684.064001564,-9174368.48400489,-28353889.176877122,-9678752.45743257
44,-28750514.891498815,-9146876.60309366,-28374017.27981786,-9693191.5635123
45,-28759722.08019452,-9207065.429952567,-28387311.813296065,-9743943.724206189
46,-28777375.799111206,-9209285.331052557,-28402044.87993736,-9754785.497200804
47,-28787412.569251716,-9224246.071313187,-28417545.80206262,-9768757.281507557
48,-28798796.36849371,-9214176.275284482,-28438371.206795175,-9779595.810023038
49,-28812564.442185633,-9247220.145813907,-28452026.073602714,-9838845.3012322
50,-28825586.6653032,-9253797.014009612,-28469519.950915225,-9842879.711626956
51,-28841723.7205211,-9256360.865398275,-28488555.732200667,-9900530.707882969
52,-28857275.63623535,-9297194.099056607,-28507790.097546306,-9903728.483055407
53,-28873156.768135794,-9311398.687424986,-28521168.463848494,-9929303.766678993
54,-28885264.973191485,-9321131.900109006,-28536632.731514625,-9935072.308231391
55,-28895307.265780356,-9325335.535161784,-28555458.796425804,-9962699.011797078
56,-28912693.909115955,-9361441.671527492,-28575203.417725615,-9991044.241317295
57,-28924610.48450535,-9371750.787824906,-28594305.76403333,-10027051.162485324
58,-28941728.033779584,-9391963.417082323,-28610144.539142635,-10055387.54573579
59,-28953799.112644546,-9399733.22081312,-28633776.63014499,-10107983.167443182
60,-28967345.587483384,-9416908.397813909,-28652761.785458636,-10127359.357069004
61,-28980324.139566112,-9445293.780784303,-28671752.351532146,-10137219.448494887
62,-28996722.84011514,-9448874.144344432,-28684447.78406105,-10159588.322318662
63,-29004795.203011494,-9443215.437845573,-28699676.3391589,-10190398.651724914
64,-29015921.069503207,-9453493.826105766,-28711412.79903045,-10212735.468751997
65,-29025884.75122696,-9470572.359197436,-28727813.543210275,-10238938.844317399
66,-29036946.47579271,-9476130.490027966,-28738636.25799593,-10247779.361680092
67,-29047566.6723336,-9499275.336006155,-28750857.472075395,-10233702.745580425
68,-29061153.791172452,-9514130.692278596,-28768147.53544687,-10240039.159322409
69,-29074486.89767878,-9504171.350895967,-28781490.118770383,-10268804.655561725
70,-29085381.126988064,-9508242.652414272,-28795163.584607583,-10295812.570042845
71,-29096922.659288425,-9524789.607922874,-28811255.375417434,-10365790.318955079
72,-29111853.915987775,-9540502.03458627,-28823903.93672382,-10391742.008416876
73,-29123040.483865883,-9537258.978884658,-28840032.5462567,-10404536.685980665
74,-29140589.29141926,-9559677.207221897,-28850776.017779637,-10433025.931336742
75,-29155593.087227732,-9552347.488382135,-28863290.152367316,-10454148.176932428
76,-29162940.440097343,-9561927.611643923,-28878413.828575507,-10494970.456330044
77,-29175044.83595816,-9567324.522305576,-28888658.694300387,-10532091.844884098
78,-29187733.375044096,-9590830.916845454,-28897041.480627183,-10541576.025260154
79,-29198997.287252247,-9632017.146310484,-28906574.906458203,-10567041.82297383
80,-29218043.367803458,-9652243.966663258,-28917104.142166886,-10574068.799372379
81,-29232453.61725968,-9669538.969432037,-28933508.241323926,-10594971.636464134
82,-29244536.499348268,-9680347.978395108,-28948009.28904762,-10615471.229307491
83,-29261156.750720162,-9712067.327359824,-28957971.615435924,-10616916.185484074
84,-29273477.91811274,-9699939.63750241,-28966878.212579638,-10644149.167404631
85,-29282944.42826606,-9716496.100145392,-28980041.314433053,-10655539.704281222
86,-29297114.430647984,-9730769.288733695,-28992086.634359743,-10674148.571892034
87,-29310588.43971387,-9729719.52511449,-29007957.00315863,-10698927.294665402
88,-29326067.652453944,-9757036.217741635,-29018953.18882003,-10708459.039953424
89,-29340822.022782266,-9762346.109982511,-29033121.887670305,-10724500.922476105
90,-29353684.88029905,-9781497.499049993,-29048279.760484483,-10745984.01525567
91,-29369939.662434004,-9793648.143473234,-29060049.537725408,-10772191.297126709
