,CVL1,TrainL1,CVL2,TrainL2
1,-6674.469654361386,-0.0,-6674.469654361386,-0.0
2,-6674.469654361386,-0.0,-6674.469654361386,-0.0
3,-6674.469654361386,-1.943730816320318e-39,-6674.469654361386,-1.943730816320318e-39
4,-6674.469654361386,-142.3598615336435,-6674.469654361386,-142.3598615336435
5,-6674.469654361386,-364.44124552612743,-6674.469654361386,-364.44124552612743
6,-6675.427425797628,-569.439446134574,-6674.469654361386,-569.439446134574
7,-6677.284329602585,-777.3510159995075,-6674.469654361386,-777.3510159995075
8,-6679.318372257357,-992.6288365454674,-6674.469654361386,-992.6288365454674
9,-6681.280473463545,-1195.234041057368,-6674.469654361386,-1195.234041057368
10,-6683.089597287555,-1390.8621403645564,-6674.469654361386,-1390.8621403645564
11,-6684.728098835505,-1582.5115253190552,-6674.469654361386,-1582.5115253190552
12,-6686.202354455338,-1763.9374924103947,-6674.469654361386,-1763.9374924103947
13,-6687.527082699251,-1942.4093291248419,-6674.469654361386,-1942.4090090330624
14,-6688.71894776995,-2121.817272728577,-6674.469654361386,-2121.815616743553
15,-6689.793997341241,-2297.0405937610076,-6674.469654361386,-2297.0365065446367
16,-6690.766733956174,-2465.394613462402,-6674.469654361386,-2465.3876402129645
17,-6691.649886629459,-2625.5946290838956,-6674.469654361386,-2625.5847084538896
18,-6695.969531862494,-2777.1654749161726,-6674.469654361386,-2777.152618884287
19,-6705.809130325909,-2920.0978372552813,-6674.469654361386,-2920.0824028020647
20,-6705.253314867957,-3054.644909835489,-6674.469654361386,-3054.62746403326
21,-6704.815090020054,-3181.200788952285,-6674.469654361386,-3181.181775790897
22,-6704.470004757517,-3300.2274198976097,-6674.469654361386,-3300.207189964856
23,-6714.2032877442125,-3412.2108390201333,-6674.469654361386,-3412.189671211564
24,-6712.437697928916,-3517.695165856399,-6674.469654361386,-3517.613422756193
25,-6724.294427814705,-3617.189113723284,-6676.347028223744,-3616.946026004704
26,-6736.327115835405,-3711.1122418238942,-6681.412605035788,-3710.6303850695795
27,-6732.44479975041,-3799.8607046927077,-6688.955563793163,-3799.080869231624
28,-6745.5589348420235,-3883.804758700443,-6698.415749544526,-3882.682023394637
29,-6759.5206599666535,-3963.288117447614,-6709.349519521132,-3961.7888208343147
30,-6774.075914956653,-4038.6284239754114,-6721.404000920339,-4036.727810678494
31,-6789.024505934694,-4110.118371731978,-6734.297515479719,-4107.798751517539
32,-6804.118758985194,-4178.027175530394,-6747.80457085975,-4175.2764747214715
33,-6797.889953515625,-4242.602203033928,-6761.74426573134,-4239.412818484795
34,-6811.873593931287,-4304.070648198013,-6775.971268891994,-4300.4385362057255
35,-6826.455938141081,-4362.641174189382,-6790.36875504778,-4358.565123009322
36,-6840.98609501957,-4418.505483255565,-6804.842839247367,-4413.986529959679
37,-6854.99712910714,-4471.839790408009,-6819.318167298988,-4466.880751846449
38,-6869.337323256362,-4522.806190228566,-6833.734403765036,-4517.411284651355
39,-6883.931641865772,-4572.068435951121,-6848.035205532404,-4565.728455032247
40,-6898.308020495129,-4620.8306278560885,-6862.191217660293,-4611.970627800165
41,-6912.445936654557,-4665.16413814987,-6876.172326568561,-4656.265299324927
42,-6926.330151615731,-4707.680124845682,-6889.955071275876,-4698.730085690964
43,-6939.949776416291,-4748.48538483683,-6903.521440001701,-4739.47361463561
44,-6953.297451935448,-4787.64316409766,-6916.8643427284305,-4778.596330099354
45,-6966.368680745715,-4827.8631792964015,-6929.967036601484,-4816.191217773915
46,-6979.161281324599,-4863.7269573814765,-6942.820607568087,-4852.344459461591
47,-6991.674941269971,-4902.075530637801,-6955.424849385314,-4887.136023430512
48,-7003.910850893061,-4936.876236678468,-6967.775275871056,-4920.640197310763
49,-6991.694666024814,-4971.78359035816,-6979.871151836043,-4953.400404685958
50,-7003.470876907148,-5002.601436230699,-6991.713076858574,-4985.8801703164945
51,-7015.017467190815,-5037.132352727397,-7003.302731784393,-5018.036592473951
52,-7026.334546158244,-5071.333694207916,-7014.640807821796,-5049.83455079568
53,-7037.083586280927,-5104.553720948246,-7025.7343049687515,-5081.2455574124415
54,-7047.623089558651,-5137.43741182447,-7036.585129492792,-5112.245352513894
55,-7058.269738523011,-5162.5889526468845,-7047.197510473193,-5142.828824384602
56,-7068.042771006544,-5193.660758702433,-7057.576006823503,-5172.991864809305
57,-7077.629199275205,-5217.034957341017,-7067.725423900362,-5202.719298263318
58,-7087.333853447302,-5247.003832779638,-7077.649087962278,-5232.004412644671
59,-7097.136694951168,-5276.281456913165,-7087.355438621427,-5260.8405688823395
60,-7106.733202224012,-5305.2426613452435,-7096.847969003874,-5289.2234801349405
61,-7116.127697296699,-5333.326953973255,-7106.131887025902,-5317.150865024389
62,-7129.796588865355,-5361.107279637134,-7119.684397252645,-5344.622149086713
63,-7058.891140894287,-5388.575693859748,-7048.9383675847475,-5371.638207479592
64,-7017.054217428185,-5415.554963762256,-7007.254316176065,-5398.201143053537
65,-7001.740226336353,-5442.050885407748,-6992.073621575276,-5424.314094786194
66,-7010.592777136656,-5467.887849406044,-7001.061153454146,-5449.981072327748
67,-7041.768516138893,-5493.437214980872,-7032.089035181407,-5475.206813034366
68,-7092.777876755636,-5518.524113477986,-7083.215167518331,-5499.998460020574
69,-7162.119778351568,-5542.975216496395,-7152.665438242499,-5524.359969505068
70,-7248.175486967336,-5567.161056157405,-7238.815062378567,-5548.297612028116
