,CVL1,TrainL1,CVL2,TrainL2
1,-121.03262732220111,-0.0,-107.55266388239698,-0.0
2,-117.80769220788295,-1.5417220875384783,-115.61812783216946,-0.027047772053725022
3,-121.20364004644244,-9.05062295079537,-109.62587206740497,-3.9032131048030783
4,-128.55855702601423,-12.73203462975343,-113.38199883856653,-7.321905537287448
5,-156.0231882359063,-15.555977370929629,-113.70975511317732,-9.052957119216998
6,-236.27632273806125,-15.386228379014733,-144.0952471816328,-11.971100933704578
7,-356.6770453868086,-13.65426006359843,-202.5102736340161,-12.979997375810028
8,-478.36441313479133,-27.22528108169927,-284.55273361079765,-12.881605777560974
9,-599.8730608823795,-62.139849813079834,-377.2712450896479,-18.386067535232794
10,-706.2608177324994,-116.25131988767073,-465.8940044076686,-35.26563532900908
11,-815.6782013915919,-195.6160245564511,-539.26668953424,-70.88006964578699
12,-927.7812017897907,-276.22868509531065,-598.707234301015,-113.28477304940265
13,-1025.3255754053353,-375.7585181490432,-664.5281351294227,-160.10546659645155
14,-1111.0628125433711,-443.15735194316187,-744.2799323590924,-210.91814671896032
15,-1200.5613538966836,-536.4812521741749,-810.761463611779,-265.0809033083612
16,-1264.0636211453584,-619.0751054308071,-870.7299051698362,-307.9570877109979
17,-1334.407081482617,-696.681056699595,-932.2886238309671,-348.4717755100915
18,-1381.9050251692122,-781.285723913556,-981.551406076105,-387.039455119782
19,-1445.5792818542595,-864.5086350277653,-1019.7604828047181,-423.60805633565695
20,-1498.917111869322,-964.483176244467,-1056.478996809589,-460.80779424406757
21,-1558.8919677177212,-1069.8237798424616,-1089.8068865051682,-492.034887991668
22,-1599.2697306494856,-1155.1216676460797,-1123.7676437261691,-529.6188425551895
23,-1645.9673445887904,-1258.5565315810036,-1155.0050709404193,-568.7677530634262
24,-1702.0524487648643,-1321.6476589380839,-1192.3145938726745,-607.9048997546392
25,-1747.2549312198364,-1405.893928202551,-1224.8663892356246,-648.8149022993578
26,-1788.983486787131,-1490.2170982096225,-1255.1820370086868,-684.5547728372502
27,-1822.7311772789656,-1587.9474692528024,-1283.1328331857512,-723.9906462821483
28,-1854.1072115984791,-1670.6861221991255,-1310.1235347921722,-763.1033616015654
29,-1889.4400318629866,-1752.3756841057725,-1345.4520665990556,-801.5293259065438
30,-1931.0685159231664,-1814.750113308147,-1373.415591177283,-835.4430969037528
31,-1961.4771009650694,-1910.429779287041,-1402.35653561634,-867.1900944213886
32,-2004.0213441306673,-2054.508309698003,-1434.347189041399,-898.2686723210326
33,-2046.271763647748,-2143.6288503117407,-1465.7557211196386,-929.2159099588865
34,-2082.435377243837,-2234.990033305319,-1488.024645627815,-964.0660905374408
35,-2117.5426311411593,-2350.1553297507658,-1513.3178893788368,-999.2867953209904
36,-2154.0322614434936,-2413.077684109986,-1539.9959661049268,-1035.6125044811138
37,-2194.4237965601874,-2521.8321574597167,-1568.4609674454623,-1074.850953640971
38,-2241.597302510224,-2627.913486091654,-1595.9442784843054,-1112.5919758124658
39,-2282.2495772290586,-2763.932453818259,-1621.9684284020116,-1155.1122396753365
40,-2323.454769485714,-2925.429005123454,-1652.9314299886935,-1194.0311471123707
41,-2357.1128308310417,-3088.1357452817338,-1678.1348761633071,-1230.070261843387
42,-2396.1952886816207,-3181.0920277468686,-1703.820938142524,-1268.5466271137166
43,-2436.152835982332,-3300.469138798136,-1729.5702964673258,-1300.8125511814865
44,-2479.439643119142,-3430.9292715586053,-1753.7163889905294,-1336.2905096977156
45,-2520.0412460254142,-3559.75531652534,-1788.737552617085,-1376.9146898622075
46,-2554.488144595051,-3666.5671099762326,-1813.8769940587565,-1415.1890562872095
47,-2598.6229982947652,-3785.543827892575,-1840.7036963378696,-1460.2367683724904
48,-2634.348938642351,-3894.915217039731,-1866.2442311497189,-1508.130424446413
49,-2680.607864354702,-4039.320031254755,-1895.508922146549,-1564.2939667253208
50,-2720.7344050825004,-4111.667662259811,-1925.815706660683,-1622.5947234773676
51,-2758.369520662167,-4264.731020736667,-1959.3397407099508,-1679.5646138942882
52,-2800.59488148382,-4363.521589059641,-2000.9814663558775,-1736.1376909068222
53,-2837.6948261192424,-4530.426798634491,-2035.4815715676655,-1803.6354330102477
54,-2875.96860510924,-4609.4431671592565,-2073.7275617915657,-1868.4351192611562
55,-2922.747968478173,-4786.75080611847,-2111.113841730666,-1936.4679326994446
56,-2959.766010218377,-4876.1830419915705,-2143.260531455379,-2009.5845942877843
57,-3005.430771732581,-5053.052861074737,-2176.197148378349,-2079.1157542748674
58,-3044.7980238484542,-5217.487244881681,-2210.679247300038,-2169.2335127345787
59,-3084.906375476008,-5344.258171873445,-2240.041902313868,-2246.401037012321
60,-3139.450420410986,-5476.85645252896,-2273.972385663971,-2335.680244288936
61,-3185.3112218898727,-5617.449293713684,-2306.672391761182,-2416.829703092703
62,-3229.519749584355,-5746.108112562872,-2342.178923985677,-2500.8330172412634
63,-3278.1281167005645,-5896.608866004105,-2373.033523508605,-2591.9158051185523
64,-3319.3494915284527,-6016.4672103800185,-2402.5783095377647,-2699.631502936076
65,-3364.3160069148935,-6150.336669854505,-2438.8593070543893,-2796.4421247427367
66,-3405.7231571163775,-6320.838149342422,-2470.2493470638015,-2906.971329813574
67,-3448.5391068904078,-6474.447586000898,-2503.211900979395,-3004.993974244743
68,-3499.989279128028,-6622.274947358004,-2533.0946023883544,-3127.2975142705664
69,-3551.529453876962,-6773.714756737221,-2558.8586847810066,-3237.974800261941
70,-3602.683309678696,-6912.254657903323,-2593.4819792979883,-3354.3362316428716
71,-3660.013278640941,-7047.4833452262865,-2623.0812521912335,-3468.868705351037
72,-3726.2497283496145,-7181.856731860073,-2652.536087153323,-3602.043619238685
73,-3790.5305706619956,-7334.756365067317,-2678.600840858719,-3738.277028890358
74,-3852.790307245651,-7485.363975284393,-2712.3679976702842,-3865.286617729283
75,-3921.331954364262,-7657.961345523786,-2739.6997706850693,-3969.0281260368047
76,-3986.568996225295,-7833.092010816699,-2769.753643857358,-4081.2685097224994
77,-4059.634621149272,-8017.62132781271,-2799.931758566033,-4189.617919191974
78,-4129.655672386631,-8161.13178827134,-2835.919264067871,-4292.155534754776
79,-4202.969660317695,-8328.48398958964,-2874.416007478926,-4410.631251928452
80,-4277.477110918208,-8468.964234183546,-2903.709708659076,-4539.010255529653
81,-4355.4759653774745,-8630.056352240552,-2933.6181550866804,-4655.449658947656
82,-4449.491109129238,-8771.590663361714,-2966.5329505302775,-4789.216810638901
83,-4548.151736215785,-8926.080841359617,-2997.7221328297683,-4907.676059113744
84,-4649.329069452255,-9118.572311301617,-3027.6395384504353,-5045.581547217184
85,-4755.508168234867,-9271.719781710097,-3062.397453520736,-5172.265857409427
86,-4855.016382531469,-9439.56714127773,-3091.619209136696,-5285.858403645417
87,-4965.303130473397,-9614.832568329175,-3121.1988560598074,-5418.598915815351
88,-5089.199971133537,-9770.563847049585,-3154.1153059178023,-5530.737684065964
89,-5209.7509938444255,-9958.262044420686,-3193.066972109646,-5640.125572351162
90,-5327.213314492954,-10141.87343915717,-3226.355775896464,-5753.321610373242
91,-5456.920515194932,-10294.581155959337,-3257.420767985537,-5874.648226449295
92,-5581.4071903350805,-10466.850252558146,-3294.9282740831904,-6002.05687471774
93,-5708.6106157669665,-10623.319753747097,-3331.8519358467092,-6126.554746921305
94,-5844.35505126203,-10800.03417590899,-3366.240311661808,-6250.856128865306
95,-5979.5662758189965,-10931.275083960638,-3402.903963976849,-6382.609661516178
96,-6116.57471995326,-11066.685563863852,-3441.6333126495365,-6526.52737618886
97,-6260.071593833812,-11204.756206803662,-3480.431391149307,-6673.962583295786
98,-6393.373027984503,-11344.075546003649,-3516.321701334692,-6795.595613439339
99,-6546.754916271696,-11472.979390233655,-3552.9768820247386,-6897.526945203805
