,CVL1,TrainL1,CVL2,TrainL2
1,-0.23104577686880048,-0.03891886317619389,-0.24281548747315676,-0.03891886317619389
2,-0.22252010190203497,-0.07511458525922896,-0.22261024404335825,-0.0756545177676654
3,-0.19529938088420767,-0.085721657588256,-0.19577615083341857,-0.08970127377259661
4,-0.1839993181690357,-0.09003934209147153,-0.18688049211320176,-0.09376972096456694
5,-0.17961551008078538,-0.09059430846507824,-0.17593216822578997,-0.09558438925043464
6,-0.17930820675256504,-0.0895589887315222,-0.17390802382088602,-0.09642449417970482
7,-0.1789443619313356,-0.09617557577983643,-0.1727969803076564,-0.10150054327578256
8,-0.18356518011491463,-0.10209836310748799,-0.1788023560787146,-0.10879584623459711
9,-0.18412778059686985,-0.10458656883293628,-0.18362555170881417,-0.11188611093562802
10,-0.19034377380304737,-0.1063229973995296,-0.1926525272543205,-0.11499837320482668
11,-0.19361164286348126,-0.11029661033974808,-0.19721879903131945,-0.11919685111543624
12,-0.19817337424157205,-0.11371149819127724,-0.20382500301524809,-0.1225449891753588
13,-0.20336714706916348,-0.1164033250976764,-0.2111861366804002,-0.124338327708633
14,-0.21110860345158616,-0.11952618986802205,-0.21903301352648635,-0.12737934667425618
15,-0.21667055573826,-0.12276177700605609,-0.2267068716533161,-0.1331399797307155
16,-0.2247525651100253,-0.12578551784635764,-0.23545368086189158,-0.13823200314009934
17,-0.2306341974561689,-0.1285468644878811,-0.24104101476223144,-0.14280173094665463
18,-0.23846662488716686,-0.1306718397135333,-0.2502465053061549,-0.14647468758987192
19,-0.2445786675452713,-0.13391335579067476,-0.2558661720881906,-0.15077374320573314
20,-0.25333247793792824,-0.13782056391169856,-0.2613169369828204,-0.15493706355378878
21,-0.26123105999574725,-0.14139654105249833,-0.27050405439649367,-0.15846099890435775
22,-0.2706506096691426,-0.1460630142760376,-0.2788364951768802,-0.16263168394176591
23,-0.2777736092659109,-0.15056625314458996,-0.28614593119104226,-0.16635161242011787
24,-0.28448274002645974,-0.15553154814827838,-0.2917089679979633,-0.17006073697126645
25,-0.2914483274653032,-0.15989683016128442,-0.2974683802314347,-0.17390508785634526
26,-0.2995391979277537,-0.16464376589930363,-0.3054601957669829,-0.17756219816358687
27,-0.30557021555400415,-0.169183357852154,-0.3092820556424554,-0.1813908204154054
28,-0.31135934810928667,-0.17374760928001173,-0.3130889224679186,-0.18541206596666432
29,-0.31774526508404105,-0.17782544919851184,-0.3177521484793727,-0.18957133408688745
30,-0.32454589133199263,-0.18229863562929635,-0.3260780329961028,-0.19325521946540775
31,-0.33011774539519,-0.18674992327886458,-0.32970314467558226,-0.19689090260564937
32,-0.33715378213259123,-0.19059013880559186,-0.3348746451585909,-0.200597492733652
33,-0.3441156568512145,-0.19474956662216625,-0.33893459815372445,-0.2037394308680987
34,-0.3515405895779425,-0.19869653323403977,-0.34521134581677215,-0.2071857858553797
35,-0.35585510826214445,-0.2029285140362835,-0.3503959078514351,-0.21001768011686853
36,-0.3616203647680088,-0.2065474375069436,-0.3558541827945434,-0.21339693248800023
