,CVL1,TrainL1,CVL2,TrainL2
0.1,-49192.60856658902,-58648.35432208418,-24167.73551640386,-6403.4890753887585
0.15000000000000002,-16321.257393495101,-6310.947592182563,-12115.728846038033,-614.1102643367865
0.2,-15184.742054339735,-13.042061936296147,-11416.15818353149,-11.124566234904051
0.25,-14823.753770147465,-8.919118088130578,-11418.748960665125,-6.799822203563923
0.30000000000000004,-14812.26064952783,-6.261488975812884,-11419.249392673732,-4.9022517840488335
0.35,-14559.638826970553,-5.109451965100705,-11419.109231879182,-3.9874790932662854
0.4,-14494.782790462434,-3746.860854781139,-11417.895946163804,-1098.207073075107
0.45000000000000007,-14474.920539706236,-5124.65476756933,-11417.317690636675,-1274.749011823039
0.5,-14442.950391690363,-3320.68202195888,-11417.93288037628,-487.0835265045941
0.55,-18903.643664822353,-1325.1471571619018,-13298.26671679706,-403.4188441414436
0.6,-16224.534401949213,-759.9050094150078,-11941.784571008182,-144.08763524364107
0.65,-22471.283710947948,-3873.063513047363,-16416.238175407787,-808.0044818032087
0.7000000000000001,-21728.555521711496,-4467.101884690583,-16478.849238185583,-858.8588223020167
0.75,-19971.543546713634,-3032.311836288948,-15090.594091456873,-254.07916053343124
0.8,-14806.620746849201,-775.7898542025132,-14514.273836970315,-18.12679490427481
0.85,-14688.942650392535,-17.43304210196786,-14496.88315910962,-6.092876681822977
0.9,-14689.022210804731,-229.47520680368325,-14292.135224344911,-8.423256273210242
0.9500000000000001,-14685.225064597744,-217.40433338248081,-14332.182870102493,-8.76853418323328
1.0,-14682.047197966032,-207.0264168016291,-14332.293780289503,-8.706081995598108
