,CVL1,TrainL1,CVL2,TrainL2
0.1,-0.6170865341555367,-0.05259306621199204,-0.44678225920291315,-0.10881642512077297
0.15000000000000002,-0.608138774584502,-0.04712513024533483,-0.36199271477828515,-0.05059676044330774
0.2,-0.6334790062221618,-0.041421568627450965,-0.34729138541289445,-0.042515629440181855
0.25,-0.6643889961628344,-0.027323103154305188,-0.3478925531781838,-0.027232168229610675
0.30000000000000004,-0.6870804619829137,-0.02976442171071327,-0.3502673143664977,-0.03053888415269489
0.35,-0.6766954815059122,-0.030915753591429274,-0.3500295891808128,-0.0323046018991965
0.4,-0.6755871629012704,-0.034396647846312266,-0.34835392625603,-0.036708213486736974
0.45000000000000007,-0.6968431336263615,-0.03868251262626262,-0.3528887819706402,-0.04030732323232323
0.5,-0.7433580830653114,-0.035187420097161845,-0.3562772531795204,-0.03706457569817324
0.55,-0.6546882575513471,-0.03155230125523013,-0.3648567534953635,-0.03310584224391756
0.6,-0.6512774313138784,-0.054946184624854975,-0.35032530885624114,-0.055922958543457156
0.65,-0.597254013599583,-0.054742634845703284,-0.4694784126207308,-0.056820264009091695
0.7000000000000001,-0.4223444153834139,-0.05861748234721207,-0.3450301476751331,-0.059170521873224566
0.75,-0.38055718990396864,-0.052719618203511155,-0.3136830583656237,-0.053107020434445006
0.8,-0.38300434416732776,-0.05093309896665601,-0.3170501975359239,-0.05049731898725187
0.85,-0.4287289556442591,-0.05812242442472552,-0.35319175257660007,-0.057210942330509176
0.9,-0.4044855665284396,-0.054480808080808074,-0.33160420170028787,-0.054008996212121206
0.9500000000000001,-0.37213709160033964,-0.049882683652566574,-0.3025397774674786,-0.04878153082432453
1.0,-0.38254315044188403,-0.0497982708196628,-0.3130833299151611,-0.04871323666112744
