,CVL1,TrainL1,CVL2,TrainL2
1,-25110389.61038961,-0.0,-25091982.82032928,-0.0
2,-25110389.61038961,-5118845.229573576,-25091982.82032928,-5103653.236527252
3,-25110389.61038961,-6063003.488200339,-25091982.82032928,-6112471.736487485
4,-25110389.61038961,-7311039.600163616,-25091982.82032928,-7409899.401779323
5,-25110389.61038961,-6848641.9879333265,-25091982.82032928,-7229414.050516413
6,-25110389.61038961,-6676950.892502074,-25091982.82032928,-6824825.1638999665
7,-25110389.61038961,-6789520.859985266,-25091982.82032928,-6890277.166189107
8,-25110389.61038961,-6991636.254985172,-25091982.82032928,-7055941.382682279
9,-25110389.61038961,-7114604.045706408,-25091982.82032928,-7122862.483098704
10,-25110389.61038961,-7069030.831373351,-25091982.82032928,-7168199.458022293
11,-25110389.61038961,-7005352.167192472,-25091982.82032928,-7190705.2893745145
12,-25110389.61038961,-6886394.172319368,-25091982.82032928,-7041212.355557828
13,-25110389.61038961,-6927122.090507918,-25091982.82032928,-6952627.626764514
14,-25110389.61038961,-7052081.485523958,-25091982.82032928,-7072148.695350928
15,-25110389.61038961,-7087308.5182534,-25091982.82032928,-7127473.497630979
16,-25110389.61038961,-7070984.18006698,-25091982.82032928,-7143035.398717916
17,-25110389.61038961,-7044437.51899682,-25091982.82032928,-7163791.947365497
18,-25110389.61038961,-6992433.079703421,-25091982.82032928,-7120689.143655024
19,-25110389.61038961,-7015276.74345416,-25091982.82032928,-7056508.038169871
20,-25110389.61038961,-7064940.177932304,-25091982.82032928,-7125722.977809592
21,-25110389.61038961,-7102565.217381223,-25091982.82032928,-7158882.853001446
22,-25110389.61038961,-7080964.52256015,-25091982.82032928,-7172003.287107894
23,-25110389.61038961,-7121511.442578529,-25091986.299873713,-7197612.993856091
24,-25110389.61038961,-7109925.1354234135,-25091997.20063401,-7182390.154000637
25,-25110389.61038961,-7124649.923305041,-25092009.326106966,-7193296.165252071
26,-25110389.61038961,-7151016.419982199,-25092026.386696283,-7223335.416854496
27,-25110389.61038961,-7196706.577502728,-25092040.893878166,-7249087.866541934
28,-25110389.61038961,-7187001.05885999,-25092052.08057249,-7261987.793762561
29,-25110389.61038961,-7215861.076764389,-25092055.04673498,-7299730.95055908
30,-25110389.61038961,-7234347.013441501,-25092069.74128234,-7305592.028269193
31,-25110389.61038961,-7240554.070132019,-25092088.16616209,-7340122.641703181
32,-25110389.61038961,-7272041.387116206,-25092091.571383834,-7348428.21771302
33,-25110389.61038961,-7261668.690737476,-25092112.124226395,-7373351.410525224
34,-25110389.61038961,-7257015.487781706,-25092118.164373837,-7390520.003319026
35,-25110389.61038961,-7298727.510638164,-25092151.110981256,-7433022.344841402
36,-25110389.61038961,-7319833.126919741,-25092176.688141257,-7465691.117840068
37,-25110389.61038961,-7322392.81398677,-25092201.30852393,-7481207.326174338
38,-25110389.61038961,-7356738.331956176,-25092215.454621937,-7517950.99326699
39,-25110389.61038961,-7382309.560686301,-25092238.167647008,-7555971.100035304
40,-25110389.61038961,-7395494.187161264,-25092284.231516514,-7561219.609622661
41,-25110389.61038961,-7418318.135372336,-25092303.105046272,-7601596.912832494
42,-25110389.61038961,-7459101.6597183235,-25092348.556152187,-7619717.989796731
43,-25110389.61038961,-7469966.312289039,-25092366.087726425,-7672829.12341105
44,-25110389.61038961,-7530554.58219629,-25092368.35511076,-7716822.36570776
45,-25110389.61038961,-7546890.174081774,-25092394.587040257,-7744531.024531025
46,-25110389.61038961,-7579019.837946018,-25092413.413953092,-7760291.127200352
47,-25110389.61038961,-7634911.686339632,-25092419.03375601,-7801430.259712946
48,-25110389.61038961,-7655558.580301751,-25092426.213058595,-7817623.116712685
49,-25110389.61038961,-7680997.120920447,-25092427.84913519,-7866961.888131709
50,-25110389.61038961,-7743630.136005727,-25092438.940586973,-7902037.600981696
51,-25110389.61038961,-7776360.970370997,-25092454.136060927,-7943987.567376665
52,-25110389.61038961,-7816960.154094845,-25092464.092539806,-7982545.382766839
53,-25110389.61038961,-7853158.468949107,-25092481.16008865,-8024587.164152622
54,-25110389.61038961,-7894350.450161181,-25092514.635165554,-8056715.728996278
55,-25110389.61038961,-7922812.672458017,-25092531.98158645,-8102753.082799286
56,-25110389.61038961,-7961660.998891836,-25092542.184835896,-8144552.298722691
57,-25110389.61038961,-7986759.351505136,-25092558.70528146,-8201718.906579638
58,-25110389.61038961,-8022036.432932371,-25092568.291951295,-8221447.216237468
59,-25110826.91045798,-8050256.025882429,-25092596.468127754,-8283623.501679564
60,-25111250.639124654,-8094423.864630557,-25092626.291031804,-8324592.998318392
61,-25111661.415206734,-8118046.650101894,-25092678.825532578,-8354510.501761051
62,-25111648.49309171,-8151443.752667565,-25092739.634369094,-8389385.00672351
63,-25110151.467615712,-8194831.758172055,-25091686.60400649,-8446123.636988172
64,-25108722.443741053,-8221925.382246476,-25090719.388225887,-8479043.239878662
65,-25107377.589097757,-8228935.806773481,-25089831.888281316,-8534014.961416537
66,-25106530.85860511,-8274351.112994797,-25088983.77043591,-8573519.894113535
67,-25105702.157124445,-8303076.351138281,-25088289.00159327,-8618958.066611387
68,-25104498.429124482,-8333126.648012779,-25087680.980641026,-8676547.238963798
69,-25103400.84873821,-8360077.707892631,-25087132.313908428,-8706322.970154595
70,-25102349.42223131,-8389784.518470442,-25086585.93696196,-8749234.208664548
71,-25101359.028783284,-8427748.044316592,-25086021.467204425,-8821460.536536284
72,-25100476.826444674,-8463611.053116465,-25085549.182456993,-8844662.227156896
73,-25099903.696423553,-8490777.530774841,-25085152.876890406,-8875092.993896583
74,-25099375.741879467,-8521666.43784541,-25084930.030742973,-8904415.032966321
75,-25098871.35017214,-8566935.2876345,-25084720.628103305,-8914640.283600915
76,-25098515.063796323,-8592435.51887291,-25084577.99466549,-8940072.127076253
77,-25098435.907497335,-8615474.425346626,-25084534.324268814,-8970658.700130017
78,-25097894.063672382,-8657243.960696414,-25084297.701423682,-8989133.116025908
79,-25097426.5361591,-8682345.260476036,-25084078.68860969,-9007253.89381243
80,-25097002.05798139,-8710637.251220727,-25084006.62452705,-9021284.281048676
81,-25096647.064583946,-8742841.390835622,-25083957.058990274,-9021053.777275221
82,-25097016.704505686,-8763785.709692838,-25083923.492649786,-9022768.186590515
