,CVL1,TrainL1,CVL2,TrainL2
1,-15302.220634109288,-6.821411800797627e-08,-14741.930281462739,-6.821411800797627e-08
2,-14738.386991154146,-3.05354623133525,-14838.712261865596,-2.4304500776754923
3,-14676.044147697192,-12.642047980535605,-14326.436631738286,-5.675072464289515
4,-14468.57816475212,-500.61413076690184,-14512.392962383949,-87.21371667814485
5,-14595.70033696576,-740.6030899632432,-13976.206451871818,-206.18444057884847
6,-14555.858558489512,-876.8669133746967,-13762.095385073158,-316.0935611374902
7,-16872.70790233306,-908.0583601830479,-13457.716164322592,-248.10178811137743
8,-20130.076851562044,-1042.0794422596232,-13686.811448453456,-196.72468551127204
9,-21968.514942512946,-1698.0087151997604,-14142.00101802453,-290.07429550970966
10,-23542.68129829468,-3641.674756931584,-14478.577944617158,-683.6813961531253
11,-24964.737675016986,-6425.417957804483,-15065.539374364585,-1209.1929746823937
12,-26067.720885190258,-9364.364935457768,-15509.3097706909,-1857.608978233089
13,-27246.520061272477,-12221.59088686951,-15711.92510571802,-2550.3910166287455
14,-28856.642165134377,-15170.71294887597,-16190.281711660959,-3270.388037884343
15,-31201.898684920958,-16894.39959278282,-16912.13560695028,-3867.6935251044088
16,-33384.144661157196,-18395.368861436273,-17751.028437799414,-4251.672015608896
17,-35388.26436409333,-19645.734173329573,-18871.25420589234,-4655.552927155014
18,-36929.363858648394,-20452.26659337457,-20043.071984610655,-5083.1005771478085
19,-37712.64772024701,-21430.601180287096,-21153.139293596287,-5543.04235145377
20,-38397.33042246489,-22424.146222696316,-22341.255405140797,-6056.602302454314
21,-39433.59572001677,-23846.615827999358,-23220.34932715708,-6545.180254008877
22,-40216.285670912,-25719.125022394393,-24243.084847868045,-7195.739114121036
23,-41213.7469440318,-27874.142244901843,-25193.8561238632,-7971.751343930428
24,-42066.4972686727,-30043.06612328866,-26222.59878212115,-8783.858849086495
25,-43094.1984998151,-31558.945116527102,-27261.55752066335,-9786.454903257882
26,-44052.9722549363,-32830.02268359743,-28289.44290679604,-10745.757599929626
27,-45402.91798500488,-33814.40485746605,-29297.16411164546,-11777.780997054866
28,-46461.952867710526,-34762.70427949631,-30270.319909681242,-12713.84035972064
29,-47679.4767207005,-35741.948359609145,-31370.9143753327,-13695.558457876621
30,-49140.54994654067,-36657.59105657065,-32362.525536961723,-14626.464815090643
31,-50686.539239861246,-37852.63298689367,-33468.284528664204,-15582.704910251708
32,-52065.548221149234,-38934.27936768488,-34484.03541047703,-16495.650019291865
33,-53752.78201571449,-40050.60138053291,-35598.16582974079,-17407.20803778888
34,-55624.61474329319,-41046.771514959575,-36579.30116664175,-18454.776745143863
35,-57340.82168129203,-42212.51791626629,-37598.70926640776,-19465.240920981687
36,-58806.763479729045,-43393.44886698737,-38780.96051213727,-20534.53449071484
37,-60459.29357019135,-44711.151545926354,-39785.04626056435,-21654.411964073046
38,-62177.95591576013,-46063.97938381063,-40877.04437264699,-22831.51207394339
39,-63833.196472665775,-47544.8588600705,-42081.59585427956,-23832.055801916522
40,-65267.35962241214,-49007.55798329109,-43065.55634515951,-24807.799371384895
41,-66820.09074972106,-50206.540107059285,-44451.643802656974,-25756.251423350805
42,-68409.27590960432,-51745.08347729137,-45953.85681791735,-26750.61002054394
43,-69917.20178150992,-53190.47977191041,-47298.390522585076,-27841.038624612658
44,-71504.7635060172,-54601.44406317448,-48699.409480775554,-28930.024848619887
45,-73412.52513165916,-56146.62127042782,-50322.267742583776,-29932.500767429283
46,-75292.89153943633,-57684.649213889425,-51968.886236946,-30946.828216434
47,-76844.72173479851,-59148.943398920994,-53758.82004715403,-32088.30164608182
48,-78778.45491406869,-60422.59591423942,-55453.07194245894,-33082.70987032653
49,-80719.43392147192,-61920.21674959391,-57424.81233713184,-34104.99852949716
50,-82673.72676706377,-63376.92870218765,-59417.41335131598,-35224.05433746662
51,-84963.36460841233,-64983.17320501492,-61371.39161148311,-36495.30383915232
52,-87321.74009745671,-66589.54806894356,-63332.06457025606,-37722.59868231442
53,-89716.0497181677,-68171.25501328307,-65353.88821530062,-38995.40183596562
54,-92360.58983071633,-69841.05053208243,-67339.95577106632,-40268.9612619051
55,-95019.5136483395,-71470.01133189166,-69264.21248131915,-41508.72334026413
56,-97813.04429738165,-73006.67876369193,-71150.87490608841,-42795.88367144094
57,-100874.50190351343,-74473.03705278154,-73162.81427626654,-44159.33060462683
58,-103917.4917606808,-75855.29011007135,-75063.031827646,-45625.69955856148
59,-106870.38988827386,-77355.01894470668,-77002.39434833,-47116.921092025514
60,-109770.56331170278,-78813.15859027689,-79216.64847450903,-48664.526805779
61,-112563.4635311876,-80300.59566947224,-81354.50236987439,-50236.211810366585
62,-115550.11308840489,-81916.58297826552,-83496.92777960195,-51906.10666901073
63,-118393.64057330183,-83481.65286780833,-85784.78687686044,-53594.66691015301
64,-121216.52326635433,-85169.80542091269,-87972.82134477925,-55210.43932007495
65,-124091.80267698143,-86867.19440189062,-90145.12342524038,-56907.95256569447
66,-126779.3297304553,-88617.8974981174,-92239.68883082009,-58601.92728489425
67,-129498.19442619552,-90537.48148165944,-94442.81917732408,-60337.632642887285
68,-132250.5774453628,-92696.77632721321,-96903.89406136834,-62073.613262173734
69,-134947.7728416955,-94640.74009697403,-99422.30254968132,-63836.799243698595
70,-137841.78319499464,-96810.24134049988,-101813.7332711937,-65607.68543883708
71,-140589.98748855275,-98900.79484243058,-104445.79658045316,-67352.88929842893
72,-143532.72889150766,-101023.10824635973,-106988.86938917177,-69021.18230985022
73,-146393.9524061332,-103317.60936510754,-109556.28953413368,-70680.73937368675
74,-149221.93408447228,-105665.35726206182,-112495.1924251504,-72612.3619601078
75,-152190.8982329674,-108001.00616373762,-115333.3095372625,-74448.24211185353
76,-155110.9641692048,-110262.81464399771,-118018.3744070932,-76182.9095480012
77,-158136.34023361816,-112692.32103911103,-120779.5738134773,-77954.53115324143
78,-161145.89690115975,-115106.11228213353,-123523.68763647895,-79796.21266286493
79,-164240.8879301878,-117452.60394439416,-126508.06424753451,-81854.4612942668
80,-167126.54155126645,-119901.9253782106,-129310.12279865527,-83753.7930243909
81,-170075.59179309587,-122261.04480050114,-132138.74153905234,-85751.39620727183
82,-172949.60830486243,-124600.9899612194,-134917.22539479603,-87648.22413144377
83,-175764.2237654901,-126875.76459072431,-137619.2801962791,-89546.94957434252
84,-178665.77255962047,-129305.01164951768,-140235.68947906682,-91461.1853929234
85,-181394.32078556414,-131522.03561429263,-142904.04883664867,-93293.13983648767
86,-184225.52530410452,-133843.95379242022,-145555.60384083717,-95125.77621307028
87,-186997.4994697118,-136063.52266332525,-148088.10093241284,-96909.97414476649
88,-189782.7513569662,-138347.8647109012,-150694.09857623512,-98880.56155751525
89,-192747.63134397677,-140635.90180947754,-153367.68973204884,-100889.87153408979
90,-195653.6563711858,-143006.58861001438,-155971.0720702619,-103004.7297513229
91,-198495.34571778768,-145106.3341840524,-158526.8400820905,-105018.44108943091
92,-201235.68783195157,-147284.7825844327,-161131.72175801912,-107191.21798615559
93,-204129.89987104895,-149476.61759852208,-163471.99990010116,-109245.40175699435
94,-207054.075291376,-151711.98309276992,-165897.03349981442,-111358.17237000953
95,-209762.3388950083,-153871.1512890872,-168330.50118740884,-113493.79818499628
96,-212585.0868968689,-155957.09972010064,-170757.96822749975,-115536.90717005878
97,-215344.00660648997,-158168.7166639057,-173070.81144418046,-117590.56802036504
98,-218147.925304784,-160309.53949933237,-175384.27332588265,-119759.70818542206
99,-220961.8829215797,-162572.99187741405,-177602.5532872696,-121877.11241733514
