,CVL1,TrainL1,CVL2,TrainL2
1,-0.32956793158809694,-0.06570718417016057,-0.36850309878310666,-0.06570718417016057
2,-0.2843327026280806,-0.10919936128438491,-0.319646211166786,-0.11725258758564272
3,-0.25941834430923405,-0.12185576551794663,-0.2913511345286384,-0.13186269646975946
4,-0.24371450818079557,-0.12225979110210655,-0.27760141123836796,-0.13409918718682892
5,-0.23975687786890276,-0.12253125362920543,-0.27155821951937825,-0.13471005962981902
6,-0.2536564000863528,-0.12333801882151095,-0.28871109789969435,-0.13847673742202682
7,-0.2806501407597705,-0.13145516943011995,-0.32118568273747783,-0.14834142759474175
8,-0.3106530424458661,-0.1368921978841778,-0.35433793374354483,-0.15580832061688313
9,-0.34045284034697676,-0.14534552006756732,-0.3909042896670744,-0.16583706373319496
10,-0.3716444749095,-0.15618304348910936,-0.42594463035381935,-0.18006816559873196
11,-0.41035180532072857,-0.1779374786585185,-0.47120801914204746,-0.20447513807289863
12,-0.4549947775185772,-0.19956966796479986,-0.5199407765236731,-0.23093332396589628
13,-0.5064315812981688,-0.22323852265360322,-0.5709852535695679,-0.2565089315675239
14,-0.5580923936814833,-0.24455012225906822,-0.6247940870268651,-0.2827568820509797
15,-0.6114181406951404,-0.26961778730840463,-0.6768313040810807,-0.3117884115099249
16,-0.664669853890112,-0.2934304856101084,-0.7293167919225829,-0.33879748237813495
17,-0.7161043849764925,-0.316153668972882,-0.7794722245508081,-0.3644639144278875
18,-0.7702529819675319,-0.3379500567706814,-0.8295461496687915,-0.39297384437866983
19,-0.8261994408681163,-0.3656904032191771,-0.8834439631005895,-0.42320529079640673
20,-0.8833231983188465,-0.39797961607705296,-0.9374053815226505,-0.4581599367839248
21,-0.9377813723562848,-0.4330787478573527,-0.9889067088988646,-0.49462794761369117
22,-0.9827999945973368,-0.46881635830638096,-1.034218331713936,-0.5309713611468411
23,-1.0218681004177192,-0.5025445079960897,-1.073436564576575,-0.5669215681500673
24,-1.0484551573801855,-0.5340251815650174,-1.1036096193900833,-0.6003193894925065
25,-1.0706462071955005,-0.5645766008761632,-1.127063941305246,-0.6306388315883423
26,-1.0913118827892279,-0.5938522485865135,-1.1499483680997984,-0.6586706498890268
27,-1.112511324673922,-0.6245523899961438,-1.17450824016246,-0.6896791209328351
28,-1.1314630816202618,-0.6539845573939158,-1.196340040512938,-0.7201996848602847
29,-1.147502225918847,-0.687530772124231,-1.2123476311433938,-0.7512688353572332
30,-1.1616791825659292,-0.7229977914357296,-1.227591778537001,-0.784108647086955
31,-1.1727238782932146,-0.7598210209664811,-1.240451033704601,-0.8189396870258306
32,-1.1844470561291258,-0.7963434575356592,-1.249772745273174,-0.8531805624477716
33,-1.1959342023319586,-0.8322106355557922,-1.2595159213447307,-0.8881533203639739
34,-1.2047320789099125,-0.8666784857917944,-1.2687264340097824,-0.9222894824094319
35,-1.21274349141029,-0.9016606106665889,-1.2776591483771762,-0.9580832150598432
36,-1.219584837507922,-0.9363902894537961,-1.2839527892631635,-0.9921146502763541
37,-1.226852274128062,-0.9600058684055688,-1.2890554570035029,-1.0160634837228537
38,-1.2314262995440934,-0.9825524980553615,-1.2935094308668245,-1.0385856084764147
39,-1.2365199918557115,-0.9932152168123954,-1.2971571165017768,-1.0509494106912671
40,-1.2406536780882502,-1.0043132811400066,-1.3010315839855813,-1.063247467724077
41,-1.242922982285609,-1.0152960634443573,-1.3032045181256515,-1.0763786642496374
42,-1.2445520572711923,-1.0268457438000562,-1.3044572846327882,-1.0897821109922137
43,-1.2468825355141488,-1.037898953511158,-1.3057253040993961,-1.1036760537281163
44,-1.2493607793230923,-1.0493794652572896,-1.3064292738485404,-1.116948651581089
45,-1.2528557945840608,-1.059133584691762,-1.3069400711872128,-1.1294099116487206
46,-1.2562648678163113,-1.0697272054038387,-1.3092288182661003,-1.1401467206015223
47,-1.2588576273333751,-1.0793269363924627,-1.310206159877151,-1.1501418703464261
48,-1.2633993833218469,-1.0875406479497236,-1.3125570277935341,-1.1598339993065052
49,-1.268190700579389,-1.0952019088997627,-1.3164787625825625,-1.1678605768658108
50,-1.2758515196368134,-1.1017329108265057,-1.3220705664509664,-1.176089414083158
51,-1.2840257663329204,-1.107923298282823,-1.3278773132987975,-1.1824117709387854
52,-1.294110021667952,-1.1140038514682622,-1.3359572143717502,-1.188459395950166
53,-1.305726304390978,-1.118614873167562,-1.3452315624452773,-1.1941807998000378
54,-1.317775337271183,-1.1247067126024932,-1.3563093492691218,-1.1984962693248502
55,-1.3307032522290725,-1.1297712816881174,-1.3670217614862001,-1.2027010434301535
56,-1.3432843884506716,-1.1334265022972947,-1.3781464113914317,-1.2062609007959515
57,-1.356189683542579,-1.136964706854479,-1.3897981566820958,-1.2094061175017439
58,-1.3695780122498233,-1.139772245836707,-1.4032034844846675,-1.2118976426533223
