,CVL1,TrainL1,CVL2,TrainL2
1,-0.3891056653032008,-0.03891886317619389,-0.3155254014725432,-0.03891886317619389
2,-0.4004008693117906,-0.039638313017690975,-0.3246937213416505,-0.03862005961754781
3,-0.3824853837474861,-0.047111679983183906,-0.31309672323914056,-0.04623769832180068
4,-0.3901161597300338,-0.058916690152367314,-0.3210107885264342,-0.0559077551896922
5,-0.3801421884650782,-0.06877727405665202,-0.315895161161673,-0.06694383505470908
6,-0.38479644827351134,-0.07965091939643909,-0.32246087658360895,-0.07617356997420777
7,-0.386327330220318,-0.08354964634128527,-0.3282851774189172,-0.08043197018809571
8,-0.3940660664178341,-0.08925457937928213,-0.34117618631761937,-0.08732619649248391
9,-0.3976602045716508,-0.09480401137105335,-0.3451771200077263,-0.09397844537488369
10,-0.40657024859392576,-0.10035280840781266,-0.3558705655997546,-0.10079255071275182
11,-0.41482985180843757,-0.10635472353221058,-0.36283926614629597,-0.10940292978206796
12,-0.4137792046903228,-0.11311707097266252,-0.36323031591505606,-0.11968383813528992
13,-0.416707152731581,-0.11726637778212097,-0.36799568297783375,-0.12591739994711526
14,-0.4217541667776222,-0.1218088755026911,-0.37053322435831887,-0.13479050092868727
15,-0.4265642407085478,-0.12615145861630933,-0.37375287485655206,-0.1405050086357387
16,-0.429080701733306,-0.12994589342236873,-0.37778215462342774,-0.1438352697433595
17,-0.42812091640090283,-0.13325984932580973,-0.3779263684482425,-0.14706247495958252
18,-0.4300925746415536,-0.1365834241351144,-0.37981555952096896,-0.1498690375729549
19,-0.4323744447188687,-0.13871821928044692,-0.38049955435087734,-0.15289944022509652
20,-0.4358340700480621,-0.1414511073558135,-0.3821903309131813,-0.15844337882861234
21,-0.43318796693571926,-0.14361283920122234,-0.3804599276994365,-0.16269945281236875
22,-0.4339922626584713,-0.14647786640498825,-0.3816032970980993,-0.16935271903488586
23,-0.43554221188627845,-0.14960389399799848,-0.3845340053420673,-0.17186988781484805
24,-0.4391185210825919,-0.15276731723218545,-0.38945412969969667,-0.17373836232278492
25,-0.43726397106043563,-0.15556180816819717,-0.3900006058901729,-0.17376158139785258
26,-0.4380063155312283,-0.15848805136217511,-0.39281119980504053,-0.17387775544640097
27,-0.4389815610350895,-0.1613007159786845,-0.397868133715188,-0.17455550633275219
28,-0.44225820839324587,-0.16386775394913822,-0.40387550096729563,-0.17730093261526159
29,-0.4443957930843581,-0.16621824799738918,-0.40789331502556075,-0.17975169093469848
30,-0.4475488374066879,-0.16899581321130316,-0.4134349273272659,-0.18235121999522788
31,-0.45124810093503476,-0.17170179452454926,-0.4197392084379033,-0.1848718897529257
32,-0.45675638523717915,-0.17455100952295738,-0.42605224255100216,-0.18767507789631324
33,-0.46016569842640814,-0.1766526747052937,-0.4310083417248464,-0.19085253562303586
34,-0.4643477201477923,-0.17837563244617818,-0.43663375833922774,-0.19406271532512118
35,-0.4696562548839559,-0.18075874830880836,-0.44325672093887153,-0.19689659773291796
36,-0.4729059821827827,-0.1829320372164654,-0.44889352326035004,-0.20014740945315865
37,-0.47490878934824865,-0.1850504875499451,-0.4538447780439308,-0.20291245222552076
38,-0.47868358766439134,-0.1874431561913723,-0.46020576320080997,-0.20580499091161206
39,-0.48208831864151724,-0.19037878256180865,-0.4648448863352139,-0.20901240904347687
40,-0.4860422291134063,-0.19335784738783363,-0.4701412325902445,-0.21235586287043667
41,-0.4877357277073168,-0.19661821391302214,-0.47466015040552056,-0.21603716606601372
42,-0.49008659908721985,-0.20004100835870703,-0.47916377591970766,-0.22046686271631402
43,-0.4914106772074418,-0.20339687474262874,-0.482940157953122,-0.22444469512145954
44,-0.4938133376302231,-0.20694445858620136,-0.48847331135533306,-0.22857263504334216
45,-0.49628556508845495,-0.20986107025965192,-0.4932392188110325,-0.23205964439369323
46,-0.49914821062088416,-0.21291519309040766,-0.4981382838092352,-0.23656694190388303
47,-0.5007447414621394,-0.21636550063719198,-0.5015275714017218,-0.24052182400193212
48,-0.5033388583664258,-0.22027649269622548,-0.505843364053215,-0.24496220410019767
49,-0.5071010094134517,-0.2236345431566993,-0.5105337578349496,-0.2491585875299768
50,-0.511593524184477,-0.2272660906166684,-0.5157525527150016,-0.253793538934615
51,-0.5146089963550482,-0.2305562846706917,-0.5195460095995786,-0.25784221679403163
52,-0.5179583086017556,-0.23408336597964421,-0.5240041979637564,-0.2619150058926537
53,-0.521306743448474,-0.2371530901436157,-0.5282014543886608,-0.2662860961558379
54,-0.5252797158953616,-0.24070522323324908,-0.5323780870725895,-0.27068112573126735
55,-0.5275158589125458,-0.24420443537088668,-0.5360095997418992,-0.2749352177958334
56,-0.5305780859395707,-0.24793230343147335,-0.5403481506842026,-0.279898267201388
57,-0.5343853029120856,-0.2513114023060767,-0.5445838959612862,-0.28506502529663647
58,-0.5378486407198371,-0.2551309955978371,-0.5487215470021848,-0.2893024462355877
59,-0.5390451972403093,-0.25863293779895646,-0.549956881098505,-0.2928521798275059
60,-0.5410386337195919,-0.26193409759558467,-0.5514788175602482,-0.2970765281934645
61,-0.5432091379219807,-0.2652152259471818,-0.5537721694267005,-0.3014625645326071
62,-0.5446503192528342,-0.26851845850507455,-0.5549920489718194,-0.3057287062501683
63,-0.5477516134990703,-0.27173954102297204,-0.5574351937699449,-0.3097346858696363
64,-0.5514662691587103,-0.2751309246050859,-0.5605718328886258,-0.31401827510336844
65,-0.5549055744094307,-0.2789099832467714,-0.5635303725065486,-0.31803767052799414
66,-0.5580970810427904,-0.28223436058704066,-0.5659334188277649,-0.3216724394534267
67,-0.5611023432685471,-0.2852210313095394,-0.5680591602538398,-0.3252282550717482
68,-0.5641559046903257,-0.2883231430253056,-0.5697827774892159,-0.32877120621958517
69,-0.5674691589864422,-0.29118959755219637,-0.5720505191141578,-0.3317516171986707
70,-0.5704686417979803,-0.29399518274060826,-0.5743742658445107,-0.33504619933620766
71,-0.5740027107106936,-0.29705563299066073,-0.5766943703989288,-0.33843767008136305
72,-0.5775425074660412,-0.2999389603062362,-0.5791665139349295,-0.34181389770946
73,-0.5807054215311509,-0.3027066046365722,-0.5817201569071104,-0.3449928036894981
74,-0.5840924976318868,-0.30562743014465565,-0.5842233025476247,-0.3479900705310891
75,-0.587354437270123,-0.308657529048578,-0.5865993510195407,-0.35058068951526516
76,-0.5905238119004445,-0.31128321286974336,-0.5892524970613366,-0.35353493513063566
77,-0.5944334461999978,-0.31413538181248674,-0.5927066912712763,-0.3559970103960885
78,-0.5986525386302572,-0.317395519678854,-0.596069161027982,-0.3587325165848856
79,-0.6031217382226521,-0.3205756262281701,-0.5989724077753834,-0.3615417149464469
80,-0.6076120665373185,-0.3236472898514994,-0.6017332805501585,-0.3646168781801405
81,-0.6118168449493291,-0.327213312076435,-0.6041286308450283,-0.3676097725120842
