,CVL1,TrainL1,CVL2,TrainL2
0.1,-25724245.524296675,0.0,-26851065.329839595,-12531.969309462915
0.15000000000000002,-25724245.524296675,0.0,-26672825.9562027,-6138.107416879795
0.2,-25724245.524296675,0.0,-26672315.127171166,-3836.317135549872
0.25,-25724245.524296675,0.0,-26660555.442235578,-3887.468030690537
0.30000000000000004,-25724245.524296675,0.0,-26659226.198881794,-2557.544757033248
0.35,-25776112.53196931,0.0,-26601854.246099614,-2848.7947406866324
0.4,-25776112.53196931,0.0,-26602467.743032128,-2492.8092042186004
0.45000000000000007,-25776112.53196931,0.0,-26593979.62332439,-2329.5454545454545
0.5,-25776112.53196931,0.0,-26589684.674083024,-971.6185118895424
0.55,-25776112.53196931,0.0,-26579249.78687127,-883.3100883310087
0.6,-25776112.53196931,0.0,-26543564.71529663,-383.5499680375027
0.65,-25718005.115089513,0.0,-26307356.15772049,-472.0692368214005
0.7000000000000001,-25808644.501278773,0.0,-26253758.440159205,-474.7991234477721
0.75,-25819590.792838875,0.0,-26267569.234148715,-715.8684165672405
0.8,-25819590.792838875,0.0,-26267057.986704953,-671.1409395973154
0.85,-25819590.792838875,0.0,-26266648.779543824,-421.11595728681004
0.9,-25838209.718670078,0.0,-26240254.917651244,-397.72727272727275
0.9500000000000001,-25838209.718670078,0.0,-26239539.171229973,-242.22850222042794
1.0,-25838209.718670078,-6789594.7846094845,-26239539.171229973,-6796429.332310708
