,CVL1,TrainL1,CVL2,TrainL2
0.1,-93845.0330861488,-85548.53055436704,-307886.75856240897,-64167.74374471478
0.15000000000000002,-75135.33674775933,-59689.20155284319,-408082.7508869757,-36879.69492954405
0.2,-55917.59293079828,-28858.62117739119,-394231.30306701286,-21860.50367013006
0.25,-49514.44240023244,-18648.633388514292,-395660.78115529136,-13608.854122912206
0.30000000000000004,-42779.95381604405,-12143.215926548068,-390921.18958983483,-8988.183272269787
0.35,-58188.58483646639,-6638.42648181196,-555358.1146648027,-6316.421816495751
0.4,-58143.57306757034,-11939.387350582107,-555139.9804622198,-10706.748085629179
0.45000000000000007,-59056.73541221714,-8697.936731302474,-582903.7075083595,-7143.749740979007
0.5,-57756.35994567707,-10271.373479678621,-597223.5927149958,-7573.841649690233
0.55,-76095.34974666251,-8750.317776512684,-578397.165972701,-7383.460022218751
0.6,-72411.0756970781,-7311.257669538643,-468232.2596377271,-5480.225247276314
0.65,-85471.31611094848,-10536.517618857517,-320570.4340257404,-8387.22114439852
0.7000000000000001,-63188.300990264295,-9628.081186144791,-131948.71831520117,-7599.278415688602
0.75,-36044.80040461237,-10368.417363937366,-38476.761161112154,-7485.2563991543475
0.8,-31334.3539766866,-8092.775893664378,-32725.86938965202,-5919.211625912792
0.85,-24412.79763629408,-5954.601191218559,-26938.96385903086,-4040.9631002174597
0.9,-25623.186357602077,-5723.388917188922,-25430.597680332874,-3962.451464802678
0.9500000000000001,-20854.16723929368,-3215.0938668875015,-20606.522583070513,-2385.8447533349945
1.0,-20824.816761934144,-2990.8432326182183,-20599.525524566165,-2252.329203303055
