,CVL1,TrainL1,CVL2,TrainL2
0.1,-0.650403250723673,-0.03250923557828929,-0.6794900926469514,-0.03438476840011366
0.15000000000000002,-0.6078503230293744,-0.0378800795680591,-0.48777762872774205,-0.03898361276877901
0.2,-0.6392359067522088,-0.03642014776925262,-0.47720795030659746,-0.03190181869849388
0.25,-0.6733831018967672,-0.022423984086388172,-0.4888399505204525,-0.021366865586814436
0.30000000000000004,-0.6765404544863612,-0.02767329733825898,-0.48509649342426825,-0.0273978402955385
0.35,-0.6707739981996884,-0.027399480561642726,-0.4754959845420158,-0.02778191705218732
0.4,-0.6670340786394396,-0.026103050317815412,-0.481038233298547,-0.02789758886403181
0.45000000000000007,-0.6831926394873287,-0.026120138888888887,-0.4906913005681922,-0.02727979797979797
0.5,-0.6868979188733786,-0.0261651183272252,-0.4883682039341443,-0.027593795278274946
0.55,-0.6204262756465136,-0.032130636913063684,-0.44371365092916,-0.033916421302753234
0.6,-0.5528873567539812,-0.04324440656296611,-0.436280135307565,-0.04685536378057153
0.65,-0.4613142778733966,-0.04837192936445493,-0.33472153798807647,-0.051493181222134796
0.7000000000000001,-0.25436330368768784,-0.05101558315071828,-0.2743163299529344,-0.05349760571382193
0.75,-0.2272667536243739,-0.04212711398973543,-0.23716338699821193,-0.044937408859345114
0.8,-0.22600038706387932,-0.043647136110223354,-0.24035579859264722,-0.045963033983168214
0.85,-0.23907675136378562,-0.04905071773533196,-0.2564376847717358,-0.05166491201684463
0.9,-0.21855880557025226,-0.0448176452020202,-0.2408397346313643,-0.04724864267676768
0.9500000000000001,-0.19977318800251742,-0.051860015849519284,-0.21812332137722706,-0.055337609713063896
1.0,-0.21126484509509869,-0.04379033334753647,-0.23336899949850967,-0.04702975556407744
