,CVL1,TrainL1,CVL2,TrainL2
1,-25860466.305348195,-0.0,-26247008.896615196,-0.0
2,-25844130.27916965,-6214049.238163412,-26238955.9259638,-5188413.948256468
3,-25827640.863073934,-6789421.208712547,-26228806.62644442,-6796025.496812898
4,-25819568.718682893,-7687917.028837305,-26228141.936803356,-8361958.661417323
5,-25816400.44994376,-7811280.294508641,-26238369.976480212,-8132712.9563350035
6,-25797908.78412926,-8103815.858244993,-26239313.83577053,-8190861.085546125
7,-25788153.915825456,-7498691.49009435,-26240416.260583386,-7911015.587337296
8,-25782093.644544434,-7957340.027098886,-26239665.354330707,-8152659.717251252
9,-25771091.1136108,-8299938.202169173,-26236839.713217665,-8520042.633559693
10,-25764566.92913386,-7314444.984149708,-26238323.959505063,-8475488.035586461
11,-25767397.923869587,-8371069.647473631,-26235252.383459583,-8525547.66116294
12,-25757675.88710502,-8458447.310563453,-26233759.842519686,-8514867.45974935
13,-25749693.37143777,-8410987.104960455,-26238872.877576694,-8453377.78514641
14,-25744775.87333123,-8437404.913903387,-26243973.967539772,-8576808.566252967
15,-25735619.183965642,-8472536.387497017,-26247467.021167807,-8471180.76149572
16,-25723770.723616935,-8454903.763805093,-26243444.977758463,-8455501.3453574
17,-25716616.285656963,-8370395.6044500405,-26236569.890072327,-8538151.982339107
18,-25714001.658883546,-8401740.502134202,-26240458.579041258,-8450029.841598082
19,-25712620.520143367,-8278602.9705239255,-26244875.884470627,-8319202.576384073
20,-25710685.652929746,-8382638.562225176,-26254330.197361693,-8358674.1359034665
21,-25710707.659687247,-8362468.142317088,-26257372.628977966,-8304531.101052071
22,-25709386.110733155,-8248233.48058202,-26258250.729552872,-8263440.949952631
23,-25707054.93098807,-8295532.883531336,-26258151.557743713,-8266243.72159701
24,-25705040.77615298,-8368809.500730022,-26259805.770017385,-8250736.5467810845
25,-25702643.54228449,-8341309.949892627,-26262032.764086306,-8259007.505879947
26,-25704569.506810572,-8381589.8290080605,-26267355.751456298,-8323889.503894046
27,-25706974.12823397,-8400649.168292798,-26275826.001547787,-8308796.557557129
28,-25709659.756120466,-8345722.547378702,-26279168.34491236,-8334195.542927261
29,-25707502.815796282,-8397631.837205086,-26282205.042983834,-8462811.882192167
30,-25709234.0730136,-8417168.280101351,-26284837.917987525,-8524198.026383067
31,-25710882.884271007,-8358671.595432842,-26289601.174510267,-8508514.257707192
32,-25710983.03763166,-8372889.989869874,-26293578.315139584,-8497433.290365515
