,CVL1,TrainL1,CVL2,TrainL2
1,-19268.53776854274,-6.919915942325391e-08,-17493.213768922622,-6.919915942325391e-08
2,-18595.49482305344,-780.1849420870698,-17552.25474202003,-648.2576051958696
3,-20818.431803703315,-1057.982220778423,-20593.854230439534,-782.260683698995
4,-29240.059800044557,-3336.9087275234647,-29489.74422978513,-2280.8858248708248
5,-38306.263237421415,-7513.441206790815,-36723.03995432937,-6432.970059214186
6,-49507.35994146428,-14103.03193378939,-46845.68018705823,-11808.456093583047
7,-60025.99838539112,-19441.806429886605,-56701.28987178965,-17240.689879017482
8,-70449.87532046404,-26222.474540475414,-69160.53160229065,-23200.374469332815
9,-81531.68717395084,-32469.134229995037,-82323.72491886838,-27975.635094807167
10,-92633.95988341245,-38969.067073834514,-93772.12372438061,-33692.10222170436
11,-104643.667465304,-46325.865755744395,-103659.51607802212,-40301.42350176479
12,-116746.54137207688,-54201.42183511201,-113584.34291148222,-47656.37804592046
13,-122938.52399334944,-61325.34576203883,-120481.74723835233,-54910.48010656881
14,-129740.1625419212,-68459.40934772386,-128036.17234928509,-62414.3810154889
15,-137567.7468490774,-75920.12056172818,-135041.90683026577,-70231.98753177933
16,-146775.56163501897,-83411.53440654768,-143597.04407560604,-77480.3803547318
17,-156537.5020419501,-90461.84744940576,-151576.25490809447,-84704.17621820245
18,-166726.66029474424,-97964.21266619638,-161697.88114263705,-91303.43129142417
19,-168805.30859551058,-105014.92050373144,-165287.39484859895,-98666.85261640567
20,-170990.45349504426,-112324.37959638407,-169200.0397018867,-105404.07012361723
21,-174709.4249848746,-120360.75042664385,-173686.1670530691,-111398.44221411675
22,-178288.66567554005,-128926.53081653117,-178498.548760779,-117482.87544880214
23,-182222.71594904654,-138533.19305741868,-184538.02411601422,-123451.80645352948
24,-187075.11062055777,-147914.84397943967,-190326.58431021252,-130314.26808464117
25,-190592.8970905278,-151467.90967556043,-194675.29969538626,-134797.59161665823
26,-193802.56955681264,-155098.241364483,-199414.29407310905,-139360.2879105963
27,-197409.25363175894,-159685.92397154222,-203926.08304821336,-143620.14491576442
28,-201346.17746565014,-163973.49576788454,-208569.15548452677,-148130.95734721914
29,-204533.36713828932,-167003.95448474705,-213606.5419668238,-152508.8601557757
30,-208316.0234160496,-170395.24798050863,-218102.70630295898,-157093.5369781825
31,-211730.0937580873,-174242.50399327435,-220283.0544134598,-161685.01571863441
32,-214604.3272140374,-178240.7479456989,-223561.08691274707,-166462.36388713736
33,-216963.77167108108,-182864.2489478829,-227207.86121276428,-171812.8103186762
34,-220059.27286319848,-187882.08021340994,-230826.32849184464,-177374.54989671125
35,-223126.056026153,-192592.4108675047,-234102.5576792346,-183188.69721912954
36,-226155.739189686,-198261.85581941798,-237840.86051172606,-189072.87658932144
37,-228155.31003353695,-199558.0016217108,-240883.72555650867,-190922.3987463632
38,-230537.5524226904,-200823.93601429625,-243882.56884418128,-192652.63023376488
39,-232564.28954755314,-202315.31155448518,-247215.22411566027,-194037.1002044221
40,-235373.750182805,-204008.2207096617,-250465.71960631158,-195136.02051664144
41,-237961.22134130594,-205269.69800681176,-253797.6370251097,-196690.51178049142
42,-240276.48109289497,-206819.85475638832,-256725.85817112203,-198332.7496647523
43,-243033.2550049108,-208562.09355772435,-259316.38341617023,-199888.1727293318
44,-246181.05509791593,-210013.53890058296,-261884.95300317253,-201474.03734169228
45,-249460.2309526094,-212008.8964337601,-264899.0689955848,-203275.3852373037
46,-252837.3083465793,-213521.91454074302,-268059.84366656095,-204982.3933386914
47,-255964.6480722302,-215038.12303713168,-271326.01516434347,-206877.28596243498
48,-258869.77363695193,-216815.93837498745,-274280.72166950966,-208586.97931031516
49,-261557.71693183066,-218975.35839813977,-277409.98194162553,-211273.94531900232
50,-263648.5931611699,-221455.75843978673,-280925.182302587,-213745.4852082583
51,-266307.0135100618,-224054.94022508163,-284247.0862727708,-216446.11978272712
52,-268583.9477148898,-226440.35347544868,-288185.4086445651,-218972.5165182972
53,-271136.0855910376,-229048.87620636338,-292305.1987716974,-221493.91205055342
54,-273131.3448330958,-231593.020536879,-296231.0389394326,-224092.1398376907
55,-275459.82174293767,-234582.536878561,-298249.27927851287,-226742.9231155704
56,-277857.68903385935,-237686.0198219131,-300469.7828271762,-229707.71349553208
57,-280197.2136788268,-240871.41882058347,-302755.6782513285,-232464.1388150338
58,-282641.46550901915,-244266.1700365569,-305058.8574640308,-235232.50076028967
59,-285474.03995595186,-247519.05266601453,-306950.2792808578,-237905.07272200496
60,-288020.1173637728,-251126.9725134872,-308875.2753201807,-240655.48429898603
61,-290655.36757724755,-254859.26752897815,-310938.4198229343,-243542.15176044704
62,-293331.5257162544,-258669.1306316764,-312969.53837512754,-246373.5644617038
63,-295886.0778794467,-262258.9901749359,-314931.4761178432,-248871.4872486475
64,-298214.233110419,-265436.8454766834,-317130.4703172246,-251496.68616280536
65,-300698.3435696915,-268875.2199995542,-319438.6388104831,-254354.60893258508
66,-302975.90029801626,-271871.9159510463,-321848.8015410602,-256948.24439284654
67,-305436.89949553314,-274276.92059595603,-323998.7602157285,-259673.13084893642
68,-307403.27002735424,-276325.38147216354,-326096.08116968925,-262577.1195952468
69,-309479.0445183435,-278561.19984059664,-328320.68982475833,-265566.47698636237
70,-312286.746567375,-280505.30544292193,-330794.71733469324,-268470.0714356028
71,-314776.9297256943,-282574.6175244472,-333410.67635656585,-271484.7240929166
72,-317518.70613133645,-284882.2100231915,-335883.0562289558,-274412.546803533
73,-320408.18118614785,-286579.5217702466,-337619.91680759675,-276666.90758697974
74,-323307.3666808233,-288566.99479272356,-339259.49569631816,-279061.182737734
75,-325931.5716522577,-290592.0379142602,-341117.4826541955,-281485.9149862091
76,-328448.22728249786,-292680.6939364047,-343020.4391943676,-283815.5194336697
77,-331324.4306654802,-294843.9277518782,-344964.889998435,-286074.27600340324
78,-334090.56251325604,-296720.930853024,-346650.167166263,-287893.0340780049
79,-336717.5199844639,-298611.0049990158,-348542.01567227236,-289761.0726882139
80,-339463.90778374433,-300254.2634583836,-350423.6962529244,-291671.8303969513
81,-342032.42240041454,-301776.0394246474,-351959.51578421396,-293709.0550554277
82,-344628.4423452958,-303299.3771665808,-353985.15276727395,-295834.1060931191
83,-347049.79113807733,-305029.06678659783,-356009.9039610455,-297940.6783849935
84,-349725.6519144151,-306521.0596832112,-358050.5043351192,-299853.3567043682
85,-352370.0928804162,-308251.95349510707,-360103.25984086236,-301511.532179187
86,-354897.86884356133,-309770.29719824705,-362227.33720713627,-303440.7053182554
87,-357088.99322573666,-311582.0437734737,-364366.0742027473,-305114.6711797269
88,-359309.3005383656,-313470.61088509555,-366460.95339679834,-306818.3506490793
89,-361686.34681201563,-315295.8523076456,-368671.60936817375,-308409.5772014254
90,-364140.3205960289,-317085.7519073343,-370723.4423256586,-310273.19503998844
91,-366113.11041174363,-318887.08209866355,-372134.9897571105,-311579.6673025808
92,-368266.8268880728,-320840.2861990789,-373556.2606903488,-312900.27930276026
93,-370380.9842162146,-322986.04374576715,-374976.5271311328,-314470.3016431807
94,-372351.64680238394,-325023.879366839,-376850.3013610177,-315833.22655230743
95,-374601.53375151515,-327092.86428647675,-378545.16799043125,-317385.23154133634
96,-376979.5223199625,-329164.5799897173,-380417.39356911794,-318827.1161056054
97,-379289.84281880746,-331196.79478298593,-382226.65696311265,-320242.22085303365
98,-381496.7101818936,-333140.5458045615,-383982.29041318584,-321462.3861373124
99,-383790.5612733324,-335108.03084034537,-385694.57540811226,-322985.8650331787
