,CVL1,TrainL1,CVL2,TrainL2
1,-0.20831081920441763,-0.032643419572553435,-0.23353016678596997,-0.032643419572553435
2,-0.19998404755087434,-0.028381480724000412,-0.22274644656917886,-0.030474741793639435
3,-0.2112356467827885,-0.04040688095806206,-0.23333670233266293,-0.04434934269579938
4,-0.2089801488904796,-0.05023181051232232,-0.22584868094897229,-0.053371829941711836
5,-0.20643391972594335,-0.05964851211780345,-0.22065443307086613,-0.06446078331117702
6,-0.21053032017588713,-0.06771770006021974,-0.22636488630966584,-0.07456175932553886
7,-0.22137943145348946,-0.0762545730021224,-0.2373314485830737,-0.0812152864008882
8,-0.2228634798803559,-0.08339359213621025,-0.23908060650373247,-0.08799444281112588
9,-0.2292130044110648,-0.08882933825191042,-0.2474758048943377,-0.09384819321827195
10,-0.23729894682482872,-0.09432031905102771,-0.2579416505777687,-0.10179416095715307
11,-0.24428820707976867,-0.10079088348366672,-0.26753064597100046,-0.11043136794226789
12,-0.24417586448284873,-0.10854252593425823,-0.26702276714274353,-0.11933021866584857
13,-0.24304552060235343,-0.11322569616936669,-0.26569208421439255,-0.1245041814636
14,-0.24658290474381794,-0.11746919158296308,-0.26631760175177543,-0.13112354462185732
15,-0.25000460520843987,-0.12080306779834342,-0.2686662202338344,-0.1361874083921328
16,-0.24761301571607527,-0.123711281029502,-0.2664756981861642,-0.13965447722798854
17,-0.24675703135806512,-0.12635105379050016,-0.2689242238908954,-0.14262896518243495
18,-0.24858941632422216,-0.12895705902923751,-0.27301976720207954,-0.14442850893638295
19,-0.251840738736322,-0.13129919701865525,-0.27826447788678266,-0.1466619521338478
20,-0.25103473013600575,-0.1332756288986604,-0.27801360067491565,-0.1491648123530013
21,-0.2524081426141306,-0.13427717175427287,-0.2795942503803444,-0.15208415042739323
22,-0.25605341148556654,-0.13670662128916833,-0.2837057369696744,-0.15496989247493578
23,-0.26118509089227304,-0.1393106558535313,-0.2887407822574549,-0.15830053250561416
24,-0.2632912644754633,-0.14109750840803992,-0.2900932675631455,-0.1617157461141221
25,-0.26698388025360464,-0.14224696840167705,-0.29236264290827285,-0.16323809142039064
26,-0.27254867583597503,-0.14410830538329022,-0.2962422738793611,-0.16519031090048655
27,-0.2781006917105339,-0.1460237868695145,-0.3013449543875758,-0.16714535963588165
28,-0.2814629806979137,-0.1486181290186593,-0.3033751994048054,-0.16885626947373691
29,-0.28585891536378455,-0.15072796313389158,-0.30635099447382874,-0.1698062897526416
30,-0.2914087251479928,-0.15344516935383076,-0.3111182569110679,-0.1713851859426663
31,-0.29716556017657236,-0.15566683965374636,-0.31652720390781963,-0.1728196652790457
32,-0.3030904050835975,-0.15813732611814857,-0.3216568141297679,-0.17480986740560125
33,-0.3089609947882172,-0.1601921463423383,-0.32734807356340034,-0.17648858317954433
34,-0.31508375772000663,-0.16261886812421295,-0.33270565334338714,-0.17783697128689363
35,-0.31853346306224706,-0.1652663185586774,-0.3355194982772329,-0.17969630716383087
36,-0.3225649319479005,-0.16760532364538713,-0.33963755030116183,-0.18146193846981248
37,-0.324683068589308,-0.17046144986136644,-0.34120611062322465,-0.1836222108301274
38,-0.32784082969385187,-0.17362864875203213,-0.3445552676366537,-0.18659004016464703
39,-0.33172113974060125,-0.17709025319306848,-0.34888543645741166,-0.18955168460316854
40,-0.3353821916607015,-0.180309129869299,-0.3538694346047653,-0.19306088301462315
41,-0.3365267312046557,-0.1838334565724036,-0.35552058999918423,-0.19679286229235404
42,-0.33858818629605436,-0.1875987163248263,-0.3591095945894054,-0.2001139062162684
43,-0.34179285665611303,-0.1912894412873891,-0.3628340618279997,-0.2032793967891041
44,-0.34569206477280123,-0.1943385378709881,-0.36696573900642204,-0.20658528109653085
45,-0.3473268497763537,-0.19768247853220366,-0.3682508421055954,-0.20907856164444089
46,-0.3502980375425447,-0.20017690126401214,-0.37099048064861023,-0.21215589480254649
47,-0.35423945634507215,-0.20228867025769273,-0.37419349218956693,-0.2150858944187596
48,-0.3580846704843713,-0.20497793229836864,-0.3780719108577336,-0.21759408802592856
49,-0.35987800737408765,-0.2072490225456133,-0.37911938926923916,-0.2198057580654071
50,-0.36276593322425604,-0.2093117587445342,-0.38074181746599856,-0.22211185683607731
51,-0.36512144172844235,-0.21122435609405385,-0.3815463370672956,-0.22414479449898903
52,-0.3682347579398191,-0.21277708441025206,-0.383299979725907,-0.22605865212921541
53,-0.3717514767245772,-0.21461699162746245,-0.3850687967087587,-0.2279283875317715
54,-0.37607773596608507,-0.21641279524693952,-0.3872876449126519,-0.2299297555538442
55,-0.37804451858891414,-0.2180112033525035,-0.38732317288184576,-0.2320505867269972
56,-0.3807499316246184,-0.21976821081445222,-0.3883509763195185,-0.23396855291482582
57,-0.38396949410374953,-0.2212840014328353,-0.38928996368368207,-0.23584319934070194
58,-0.38823271142924504,-0.22319038706893815,-0.3910363522358997,-0.23793180112836132
59,-0.39047386306764736,-0.22488872588039396,-0.3907878461890868,-0.2400300064343567
60,-0.39317809395751663,-0.2264899421216382,-0.391704803763166,-0.24222929605390234
61,-0.3964736217899866,-0.22814345709777592,-0.3928765241869777,-0.24401847010823094
62,-0.4002430914113991,-0.22978366362625996,-0.3946133918028598,-0.2459026682716122
63,-0.40254206711454926,-0.231556922055713,-0.3943484916237924,-0.24767727317944255
64,-0.4051662263373583,-0.23316341977784727,-0.3946826924368385,-0.2495537034976896
65,-0.40821413906740134,-0.2347155989109619,-0.39498789488464287,-0.25101830888675225
66,-0.4113566791009689,-0.23649117459685967,-0.3962084242746328,-0.2523387182725375
67,-0.41430483669631263,-0.23812222495057914,-0.3973245177543561,-0.25331629183161275
68,-0.4177153923308934,-0.23977130638156463,-0.3985864080306256,-0.25449472773024323
69,-0.4210831406499733,-0.24135358485591862,-0.4003232692077135,-0.25524650327799936
70,-0.4246543529923973,-0.24290741006688635,-0.40206028463533894,-0.25615773846914774
71,-0.427619771957544,-0.24446457432018892,-0.40382951805707556,-0.2569963596798511
72,-0.43137985264578665,-0.2460266365785716,-0.40539004541225276,-0.2576704924195081
73,-0.4353580998022329,-0.24781080800805705,-0.40749563667866767,-0.2582981736496674
74,-0.4390711726442173,-0.24946730507062173,-0.40971641822397703,-0.2589142826741252
75,-0.4424531998772335,-0.25124245741018736,-0.41210194804058586,-0.25931202854188684
76,-0.4462069225281774,-0.25284598751097315,-0.41433416248000476,-0.2596685609306391
77,-0.4496995061167366,-0.25436945822037926,-0.41690218894800596,-0.2599047895926179
78,-0.45382717094729763,-0.25600708566855446,-0.41967097799037895,-0.2602955495611462
79,-0.45810480306019236,-0.25782672242285976,-0.42230613240224735,-0.2607304355269236
80,-0.46196835232500766,-0.2597715456731261,-0.4249324212981901,-0.2612075498197669
81,-0.4656647307279164,-0.26169545490834417,-0.4273393595482102,-0.261686980953045
82,-0.4694179121584641,-0.26381131712919775,-0.429779611641002,-0.2621400921397994
83,-0.47320977506301964,-0.2659180366768229,-0.4321810364608583,-0.2626926455119752
84,-0.4771721512942839,-0.26808115351513345,-0.4346635984198635,-0.2637834362193594
85,-0.4805001571773849,-0.27016976036800844,-0.43739730351813133,-0.2648195625751248
86,-0.4839354360555402,-0.2726541145113941,-0.4399151177667335,-0.26625525948779
87,-0.4870975670055755,-0.2752708379722587,-0.4425733521779808,-0.2679365927815936
88,-0.4901049279338886,-0.27781869518581737,-0.445400606525917,-0.2696916965664322
89,-0.4935531098957585,-0.28057272810166417,-0.44818736218414595,-0.271396728965019
90,-0.4965821574446124,-0.283573941314154,-0.45076298505742335,-0.2731883750642281
91,-0.49986027779378933,-0.2864559665500818,-0.45330956872125755,-0.27486429836125137
92,-0.5027418552048475,-0.2894248930079715,-0.4557613924545305,-0.27655632036532896
93,-0.5054795171039363,-0.2926227545741462,-0.4581377080105669,-0.2785074111739249
94,-0.5084292246250557,-0.29601114542762175,-0.4603893014020445,-0.2803658648110568
95,-0.5113468081430302,-0.2991667445139806,-0.46236394904140504,-0.28228057658745814
96,-0.5143701519782505,-0.3022230666852901,-0.46412122525895194,-0.2844666171877663
97,-0.5173505314532582,-0.30549371429369165,-0.46578462735465365,-0.28650451163725016
98,-0.5202050453703652,-0.3089819556996802,-0.46761881501640223,-0.2885708913979369
99,-0.5224357136172738,-0.3122881276006915,-0.4692938528470421,-0.2908628222749391
