,TrainNegPercent,TestNegPercent,CVNegPercent,TrainNegRMSErr,TestNegRMSErr,CVNegRMSErr,TrainNegMAErr,TestNegMAErr,CVNegMAErr
0.0,0.0,-86.7945869445,-2.23711551411,0.0,-7649.55888185,-421.409581585,0.0,-6663.36956522,-129.109381755
0.1,0.0,-86.7945869445,-2.23711551411,0.0,-7649.55888185,-421.409581585,0.0,-6663.36956522,-129.109381755
0.2,0.0,-86.7945869445,-2.23711551411,0.0,-7649.55888185,-421.409581585,0.0,-6663.36956522,-129.109381755
0.3,0.0,-86.7945869445,-2.23711551411,0.0,-7649.55888185,-421.409581585,0.0,-6663.36956522,-129.109381755
0.4,0.0,-86.7945869445,-2.23711551411,0.0,-7649.55888185,-421.409581585,0.0,-6663.36956522,-129.109381755
0.5,0.0,-86.7945869445,-2.23711551411,0.0,-7649.55888185,-421.409581585,0.0,-6663.36956522,-129.109381755
0.6,0.0,-86.7945869445,-2.23656651226,0.0,-7649.55888185,-421.334886878,0.0,-6663.36956522,-129.074794639
0.7,0.0,-86.7945869445,-2.23656651226,0.0,-7649.55888185,-421.334886878,0.0,-6663.36956522,-129.074794639
0.8,0.0,-86.7945869445,-2.23656651226,0.0,-7649.55888185,-421.334886878,0.0,-6663.36956522,-129.074794639
0.9,0.0,-86.7945869445,-2.23656651226,0.0,-7649.55888185,-421.334886878,0.0,-6663.36956522,-129.074794639
1.0,0.0,-86.7945869445,-2.23656651226,0.0,-7649.55888185,-421.334886878,0.0,-6663.36956522,-129.074794639
1.1,0.0,-86.7945869445,-2.23656651226,0.0,-7649.55888185,-421.334886878,0.0,-6663.36956522,-129.074794639
1.2,0.0,-86.7945869445,-2.23339491376,0.0,-7649.55888185,-420.871596802,0.0,-6663.36956522,-128.664072633
1.3,0.0,-86.7945869445,-2.23656651226,0.0,-7649.55888185,-421.334886878,0.0,-6663.36956522,-129.074794639
1.4,0.0,-86.7945869445,-2.23425048891,0.0,-7649.55888185,-421.334886878,0.0,-6663.36956522,-129.074794639
1.5,0.0,-86.7945869445,-2.23425048891,0.0,-7649.55888185,-421.334886878,0.0,-6663.36956522,-129.074794639
1.6,0.0,-86.7945869445,-2.24468727894,0.0,-7649.55888185,-422.42736273,0.0,-6663.36956522,-129.373108517
1.7,0.0,-86.7945869445,-2.23978640809,0.0,-7649.55888185,-421.939810437,0.0,-6663.36956522,-129.373108517
1.8,0.0,-86.7945869445,-2.23580888972,0.0,-7649.55888185,-421.695822905,0.0,-6663.36956522,-129.074794639
1.9,0.0,-86.7945869445,-2.24665245601,0.0,-7649.55888185,-422.471113526,0.0,-6663.36956522,-129.412019023
2.0,0.0,-86.7945869445,-2.25798291691,0.0,-7649.55888185,-423.66205565,0.0,-6663.36956522,-130.121054907
2.25,0.0,-86.7945869445,-2.24905010659,0.0,-7649.55888185,-423.687413836,0.0,-6663.36956522,-129.710332901
2.5,0.0,-86.7945869445,-2.26006429819,0.0,-7649.55888185,-425.734227555,0.0,-6663.36956522,-130.453955901
2.75,0.0,-85.8858673961,-2.26306537171,0.0,-7471.1696599,-425.782918654,0.0,-6550.86956522,-130.899265024
3.0,0.0,-86.7945869445,-2.26961106565,0.0,-7649.55888185,-426.674924936,0.0,-6663.36956522,-131.461305664
3.25,0.0,-86.7945869445,-2.28246697325,0.0,-7649.55888185,-428.119739121,0.0,-6663.36956522,-132.05793342
3.5,0.0,-86.7945869445,-2.28531523748,0.0,-7649.55888185,-428.372078067,0.0,-6663.36956522,-132.650237786
3.75,0.0,-86.7945869445,-2.28239812525,0.0,-7649.55888185,-427.296319199,0.0,-6663.36956522,-131.599654129
4.0,0.0,-71.6083619306,-2.24080739474,0.0,-7056.65650907,-423.686291373,0.0,-5973.36956522,-129.961089494
4.25,0.0,-71.6083619306,-2.27488914195,0.0,-7056.65650907,-427.43835249,0.0,-5973.36956522,-131.677475141
4.5,0.0,-82.1724025469,-2.26283815278,0.0,-7159.69979028,-426.77720277,0.0,-6243.36956522,-130.964115867
4.75,0.0,-86.7945869445,-2.2529263833,0.0,-7649.55888185,-426.463554119,0.0,-6663.36956522,-130.894941634
5.0,0.0,-86.7945869445,-2.2536208798,0.0,-7649.55888185,-426.981330548,0.0,-6663.36956522,-130.75226978
5.5,0.0,-86.7945869445,-2.22436177204,0.0,-7649.55888185,-424.840297046,0.0,-6663.36956522,-129.515780372
6.0,0.0,-86.7945869445,-2.28583113813,0.0,-7649.55888185,-428.068990888,0.0,-6663.36956522,-132.61565067
6.5,0.0,-86.7945869445,-2.30977806613,0.0,-7649.55888185,-430.974574008,0.0,-6663.36956522,-133.804582793
7.0,0.0,-86.7945869445,-2.31147722796,0.0,-7649.55888185,-429.873396538,0.0,-6663.36956522,-132.983138781
7.5,0.0,-86.7945869445,-2.30977054204,0.0,-7649.55888185,-427.274362548,0.0,-6663.36956522,-133.138780804
8.0,0.0,-86.7945869445,-2.33691723843,0.0,-7649.55888185,-430.591595775,0.0,-6663.36956522,-135.819282317
8.5,0.0,-86.7945869445,-2.35733526472,0.0,-7649.55888185,-430.538528037,0.0,-6663.36956522,-135.633376567
9.0,0.0,-86.7945869445,-2.34300899987,0.0,-7649.55888185,-430.263093284,0.0,-6663.36956522,-137.051448335
