,TrainNegErr,TestNegErr,CVNegErr
0.15,-436.888067547,-784.846468481,-710.057165241
0.194736842105,-317.922899476,-804.839531768,-461.540879677
0.239473684211,-338.638993357,-781.733840226,-452.019422129
0.284210526316,-184.222726505,-764.839619118,-277.726802056
0.328947368421,-246.008746119,-763.740076172,-340.839555965
0.373684210526,-224.137300045,-747.967543762,-310.717716936
0.418421052632,-187.091351677,-759.981902074,-248.743098989
0.463157894737,-160.972592587,-764.481499105,-218.010367177
0.507894736842,-184.980890817,-749.520781686,-259.139942096
0.552631578947,-141.723617431,-757.401825047,-204.184203451
0.597368421053,-124.096936338,-755.670407049,-164.38093825
0.642105263158,-156.074883037,-756.527345184,-200.508146456
0.686842105263,-155.33070141,-758.124105627,-212.023065234
0.731578947368,-126.416851737,-759.176234611,-218.180453951
0.776315789474,-141.629008044,-761.875143086,-209.690408153
0.821052631579,-132.43930406,-764.900461949,-178.859313413
0.865789473684,-119.264777035,-764.465851576,-171.311172269
0.910526315789,-113.89794668,-766.590056845,-166.527492425
0.955263157895,-111.585988743,-767.69085761,-152.916621516
1.0,-108.730988852,-769.972570814,-150.826255294
