,TrainNegPercent,TestNegPercent,CVNegPercent,TrainNegRMSErr,TestNegRMSErr,CVNegRMSErr,TrainNegMAErr,TestNegMAErr,CVNegMAErr
0.0,-1.16289782886,-15.1882534259,-1.54528289886,-45.4886905188,-1029.99056688,-86.1730935047,-33.7983707791,-841.353451199,-49.4067610853
0.1,-1.16329540646,-15.185768356,-1.54608683333,-45.4993367516,-1029.92879368,-86.2497861006,-33.8047383208,-841.29308555,-49.4248082085
0.2,-1.16324523261,-15.1883368844,-1.54676078655,-45.501411462,-1029.99336055,-85.700473292,-33.8016068477,-841.35929186,-49.3931578339
0.4,-1.16299842536,-15.1852319659,-1.55057288909,-45.515233502,-1029.81810944,-87.4255382993,-33.7988307987,-841.269081256,-49.582616655
0.6,-1.16759248748,-15.2094320012,-1.55920021234,-45.6063819861,-1030.37058558,-89.4525459297,-33.8439635077,-841.913632273,-49.9393400897
0.8,-1.16984410679,-15.2248359866,-1.55638744278,-45.6407437756,-1030.3764386,-87.9130750193,-33.8734557326,-842.166595175,-49.7884678
1.0,-1.17251020517,-15.2501983361,-1.55404813143,-45.6684515247,-1031.24164966,-86.7151750364,-33.9447206548,-842.963703289,-49.7032096107
1.1,-1.17267607795,-15.2685147525,-1.55484292177,-45.7875223168,-1031.59942466,-83.2464331138,-33.9655770267,-843.43670388,-49.5766976065
1.4,-1.16958001579,-15.2553228976,-1.54439786443,-45.8765528646,-1030.95681872,-82.8113268,-33.9705979933,-843.088765641,-49.6171099795
1.7,-1.17303691708,-15.2257365106,-1.56459878053,-46.2122426899,-1030.28675976,-86.7333868449,-34.1269032445,-842.366446898,-50.2812108153
2.0,-1.17016664234,-15.293836935,-1.57093549014,-46.3396942056,-1031.17165306,-89.3054476407,-34.4024032485,-843.797089455,-50.9666918533
2.5,-1.16417779812,-15.1747616429,-1.5694336749,-46.4714341099,-1028.56066131,-90.8590192972,-34.5496825524,-840.963473154,-51.4406123241
3.0,-1.17100832241,-15.2316847565,-1.57355797831,-47.0063296664,-1030.04925135,-90.702537779,-34.8211856288,-842.24670346,-51.8550971149
3.5,-1.19112906297,-15.2137058234,-1.61148557747,-48.0238228335,-1030.17272072,-84.9861831908,-35.6504357211,-841.889945278,-52.3013883742
4.0,-1.19523863578,-15.1716311767,-1.6305618581,-48.7313780749,-1028.24861649,-88.3866664414,-36.2418490752,-840.413386531,-53.3049617223
5.0,-1.2336463636,-15.0860767658,-1.67435172913,-50.1807041698,-1025.28525122,-92.1420163312,-37.2127526191,-838.113693878,-54.2194932387
6.0,-1.30661712912,-15.0875473773,-1.74991021517,-53.307818644,-1023.52359856,-100.283578975,-39.6307845803,-837.353945327,-58.0571854978
7.0,-1.40789206295,-15.1184955349,-1.89798724061,-55.9068020996,-1024.94098985,-91.9256028533,-41.9627577057,-838.361745161,-59.9984605082
8.0,-1.46975381432,-15.0765334066,-1.94944459859,-59.5289283755,-1025.16075471,-88.6532740617,-44.3933271826,-838.667310542,-62.1870924054
9.0,-1.58559520471,-15.1013594505,-2.14544665691,-64.6117266576,-1023.72260454,-113.748917995,-47.692087625,-838.975006597,-70.0996934845
