,r2_LC-Train,r2_LC-CV,neg_mean_absolute_error_LC-Train,neg_mean_absolute_error_LC-CV,neg_mean_squared_error_LC-Train,neg_mean_squared_error_LC-CV
0.15,0.992142994095,0.976596627398,-124.306634656,-357.727371105,-148512.502674,-525334.911547
0.194736842105,0.993947610644,0.977167483,-98.551746792,-307.501491418,-109097.096499,-513727.188517
0.239473684211,0.997210824607,0.988206548243,-73.3788385474,-219.77034242,-58738.7427442,-264835.272524
0.284210526316,0.997140857408,0.990300912986,-66.6823392092,-175.372977328,-60105.8126206,-220052.310585
0.328947368421,0.997921106421,0.994758294003,-61.1929570543,-105.214724712,-47509.4622314,-119749.3962
0.373684210526,0.997555534054,0.996774101002,-61.6431656353,-85.3007157535,-56797.0037595,-76108.2166761
0.418421052632,0.997763953572,0.996742789718,-56.6746969618,-84.1661911158,-50799.7303885,-76925.2978676
0.463157894737,0.99818403159,0.997100281012,-51.4517480079,-78.7424680538,-41727.7215393,-68289.4963936
0.507894736842,0.998569715475,0.997473136527,-47.2362009395,-74.0327483673,-34149.4504335,-59323.7191425
0.552631578947,0.99871297949,0.997513274381,-44.8736034632,-72.4639505816,-30788.6263712,-58498.7106731
0.597368421053,0.998839629516,0.997662985384,-43.7059296931,-68.9524772378,-28544.468473,-55154.4259436
0.642105263158,0.998913197956,0.997813865706,-42.1222420683,-64.8278000926,-25816.4149152,-51560.6744886
0.686842105263,0.998984549798,0.997826506996,-39.7211002598,-64.072836376,-23923.0078502,-51263.7663707
0.731578947368,0.999018273392,0.997989406313,-39.0366796041,-54.0198812329,-23081.8249672,-47820.5923519
0.776315789474,0.999053674337,0.998162475652,-38.5024165647,-48.5931340902,-21773.2252624,-44067.8139672
0.821052631579,0.999271387889,0.998705144549,-38.0240930938,-44.2785616423,-17233.2443127,-29849.9168101
0.865789473684,0.999290591364,0.998707184488,-36.7339621485,-43.6419037741,-16494.5042588,-29809.0837801
0.910526315789,0.999336755331,0.998702278635,-35.5099658781,-43.4387354964,-15190.0670999,-29918.9039305
0.955263157895,0.999345677114,0.998689809893,-34.3387955856,-43.233428439,-14667.6539018,-30193.6711322
1.0,0.99935668263,0.99868809524,-32.9748982073,-42.8490701315,-14084.2441614,-30237.7231724
