,TrainPerScore,TestPerScore,CVPerScore,TrainNegRMSErr,TestNegRMSErr,CVNegRMSErr,TrainNegMAErr,TestNegMAErr,CVNegMAErr
0.0,97.8230976846,87.5183130368,96.6768461571,-143.175680762,-780.235637669,-229.386119606,-59.4236641276,-689.812821415,-94.5733863275
0.1,97.8235595036,87.5186550932,96.6774109388,-143.110548499,-780.211024725,-229.355221508,-59.4148115468,-689.786755836,-94.570641628
0.2,97.822869197,87.5204618811,96.6757006672,-143.040005813,-780.226685884,-229.259725109,-59.4208957279,-689.773659127,-94.5649168496
0.4,97.8238011188,87.5180007125,96.6723712132,-142.990076676,-780.242842188,-229.240312829,-59.4277649896,-689.838631587,-94.5974253321
0.6,97.8269624781,87.5048894745,96.6796505799,-142.833988751,-780.483059249,-229.034481705,-59.4358924221,-690.182895152,-94.5953758393
0.8,97.8198266427,87.5007570352,96.6644462927,-143.169201038,-780.402588735,-229.230324379,-59.4324447172,-690.196889707,-94.6342652966
1.0,97.8170833408,87.5019122695,96.6645923281,-142.934160374,-780.702335995,-229.292252332,-59.4925671731,-690.421003012,-94.7771483044
1.1,97.81769514,87.4969948842,96.6637674832,-142.76588888,-780.734015734,-229.718607815,-59.499304623,-690.723122824,-94.8330194505
1.4,97.8238730408,87.4765431329,96.6611466287,-142.890719412,-780.592718713,-229.773539587,-59.5360072163,-690.739213063,-94.7973530135
1.7,97.8129124348,87.450610866,96.6453210698,-143.392343359,-781.263687306,-230.55642538,-59.5592088314,-691.318179754,-94.9556810261
2.0,97.794986686,87.4469707797,96.6150339382,-143.766686905,-781.422990787,-231.230654485,-59.6685549793,-691.637958727,-95.1360330923
2.5,97.8025729586,87.5416834313,96.6498958094,-141.796169958,-781.440178574,-228.9985147,-59.5943956011,-690.805553954,-94.5065201503
3.0,97.8052504782,87.5720884579,96.6801017427,-141.016098432,-780.750320411,-227.358978398,-59.6576986444,-690.153815387,-94.2958134957
3.5,97.8269872479,87.5203009389,96.6937246512,-141.923310721,-781.078253248,-227.471160774,-59.8744171906,-691.1509033,-94.3414717732
4.0,97.8363909135,87.4176831213,96.7593289628,-143.457053267,-782.972197228,-228.24625651,-60.0425361063,-693.797864943,-94.1337822267
5.0,97.8393996651,87.3157874188,96.7381327399,-143.011209444,-784.508184066,-228.245192705,-60.3748466878,-695.595193843,-94.7165964318
6.0,97.8127555125,87.268765596,96.695326707,-146.706416202,-785.487534176,-231.5588037,-61.1552024221,-696.989275564,-95.7786157188
7.0,97.7391004833,87.2210476687,96.6242761492,-150.679594696,-786.916440429,-235.127804948,-62.4023434668,-698.222894435,-97.2727935596
8.0,97.7462909758,87.1830111989,96.5701391,-151.51176299,-790.057450942,-237.436376346,-62.9973613804,-700.826552725,-98.7002509971
9.0,97.636534147,87.127025997,96.4191594677,-157.294703966,-794.193513377,-243.153898022,-64.420748903,-704.277930722,-101.985925972
