,TrainNegPercent,TestNegPercent,CVNegPercent,TrainNegRMSErr,TestNegRMSErr,CVNegRMSErr,TrainNegMAErr,TestNegMAErr,CVNegMAErr
0.0,-9.95172971824,-97.9530950519,-13.9523887426,-557.62001198,-3914.25880793,-715.806619956,-224.655881901,-2886.04891089,-336.976625867
0.1,-9.95299464088,-97.956581359,-13.9509495248,-557.511826324,-3914.33876971,-715.767165138,-224.626062345,-2886.06130025,-336.95970394
0.2,-9.95237520042,-97.9690751185,-13.9541132579,-557.268440597,-3914.62548298,-715.82977443,-224.537659562,-2886.10569958,-337.008128619
0.3,-9.95237597027,-97.9642989928,-13.9545537882,-557.345250522,-3914.515849,-715.872196094,-224.618468588,-2886.08872657,-336.997210567
0.4,-9.95880398348,-97.9686099404,-13.9523722251,-557.147998683,-3914.61480343,-715.766554684,-224.496731607,-2886.10404647,-336.916261851
0.5,-9.9477109991,-97.9580435201,-13.9514864655,-557.389290275,-3914.37231146,-715.880049792,-224.492229079,-2886.06649636,-336.842981294
0.6,-9.93927087306,-97.9503982863,-13.9456551747,-557.346803749,-3914.19696814,-715.934327653,-224.481462528,-2886.03932734,-336.881122201
0.7,-9.9356548915,-97.9371672708,-13.9491350279,-557.479135203,-3913.89373217,-715.979539856,-224.433095412,-2885.992308,-336.937645657
0.8,-9.9533710156,-97.9776991834,-13.9515429682,-557.131611587,-3914.82353563,-716.023113293,-224.497802818,-2886.1363471,-337.04872041
0.9,-9.96747426002,-97.9934720697,-13.9524576396,-557.006711432,-3915.1860642,-716.054027437,-224.572182117,-2886.19239954,-337.128420273
1.0,-9.98076205191,-97.9676470581,-13.9536626714,-558.282376444,-3914.59269869,-716.162740974,-225.239678035,-2886.10062466,-337.164059591
1.1,-9.99902111209,-97.9910517947,-13.9708834461,-558.658085028,-3915.13041051,-716.472454533,-225.404334548,-2886.18379855,-337.365909931
1.2,-9.99628843643,-97.9933564005,-13.9639267778,-557.999186501,-3915.1834042,-716.579301065,-225.394999024,-2886.19198848,-337.507276287
1.3,-10.0111852466,-98.0365240253,-13.9681152329,-557.405855925,-3916.17757209,-716.491846521,-225.274388739,-2886.34539417,-337.555361269
1.4,-10.012522445,-98.0442012112,-13.9664875222,-557.83081925,-3916.3546873,-716.644400897,-225.504750613,-2886.37267674,-337.695191216
1.5,-10.0335570905,-98.0117926488,-13.9627867058,-559.154834794,-3915.60764038,-717.324893404,-226.053591411,-2886.25750576,-337.819880073
1.6,-10.0088556072,-98.0252853659,-13.9815323411,-557.876202398,-3915.91845942,-717.191926844,-225.287511283,-2886.30545511,-337.973111026
1.7,-10.0082917028,-98.0103130922,-13.9819172753,-558.808189819,-3915.57357463,-717.42668537,-225.546784194,-2886.25224783,-338.009441681
1.8,-9.98421745568,-98.0128418788,-13.9843410982,-558.401645046,-3915.63180026,-717.873054062,-225.289180044,-2886.26123443,-338.411184706
1.9,-10.0504713422,-98.0657391201,-14.0118418435,-558.467922403,-3916.85206781,-718.44584038,-225.961805963,-2886.44921646,-338.676352765
2.0,-10.0264725514,-97.9990746631,-14.0151207765,-558.980904393,-3915.31492991,-718.499173174,-226.166258722,-2886.21230959,-338.939279142
2.25,-10.0369707284,-98.0300296375,-14.0196324697,-559.260424829,-3916.02781668,-718.572338002,-226.051650343,-2886.32231493,-339.200146101
2.5,-10.0785934841,-98.1057018765,-14.0214706311,-558.606755702,-3917.77686632,-719.439615587,-226.532947706,-2886.59123293,-339.830638244
2.75,-10.1181669479,-98.1587880813,-14.0086949917,-559.564791766,-3919.00923401,-720.198736525,-227.193117448,-2886.77988648,-339.729371612
3.0,-10.1919148969,-98.1297910076,-14.0255503493,-561.434535761,-3918.3355351,-720.57378624,-228.54509617,-2886.67683898,-340.245464033
3.25,-10.1155981667,-97.9143246178,-14.0228422843,-564.379570682,-3913.37085927,-721.620943512,-229.227225096,-2885.91113159,-340.991511492
3.5,-10.1565915527,-98.0100899779,-14.016459795,-563.885209768,-3915.56843787,-721.995567466,-229.248313688,-2886.25145494,-341.361048255
3.75,-10.2357149355,-98.0370453048,-14.0259436815,-565.43660097,-3916.18959526,-723.190492875,-230.536212862,-2886.34724665,-342.087967628
4.0,-10.2221221181,-98.0167468957,-14.1066624554,-566.559426391,-3915.72173349,-723.723782633,-231.399538432,-2886.27511177,-342.858036476
