,TrainNegPercent,TestNegPercent,CVNegPercent,TrainNegRMSErr,TestNegRMSErr,CVNegRMSErr,TrainNegMAErr,TestNegMAErr,CVNegMAErr
0.0,-135.743217021,-87.3230092082,-138.563696961,-4687.77763535,-3760.68140265,-4713.06494154,-3931.73705468,-2843.0490257,-3955.34627603
0.1,-135.743229871,-87.3230186071,-138.563711352,-4687.77761579,-3760.68145949,-4713.06481825,-3931.73709794,-2843.04931957,-3955.34625414
0.2,-135.743239815,-87.3230199268,-138.563720539,-4687.77750698,-3760.68144828,-4713.06460607,-3931.73688163,-2843.0489778,-3955.34604825
0.4,-135.743296369,-87.3230047912,-138.563782546,-4687.77977782,-3760.68191555,-4713.06572275,-3931.73975237,-2843.04846008,-3955.34787984
0.6,-135.743325795,-87.3230017623,-138.563845492,-4687.78308337,-3760.68250885,-4713.06831305,-3931.74328863,-2843.0502363,-3955.35070545
0.8,-135.743503174,-87.323011309,-138.563992519,-4687.78729184,-3760.68261186,-4713.07150197,-3931.74935426,-2843.04983353,-3955.35493591
1.0,-135.743719874,-87.3231299906,-138.564166634,-4687.79473574,-3760.68609695,-4713.07628723,-3931.7580507,-2843.05393258,-3955.36077743
1.1,-135.744193856,-87.3233370107,-138.564457108,-4687.8047178,-3760.68981382,-4713.08334603,-3931.77216591,-2843.05728557,-3955.37067261
1.4,-135.744413009,-87.3232307422,-138.564906753,-4687.82224922,-3760.69242197,-4713.09628186,-3931.79293047,-2843.05868065,-3955.38674191
1.7,-135.744848519,-87.323197164,-138.565563648,-4687.84499627,-3760.69623414,-4713.11193935,-3931.81717095,-2843.06203916,-3955.40393922
2.0,-135.745510832,-87.3233696004,-138.566026935,-4687.87415257,-3760.70480361,-4713.13156336,-3931.85143753,-2843.07638057,-3955.42735588
2.5,-135.746780736,-87.3236727896,-138.567099449,-4687.92705587,-3760.71927179,-4713.17176082,-3931.91753923,-2843.09291873,-3955.4755904
3.0,-135.749457157,-87.3247724507,-138.56916288,-4687.99871821,-3760.74663762,-4713.22324958,-3932.00787527,-2843.12177474,-3955.53911629
3.5,-135.751980084,-87.3255651018,-138.571361396,-4688.09248216,-3760.77551153,-4713.29232941,-3932.12759038,-2843.16087565,-3955.62471737
4.0,-135.755354308,-87.3267720817,-138.573856896,-4688.19785073,-3760.8113041,-4713.36598876,-3932.26414747,-2843.21057504,-3955.71843677
5.0,-135.760549023,-87.3282296324,-138.578486354,-4688.36632169,-3760.86490764,-4713.49244534,-3932.48422548,-2843.25680176,-3955.87692402
6.0,-135.766389004,-87.3299102004,-138.58392255,-4688.60079209,-3760.93880553,-4713.6643586,-3932.78586614,-2843.35198749,-3956.0948177
7.0,-135.774352422,-87.3321489799,-138.590707593,-4688.89030915,-3761.02568818,-4713.86991941,-3933.17117244,-2843.46152867,-3956.36577765
8.0,-135.784602518,-87.3352003852,-138.599531961,-4689.25840946,-3761.1474282,-4714.13836297,-3933.66393511,-2843.61986629,-3956.71732436
9.0,-135.795084183,-87.3384681913,-138.609361056,-4689.6641571,-3761.28638146,-4714.43955418,-3934.22225916,-2843.80950652,-3957.12028502
