,CVL1,TrainL1,CVL2,TrainL2
0.1,-117668728.1865964,-97514842.12207738,-204092141.2979949,-187249066.61256045
0.15000000000000002,-117350830.61263888,-96665803.58879289,-203960907.4644396,-186451968.56119514
0.2,-117321671.88051279,-96113980.79017377,-203862856.59521604,-185527040.67106125
0.25,-117322043.71906257,-95709545.6384243,-203937285.10459295,-184841309.8239297
0.30000000000000004,-117457424.3372858,-95582879.42942658,-203937713.50635642,-184445821.62317172
0.35,-117382569.08064404,-95608136.23708037,-203909606.53132224,-184316682.7082737
0.4,-117334005.24004284,-95993516.94662024,-203849415.62511897,-185099910.6491213
0.45000000000000007,-117399559.75427814,-96360317.1668506,-203888966.57479566,-185899729.87517524
0.5,-117612142.93037991,-96619138.3333821,-203959916.7525187,-186485578.88877383
0.55,-117553898.37859826,-96821463.87182964,-203942656.94124988,-187210723.48418012
0.6,-117556803.27391079,-97054305.69075303,-203983344.61053056,-187845472.2424109
0.65,-117767145.20567235,-97365436.32671091,-203968130.0888124,-188730444.62147388
0.7000000000000001,-118017423.07367817,-97711442.63755137,-204006219.99606737,-189582309.21320534
0.75,-118236995.74854855,-97826645.85246275,-204053632.17273054,-190230111.99530172
0.8,-118449534.27802472,-97926982.03813252,-204118722.97440842,-190664335.84081906
0.85,-118697392.54401574,-98110079.46815822,-204145059.52345252,-191128732.0982859
0.9,-118725992.8639015,-97970631.6886022,-204172257.79001594,-191547054.68247128
0.9500000000000001,-118942506.44944212,-98210379.99083565,-204227304.38489988,-192072110.33151177
1.0,-120199638.38013723,-114604877.86923659,-205478903.85171062,-203990814.556383
