,CVL1,TrainL1,CVL2,TrainL2
0.1,-26141454.417646043,-22583.075848412343,-26028992.477781344,-285138.95860615146
0.15000000000000002,-51204667.99250017,-20751.188665449314,-26022793.37298519,-287292.99154205475
0.2,-28309310.4553051,-17080.44364014629,-25992429.690314107,-293971.27048463625
0.25,-27041672.89308708,-12485.3482911374,-25969524.501361422,-291599.57981065573
0.30000000000000004,-32021361.43221255,-17295.49466515649,-25993368.11840796,-293519.86304910964
0.35,-29522820.83005368,-18680.79493038501,-25994001.354470726,-297082.3312716022
0.4,-29648731.16265266,-16550.824287081,-26013510.22228288,-320633.85858506063
0.45000000000000007,-32221384.409508776,-14084.962431570104,-26005120.61946284,-331544.53712961456
0.5,-28043049.661706187,-21791.782255962524,-26022389.597676594,-335910.0995989628
0.55,-27374359.016239036,-19561.099789038162,-25965298.09464375,-345667.5227499455
0.6,-55106141.05785711,-23093.48779341073,-25994249.937638782,-355196.19125672954
0.65,-26565933.742488276,-17544.498746057558,-26011752.34217598,-368477.462220795
0.7000000000000001,-26570838.820336502,-16846.694129274692,-26040361.913575124,-384467.9644115394
0.75,-24161516.93874918,-20808.28957894988,-26083044.236422,-391054.97871226526
0.8,-25386424.49303756,-22025.573848828975,-26116024.109206554,-394363.0301022449
0.85,-25438554.467392363,-17122.270420395165,-26114765.930249102,-393605.2431712131
0.9,-26609415.247633744,-15608.839369352212,-26105546.521839537,-394492.00836651254
0.9500000000000001,-25420916.105019007,-15863.298863963006,-26136480.241729032,-396553.0148730088
1.0,-25805894.144538164,-9291328.033007892,-26248900.49416987,-10379139.070775136
