,CVL1,TrainL1,CVL2,TrainL2
0.1,-294192.1310503896,-224269.93290801425,-449198.228236633,-408794.5262761999
0.15000000000000002,-295030.0224433822,-222604.7943704074,-449602.21314919024,-409118.5281171432
0.2,-295475.89596254035,-221683.96550442156,-450104.9964689201,-408095.0741728434
0.25,-295146.1009660999,-221555.64261621964,-450160.75107141386,-408039.30257128447
0.30000000000000004,-295063.4963365716,-220610.3105054616,-450082.15964494634,-407837.85582301277
0.35,-295557.2279204737,-220836.6230105438,-450051.3614248706,-407469.0107434949
0.4,-296127.61993378086,-225099.9233071617,-451134.32736750506,-411069.7656798413
0.45000000000000007,-297060.07311876974,-228248.3365165113,-452432.7826944439,-414901.5989584082
0.5,-298532.88614310895,-230535.9208112501,-453297.3154259197,-417223.5934508482
0.55,-298184.9783597534,-234793.2239413076,-454361.5250493096,-421127.3570333234
0.6,-296914.4204423123,-236047.66757353977,-455038.3502084788,-423846.9309899316
0.65,-290913.15794166166,-240203.5679886404,-454697.38665039185,-428415.81631623826
0.7000000000000001,-285192.6895660021,-244466.26788173913,-454098.21219560987,-432850.20553579053
0.75,-281288.0382517822,-247333.86295832205,-453909.379894712,-436303.9858075781
0.8,-277573.0575163954,-248651.2621187456,-453785.868856544,-439235.27445973235
0.85,-275374.0005616391,-249747.12637141361,-453769.7011580999,-441699.5988849056
0.9,-273512.41046913073,-250427.82730170566,-453818.62869296886,-443535.58060066507
0.9500000000000001,-271965.65577893326,-250651.38532017218,-453863.02352723293,-445116.1556702632
1.0,-271842.29578022944,-257317.9539354959,-454477.30411105306,-448645.0408803012
