,CVL1,TrainL1,CVL2,TrainL2
0.1,-80934.33871329273,-433.1674634285884,-75324.10519903284,-8880.367338189835
0.15000000000000002,-60883.69513511049,-516.1935375821482,-75924.79710563098,-9276.230116338751
0.2,-47649.26643677436,-509.304435299469,-75032.38391813988,-8870.901804274434
0.25,-39551.300170854214,-465.6094599917333,-74923.42069634818,-8827.25480794861
0.30000000000000004,-41253.93596221365,-703.4031188396527,-75118.39047710484,-8810.495926663698
0.35,-43917.80973116155,-773.9984938000114,-75223.79926927201,-8999.617989284523
0.4,-52462.64209025058,-924.8005441873454,-75300.02397983908,-10886.464551024952
0.45000000000000007,-36628.29424371334,-1063.2443148644977,-75872.32330467839,-11458.50270598703
0.5,-49372.17215655389,-1115.0523529751647,-76235.36681238674,-11499.90489669386
0.55,-38830.10191965984,-1428.0416750312781,-65912.32478756603,-12926.89453870553
0.6,-37154.048583137876,-1510.8034675149497,-64794.87805000362,-13089.806332621845
0.65,-3826.286304926314,-1650.4526629026077,-34915.06538916894,-15007.71472342936
0.7000000000000001,-3386.334014631792,-1815.5256751262696,-25736.716497604608,-15545.982390184912
0.75,-3011.3483175645238,-1888.525133563541,-22566.883994551692,-15764.382190682005
0.8,-2893.8852646102932,-1946.1553988431085,-20743.09365157387,-16010.32375455462
0.85,-2860.678167386019,-2035.2773715808376,-19751.569071398128,-16185.383963825423
0.9,-2776.657081148323,-2043.9167603513647,-19178.563196844458,-16213.42206861202
0.9500000000000001,-2639.9575088495944,-2041.5329345231562,-18881.907441685762,-16194.055334514098
1.0,-2684.8436757713685,-1988.0247136587318,-18467.072025316582,-15756.165227512864
