,CVL1,TrainL1,CVL2,TrainL2
0.1,-0.575350095468995,-0.32478713199418435,-0.678989931268628,-0.21748054784404483
0.15000000000000002,-0.5875335020909926,-0.3412399381699411,-0.7138827985939542,-0.23651580554500073
0.2,-0.5892913895222066,-0.34371385959311834,-0.7403836842497312,-0.23752953552837203
0.25,-0.6010973212811931,-0.32803343101693316,-0.7613015950711214,-0.22482059322094522
0.30000000000000004,-0.6167429760564965,-0.33401652417171274,-0.7797236808220127,-0.2233555542928088
0.35,-0.6257206890189205,-0.3290115965393482,-0.7822845506731579,-0.22029750209179416
0.4,-0.6141461889109753,-0.3470602365532364,-0.7682576506683587,-0.24038245694234747
0.45000000000000007,-0.6308695815427757,-0.3808929871916267,-0.7826338157153521,-0.25178034481950023
0.5,-0.6566477030562043,-0.4007992727090057,-0.803899066088422,-0.25916359362096314
0.55,-0.6676153806553297,-0.4204199752718075,-0.7254952377864496,-0.2717714500305319
0.6,-0.6698536039861009,-0.4460395550647906,-0.7300344469404141,-0.30888206568834314
0.65,-0.6627072561326218,-0.44153898388518636,-0.5784182270644356,-0.31730291209649397
0.7000000000000001,-0.6569151925389929,-0.49264128292602294,-0.4852903045560966,-0.3425117733429463
0.75,-0.65912115297,-0.5213834819175684,-0.4686623747034395,-0.3512156201044394
0.8,-0.6575281715059217,-0.52213485366399,-0.4781565913199753,-0.35659105690841536
0.85,-0.6488309089270022,-0.5206240078016495,-0.47366333497009777,-0.3625394185918015
0.9,-0.6375630650006145,-0.5317127178914077,-0.46864311727403685,-0.3711999950781957
0.9500000000000001,-0.6372947286348611,-0.5342088342588616,-0.46807094155763285,-0.370347399635783
1.0,-0.659088102646634,-0.5352346305009281,-0.47697025603430393,-0.3630386303105827
