,CVL1,TrainL1,CVL2,TrainL2
0.001,-120196974.1531091,-115090759.85403936,-122691614.9068016,-117140931.87606454
0.005,-120133074.62717472,-115135704.09207898,-133637579.1293426,-128261640.38463885
0.01,-120146240.22802046,-115039631.64145312,-144831719.73457038,-140235701.51191822
0.02,-120244126.72354673,-114852160.11862813,-161220848.05664927,-157771676.31617492
0.04,-120229586.65175703,-115016913.76094534,-180952463.55197826,-178613943.6718919
0.06,-120238635.36354989,-115019824.66119742,-192432424.55809683,-190630840.99692282
0.08,-120246332.20341171,-114945100.01727879,-200020968.20041564,-198544466.19190142
0.1,-120327826.7151899,-115000371.38411024,-205474475.52135932,-204220383.12334087
0.2,-120254663.59381658,-115160771.57664637,-220017902.43212655,-219306713.4568628
0.4,-120377162.95019476,-114902606.71109945,-232778662.54460302,-232395117.2874235
0.6,-120365908.4811831,-115250847.99071531,-240939131.97674674,-240646139.90549344
0.8,-120361271.06560327,-115136270.05891606,-247513414.97505212,-247246582.52867603
1.0,-120444083.31501146,-115257727.50016962,-253134187.0299965,-252872460.8399499
1.3,-120573677.84155089,-115265128.20961052,-260289861.1013492,-260024571.33656973
1.7,-120688893.34834328,-115554613.39903781,-268084948.55501285,-267812405.16102213
2.0,-120797924.70171708,-115478816.7138972,-272954988.2901671,-272678571.60049856
5.0,-121841605.04505095,-116535664.18054238,-299691421.9756704,-299420653.10821646
10.0,-123667956.92563684,-117904269.4452983,-315797540.01095223,-315555613.7362481
50.0,-131276845.32275702,-124887224.2033091,-334989538.5717138,-334814441.72120935
100.0,-134607337.1160455,-131152313.33222358,-338049970.84349525,-337888757.10588616
