,CVL1,TrainL1,CVL2,TrainL2
0.001,-25948718.260684565,-9404303.349212553,-25934420.445169844,-9369124.00428765
0.005,-26504156.599189755,-9348228.07221978,-26224936.759438556,-9527144.839134902
0.01,-25699982.902548015,-9379318.110232417,-26248092.2718246,-9622431.831225084
0.02,-26291869.722138584,-9362959.901461313,-26247355.876847737,-9747842.152023792
0.04,-26073474.859536994,-9354753.748783913,-26224642.273484178,-9946221.594260126
0.06,-26040593.97302021,-9358073.321016094,-26215038.22991032,-10131536.449874552
0.08,-26578918.66160442,-9345629.855955508,-26220668.29005982,-10311862.59043051
0.1,-26488466.839265157,-9378523.112235095,-26238439.94554353,-10487965.065903202
0.2,-26835955.889124125,-9331184.09825161,-26439376.070025954,-11320677.117699668
0.4,-25951407.054460023,-9357594.175643347,-27090755.749446433,-12880661.748048803
0.6,-26042313.46473082,-9351541.294655405,-27845188.903119434,-14383109.94302231
0.8,-26138141.620149843,-9329790.962573582,-28614476.75026705,-15833822.174645524
1.0,-26316997.756571293,-9354015.359215768,-29374314.449499253,-17230386.990883075
1.3,-25921016.074882552,-9367304.194525821,-30488636.98864215,-19228505.021493234
1.7,-26354857.753235217,-9403844.152993228,-31941302.859605584,-21737558.261566475
2.0,-26261294.20937868,-9381939.901879402,-33021515.612983134,-23525945.368627302
5.0,-27232874.299098253,-9471357.737620767,-44488354.53381283,-39378384.71363887
10.0,-26033995.69875178,-9543995.481032701,-65921284.01229007,-63460564.575776495
50.0,-25820873.348930083,-9658406.316129759,-184612511.98112032,-184144203.3927743
100.0,-25615711.566405896,-9854629.818448218,-242037769.58725256,-241699827.6619996
