,CVL1,TrainL1,CVL2,TrainL2
0.001,-268563.5677619294,-255856.5866825957,-286948.52203969937,-275237.16383259883
0.005,-268787.75267620996,-256490.0808196905,-321870.31217711244,-312694.33702381194
0.01,-268330.34929440956,-255194.13635183012,-341274.66928663786,-333248.33048350853
0.02,-268658.093339178,-255845.65235172457,-365637.9109412565,-358690.59198675316
0.04,-269664.46072506433,-256373.21167002228,-398327.32825988927,-392248.19228893076
0.06,-271278.4040053224,-256644.12268732875,-421794.9030442023,-416134.80226320756
0.08,-271046.4680006665,-259335.53791740641,-439941.91672028,-434565.67889456364
0.1,-272418.21420359676,-259177.81047673943,-454475.91738395864,-449320.6372329799
0.2,-274435.23954421096,-262180.2484086716,-498368.5080371043,-493916.44539195445
0.4,-281895.28333310824,-269896.63736291643,-533912.7074376246,-530133.7687611044
0.6,-289655.8422121396,-277313.0788729154,-549351.9934798735,-545920.0249669998
0.8,-295759.1197652182,-285559.1861105159,-558054.9613671877,-554844.8711608574
1.0,-301678.8558187477,-290800.91434666637,-563686.9296806668,-560636.634394265
1.3,-311677.49889766367,-300570.5990325063,-569244.8871007537,-566371.6583720775
1.7,-325039.1979250624,-314942.6110966387,-573940.4197200647,-571240.2756939699
2.0,-333327.5025257211,-324404.6646880674,-576384.2150076531,-573787.1080353254
5.0,-353851.9606158335,-345919.5802005802,-586356.1338378272,-584373.1820925986
10.0,-394312.2076061936,-385591.59129568766,-591676.5935248727,-590252.9863317675
50.0,-568988.872330582,-567093.8013171629,-611649.0966513405,-611350.7398551811
100.0,-575507.3446184554,-574593.8013171629,-629337.1751373378,-629138.4636129515
