,CVL1,TrainL1,CVL2,TrainL2
0.001,-2545.1862949461506,-2026.5902761964305,-2740.7817093956073,-2172.9869968880184
0.005,-2490.601543311444,-1935.4628433180624,-3924.035444972081,-3301.8662268484427
0.01,-2547.971024035327,-1924.0563628025375,-5199.452263758627,-4398.732389590195
0.02,-2565.6783341796036,-1981.647548406309,-7187.280687967128,-6069.343070338019
0.04,-2621.3895309772483,-1981.9124642878169,-10344.031328490604,-8728.770189925808
0.06,-2649.016794041907,-2046.6501906334013,-13151.193011106952,-11149.088899907661
0.08,-2632.3239921255654,-2028.2370030968925,-15836.69094853121,-13521.118876235787
0.1,-2691.7952295476493,-2072.31789637642,-18465.596222132303,-15890.356293501176
0.2,-2891.3396889451897,-2241.9847480245335,-31264.899707935616,-27869.24365565942
0.4,-3340.970857821955,-2663.0584875602544,-55833.420136419176,-51817.39925589568
0.6,-3798.705067631141,-3029.156388034217,-79081.48652199525,-74909.71433719005
0.8,-4146.427828184263,-3374.746837812105,-100979.49814077298,-96814.02006538915
1.0,-4384.530090239522,-3561.4232562896227,-121524.48255745416,-117432.82796159235
1.3,-4728.48936658764,-3846.7725478721127,-149883.42260196392,-145953.59538142302
1.7,-5188.889508908084,-4241.608572712976,-183467.9932486865,-179781.5296577453
2.0,-5587.037073241834,-4558.513155320729,-205853.12013492727,-202347.76582316298
5.0,-9909.64784683266,-8165.079279501406,-348462.92962215166,-346203.17065913905
10.0,-13054.442677950463,-10628.009787001563,-454052.73800029076,-452553.4298634908
50.0,-36259.56597701439,-30997.487629231127,-619048.2557103212,-618438.8087836367
100.0,-67716.72315607495,-61446.26508618235,-652757.4354112946,-652391.548931341
