,CVL1,TrainL1,CVL2,TrainL2
0.001,-1.5047950269574315,-1.4416418593894158,-1.4932617735745042,-1.4339285188590727
0.005,-1.5652445646360138,-1.5105633479623113,-1.550061736615115,-1.4952020596995141
0.01,-1.6895589207677977,-1.6176763090838822,-1.5968791431799492,-1.5431279523419614
0.02,-1.8216035447071386,-1.769219634426479,-1.6527373083364325,-1.598899765090109
0.04,-1.8585851848099202,-1.8367855362792809,-1.708858086634256,-1.6552308435456449
0.06,-1.858919287633366,-1.8387855362792809,-1.7389027347767043,-1.6864650983525762
0.08,-1.8593398974637114,-1.839927755439366,-1.7583960279416828,-1.7074147360053937
0.1,-1.8592657157551318,-1.839927755439366,-1.7723348671213757,-1.7227874923082858
0.2,-1.8592657157551318,-1.839927755439366,-1.8083202928563769,-1.7641822653851083
0.4,-1.8592657157551318,-1.839927755439366,-1.832735659301084,-1.794096509100361
0.6,-1.8592657157551318,-1.839927755439366,-1.8421138505729735,-1.8063779079168663
0.8,-1.8592657157551318,-1.839927755439366,-1.8469544529571695,-1.8131194307752805
1.0,-1.8592657157551318,-1.839927755439366,-1.8498479783847115,-1.8174016523795828
1.3,-1.8592657157551318,-1.839927755439366,-1.8524540494653847,-1.8215492901557706
1.7,-1.8592657157551318,-1.839927755439366,-1.8543999939876759,-1.8249713504281844
2.0,-1.8592657157551318,-1.839927755439366,-1.8552960697283012,-1.8267116988122925
5.0,-1.8592657157551318,-1.839927755439366,-1.8578814748647445,-1.8332838593742897
10.0,-1.8592657157551318,-1.839927755439366,-1.8585121323155078,-1.8359862616212812
50.0,-1.8592657157551318,-1.839927755439366,-1.8589531040287761,-1.8387416770265566
100.0,-1.8592657157551318,-1.839927755439366,-1.8590374156694198,-1.8392163352489272
