,CVL1,TrainL1,CVL2,TrainL2
0.001,-0.23629705228374254,-0.15654089521671094,-0.22881625370197053,-0.15763930052463848
0.005,-0.29907649816097553,-0.19693983965505993,-0.272040455953978,-0.20229905421174207
0.01,-0.329091423395482,-0.24233132836909058,-0.3023809840965448,-0.22899153547233447
0.02,-0.3819473940558794,-0.3086303747366635,-0.3392602775372072,-0.25841338388736806
0.04,-0.45478621667560903,-0.36127211552769917,-0.38678504944930625,-0.29459655642953786
0.06,-0.5381366772233167,-0.42431299121006616,-0.4221801256099027,-0.3216652571477821
0.08,-0.6128875882859013,-0.49415278370689963,-0.45153388205037354,-0.34458513319646733
0.1,-0.6588668315443127,-0.5421722592552138,-0.4769333527391972,-0.3648805702315493
0.2,-0.9529817139097463,-0.8779242976065637,-0.5720467161241206,-0.44530514281737194
0.4,-1.3601651552291185,-1.2954009805868931,-0.6997811999343143,-0.5626977060286752
0.6,-1.6026519598972337,-1.495400980586893,-0.7964669530651121,-0.6555419880784091
0.8,-1.7812810003277952,-1.7754009805868929,-0.8762909461102201,-0.7335248347217851
1.0,-1.8592657157551318,-1.839927755439366,-0.9439876269184178,-0.8003465423267653
1.3,-1.8592657157551318,-1.839927755439366,-1.0283971947970003,-0.8844905710406366
1.7,-1.8592657157551318,-1.839927755439366,-1.1174985666813133,-0.9744010633729154
2.0,-1.8592657157551318,-1.839927755439366,-1.1715230722029297,-1.0295565666522255
5.0,-1.8592657157551318,-1.839927755439366,-1.444951135394428,-1.3199473784945446
10.0,-1.8592657157551318,-1.839927755439366,-1.5928803770728626,-1.4903748812056006
50.0,-1.8592657157551318,-1.839927755439366,-1.7729633572207222,-1.7218699280749732
100.0,-1.8592657157551318,-1.839927755439366,-1.8098392157081957,-1.77237145171867
