,CVL1,TrainL1,CVL2,TrainL2
0.001,0.4675324675324675,0.4675324675324675,0.5407505879946825,0.5536353410369158
0.005,0.47612230289395646,0.47612230289395646,0.4853256979241231,0.4872686368749361
0.01,0.47612230289395646,0.47612230289395646,0.5173330606401473,0.5326720523570917
0.02,0.514367522241538,0.49360875345127314,0.5625319562327437,0.5923918601083955
0.04,0.5275590551181102,0.5394212087125473,0.6175478065241845,0.6227630637079457
0.06,0.5417731874424788,0.5472952244605788,0.6206156048675734,0.6251150424378771
0.08,0.547499744350138,0.5491359034666121,0.6249105225483178,0.6279783208917067
0.1,0.5486246037427139,0.6103896103896104,0.6228653236527252,0.6118212496165252
0.2,0.6165252070763881,0.6344206974128234,0.5971980775130381,0.5945393189487678
0.4,0.681767051845792,0.6895388076490439,0.6016975150833419,0.6089579711626956
0.6,0.7052868391451068,0.7180693322425606,0.6138664485121178,0.6196952653645567
0.8,0.7186828919112384,0.7242049289293384,0.6219449841497086,0.6272625012782493
1.0,0.7214439104202883,0.7197054913590347,0.6259331219961142,0.6335003579098067
1.3,0.7205235709172717,0.7174557725738828,0.6326822783515696,0.6407608139891604
1.7,0.7143879742304939,0.714081194396155,0.6427037529399734,0.649452909295429
2.0,0.7131608548931384,0.7136721546170365,0.646691890786379,0.6517026280805809
5.0,0.7150015338991716,0.7162286532365273,0.681767051845792,0.699151242458329
10.0,0.7163309131813069,0.7157173535126291,0.7141834543409347,0.718785151856018
50.0,0.7200122711933735,0.7205235709172717,0.7249207485427958,0.7257388281010329
100.0,0.723182329481542,0.7227732897024236,0.7219552101441865,0.7248184885980161
