,CVL1,TrainL1,CVL2,TrainL2
0.1,-117646395.43146248,-97482329.65379189,-204092141.29799488,-187249066.61256045
0.15000000000000002,-117394853.6116297,-96750579.15560625,-203960907.46443957,-186451968.56119508
0.2,-117315165.36772206,-96068897.30774131,-203862856.59521607,-185527040.67106128
0.25,-117230512.7813342,-95684795.8428848,-203937285.10459295,-184841309.8239297
0.30000000000000004,-117218392.76560077,-95443828.87385818,-203937713.50635645,-184445821.62317163
0.35,-117330333.01538542,-95602977.30959825,-203909606.53132224,-184316682.7082737
0.4,-117433041.69440024,-96090570.30952044,-203849415.62511903,-185099910.64912137
0.45000000000000007,-117418702.30746412,-96334542.81341386,-203888966.57479566,-185899729.8751752
0.5,-117590214.24481237,-96604269.29031481,-203959916.7525187,-186485578.88877383
0.55,-117484123.98218425,-96779429.7866976,-203942656.94124988,-187210723.48418015
0.6,-117564199.90009543,-97112703.89889562,-203983344.61053059,-187845472.24241096
0.65,-117933351.24739778,-97509834.42522618,-203968130.0888124,-188730444.62147388
0.7000000000000001,-118043080.91334537,-97674802.7492781,-204006219.99606737,-189582309.21320534
0.75,-118237522.47487922,-97858896.5498968,-204053632.17273054,-190230111.99530172
0.8,-118506554.99397492,-97946068.69925906,-204118722.97440845,-190664335.84081906
0.85,-118651263.81835726,-98053404.05338332,-204145059.52345252,-191128732.09828585
0.9,-118759651.35079364,-98020488.40837316,-204172257.7900159,-191547054.6824713
0.9500000000000001,-118987253.8446028,-98174922.72490905,-204227304.3848999,-192072110.3315118
1.0,-120154418.24370947,-114550745.01507452,-205478903.85171062,-203990814.556383
