,CVL1,TrainL1,CVL2,TrainL2
0.1,-25492765.098043106,-7294.783489514154,-25482416.381791107,-43134.49415611012
0.15000000000000002,-25298575.43090122,-7779.945861775486,-25487336.13023,-43506.75210145689
0.2,-25613469.3759077,-8736.586161304132,-25490341.354819175,-43860.33315588893
0.25,-26074263.721715484,-13419.964713798749,-25488140.201438528,-43753.20339984128
0.30000000000000004,-25268809.038788684,-11168.315323942927,-25489440.87494501,-43842.51976575046
0.35,-26106688.23375649,-10742.644727379438,-25491036.329059172,-43831.47706737924
0.4,-25344541.695077237,-8807.183567539392,-25492630.208194874,-45176.53980465645
0.45000000000000007,-25623496.42204202,-14081.680557471027,-25490582.223678634,-46103.80895172135
0.5,-25654731.71786781,-10040.961932125694,-25492170.02998904,-46457.82565367123
0.55,-25960132.946880937,-5877.038589895083,-25491304.752798136,-47159.0256742787
0.6,-25591061.796747595,-4517.030740043442,-25493107.328612424,-47587.34553383808
0.65,-25493349.58526752,-7212.877367675968,-25508172.893580087,-48600.52885989122
0.7000000000000001,-25488006.649695076,-9781.773126269296,-25521765.82410432,-49368.02620322746
0.75,-25874921.889495317,-6921.9861786970305,-25531860.549968675,-49701.261846441164
0.8,-25512064.419232685,-6293.620760425203,-25541689.68821081,-49763.936205382335
0.85,-25483728.434919484,-6500.611756452853,-25548324.043935448,-49762.579124176984
0.9,-25461857.72219147,-11705.910668955787,-25554204.28211377,-49672.09777649147
0.9500000000000001,-25340529.40398847,-4524.86389396647,-25560046.73583148,-49502.632725565505
1.0,-25431723.193610214,-7141253.716934805,-25579232.987157173,-7592305.726301044
