,CVL1,TrainL1,CVL2,TrainL2
0.1,-293713.91476416343,-223522.5653322686,-449198.228236633,-408794.52627619996
0.15000000000000002,-294801.09873844654,-222807.75252264488,-449602.21314919007,-409118.52811714297
0.2,-295380.9536255585,-221582.6043214337,-450104.99646892014,-408095.0741728436
0.25,-295274.9925637379,-221700.54637635173,-450160.7510714137,-408039.30257128435
0.30000000000000004,-294131.59416688373,-220109.01412061072,-450082.1596449466,-407837.8558230129
0.35,-295620.78981150256,-220919.37843708234,-450051.3614248706,-407469.0107434949
0.4,-296187.5837262161,-224721.16199551188,-451134.3273675052,-411069.7656798414
0.45000000000000007,-297212.85110495414,-228467.3853159776,-452432.7826944439,-414901.5989584082
0.5,-298245.838344335,-230021.1874366383,-453297.31542591983,-417223.5934508482
0.55,-297560.05067123706,-234332.92651154724,-454361.5250493097,-421127.3570333234
0.6,-297726.07101312745,-236575.69632673622,-455038.3502084788,-423846.9309899317
0.65,-291331.33957747725,-240916.1431424148,-454697.38665039197,-428415.81631623826
0.7000000000000001,-285161.60680332535,-244786.0020129978,-454098.21219560987,-432850.20553579053
0.75,-280901.43974972086,-246899.76444227452,-453909.37989471183,-436303.98580757796
0.8,-277663.9430680258,-248670.42069531008,-453785.868856544,-439235.2744597324
0.85,-275156.45346352906,-249735.6792279672,-453769.7011581,-441699.5988849056
0.9,-273221.3363145208,-250022.01697160388,-453818.6286929689,-443535.5806006651
0.9500000000000001,-272647.6451412657,-251475.67759913942,-453863.02352723293,-445116.15567026334
1.0,-271556.66642123926,-256851.87823636745,-454477.3041110531,-448645.0408803012
