,CVL1,TrainL1,CVL2,TrainL2
0.1,-615597.7831843955,-55637.08556027545,-329605.6917429102,-288699.7983658511
0.15000000000000002,-629095.1766947296,-54752.87909478009,-328761.9106496094,-288131.75897042267
0.2,-647110.0531584312,-54390.627466298385,-328730.96705369826,-286731.5214032417
0.25,-638680.1631915722,-53796.560172791964,-328613.7391596438,-286123.77375764045
0.30000000000000004,-634951.2550232236,-53581.33070522654,-328420.3476329443,-285435.4884790289
0.35,-654593.0132360018,-53591.31501757373,-328363.11352752184,-284827.27568126796
0.4,-665336.8636596694,-57553.81571868375,-328637.1488931129,-286809.9910052004
0.45000000000000007,-642930.1780902235,-57710.349894228704,-328943.8006592336,-289671.1923719301
0.5,-633353.3504069134,-57904.69914674594,-329308.050764309,-291835.8415285972
0.55,-489832.833951427,-59794.36246713323,-329236.8399697306,-294774.15507463244
0.6,-493881.0717472788,-60332.64282992573,-329133.2882943105,-297197.39698673505
0.65,-79874.23628332328,-64299.280811852994,-328333.90603656834,-300645.4084523112
0.7000000000000001,-73985.39179376508,-64566.58401116876,-327695.3245097664,-304462.3583211334
0.75,-73349.9142185131,-65022.85298670689,-327369.2773594717,-307492.7319393483
0.8,-73565.44133961906,-65147.8194822519,-327103.31918094115,-309962.96654645435
0.85,-73795.6576171023,-65359.2097697341,-326908.52785428887,-312108.32801071374
0.9,-73941.5517214382,-65449.60704570623,-326862.62996375316,-313902.50896892673
0.9500000000000001,-73904.9215270376,-65639.97242063077,-326833.97187210567,-315529.79415040143
1.0,-74849.00542748632,-69672.8465281702,-331774.1376812438,-317711.17222416756
