,CVL1,TrainL1,CVL2,TrainL2
0.1,-1.1662930316455462,-0.9204862368684598,-0.9448909629061724,-0.7035398060159485
0.15000000000000002,-1.1062764341596996,-0.8953607692476451,-0.9181762750948576,-0.7335160842415457
0.2,-1.1697745599957516,-0.9251799770976377,-0.9397159809028365,-0.7349950490493256
0.25,-1.192131704471414,-0.8952611560544103,-0.973371927731927,-0.6992672345271702
0.30000000000000004,-1.1809880871095757,-0.8782999413643665,-0.9584053136820458,-0.6843356163924226
0.35,-1.1793300386703354,-0.8624125102112187,-0.9546748887756463,-0.6771967691901756
0.4,-1.2091711194686041,-0.9256339126412136,-0.9555324354881296,-0.7073308786049614
0.45000000000000007,-1.2083816017668216,-0.9188930177121154,-0.968936867567544,-0.7047862845606911
0.5,-1.2029804818862666,-0.9146473350276934,-0.9623471187457998,-0.7010239953965549
0.55,-1.227206284556738,-0.9287358042996774,-0.9735379278956113,-0.6942853015554789
0.6,-1.271750073233552,-1.0098511312288556,-0.9770198276906541,-0.731248429952616
0.65,-1.2456319651297716,-1.0175924577121462,-0.9707867972372188,-0.7321919805181898
0.7000000000000001,-1.2431232742930045,-1.0295860124841598,-0.968201110948827,-0.7513720129496886
0.75,-1.2567975006893661,-1.0240097716066896,-0.9756103630497123,-0.7469535383710303
0.8,-1.2727465835021252,-1.0490527325071715,-0.9810593896165922,-0.7501478143361553
0.85,-1.2565959075296227,-1.061249109636194,-0.9708846984731927,-0.7589111885721177
0.9,-1.2478696565831686,-1.071378047122868,-0.966581888473095,-0.7718081152316448
0.9500000000000001,-1.2562495496097306,-1.0650993978118146,-0.9698441012903618,-0.7658673170588505
1.0,-1.3001876712280698,-1.1028444909400812,-0.997046955822648,-0.8044463169755277
