,CVL1,TrainL1,CVL2,TrainL2
0.001,-120340235.08900462,-114861697.1987644,-122704258.36742762,-117115396.30571079
0.005,-120243478.43585101,-114888185.22613738,-133637747.2943739,-128262967.57658197
0.01,-120316536.31243676,-115005269.28877257,-144831715.0540686,-140235710.89456865
0.02,-120306117.98672798,-114830187.48569673,-161220848.0574842,-157771676.3199108
0.04,-120315037.24196443,-114861708.2720532,-180952463.5519782,-178613943.67189193
0.06,-120266832.4264732,-115176957.50613955,-192432424.55809686,-190630840.9969229
0.08,-120227403.57031842,-114977809.92284742,-200020968.20041567,-198544466.19190148
0.1,-120282743.83120857,-115027070.37857331,-205474475.52135935,-204220383.12334082
0.2,-120253806.34716587,-114870781.309857,-220017902.43212655,-219306713.45686284
0.4,-120398345.84017377,-115012708.41175257,-232778662.54460302,-232395117.2874235
0.6,-120436027.63883093,-115031843.12140255,-240939131.97674674,-240646139.90549344
0.8,-120391686.88103049,-115280879.44495714,-247513414.97505212,-247246582.52867603
1.0,-120420399.09380645,-115223851.099496,-253134187.02999657,-252872460.8399499
1.3,-120621967.08367974,-115366588.5521846,-260289861.1013492,-260024571.33656973
1.7,-120708846.30429034,-115320863.24785832,-268084948.55501285,-267812405.16102207
2.0,-120763754.97448507,-115437756.21879636,-272954988.29016715,-272678571.6004986
5.0,-121807607.56251204,-116275268.34261733,-299691421.9756704,-299420653.10821646
10.0,-123554497.69868204,-117964703.91723146,-315797540.01095223,-315555613.736248
50.0,-131334611.23410729,-124942735.69644804,-334989538.5717138,-334814441.72120935
100.0,-134676503.82684317,-131131008.91174328,-338049970.84349525,-337888757.10588616
