,CVL1,TrainL1,CVL2,TrainL2
0.001,-25489701.69092296,-7151325.129717223,-25511963.80542601,-7175812.149198458
0.005,-25315530.238856014,-7144511.636181047,-25515422.746142883,-7218424.366271927
0.01,-25252177.099114507,-7163571.133875168,-25513369.243987028,-7240182.770428025
0.02,-25406761.739709686,-7151195.452812284,-25518354.10963547,-7280738.882251901
0.04,-25599724.931110106,-7155235.534660435,-25532334.483680096,-7375878.659742097
0.06,-25626814.21324325,-7167231.621313287,-25545989.37332056,-7479985.364760193
0.08,-25181399.345977586,-7153550.766605342,-25558154.280150797,-7583992.128454856
0.1,-25339947.20092204,-7153001.593215638,-25568775.25832954,-7684004.580710488
0.2,-25449083.94248153,-7149764.365964064,-25604762.234907422,-8105818.035008345
0.4,-25484146.46451503,-7158924.506708356,-25636216.135960747,-8715452.55998798
0.6,-25496992.97010813,-7197862.8507172875,-25653597.48574703,-9224516.044355128
0.8,-25411175.287347276,-7157423.494522764,-25674969.306374315,-9715700.329089837
1.0,-25178567.6063686,-7157979.171750661,-25707458.738865994,-10209780.147224844
1.3,-25529913.620567806,-7196140.253173191,-25783095.911771357,-10964408.657125222
1.7,-25869786.310565736,-7197971.214610331,-25938073.976441953,-11990660.19987225
2.0,-25423872.982490584,-7128112.973919366,-26094434.15777639,-12768176.133497223
5.0,-25491345.914657343,-7224010.809504987,-29182905.491834603,-20456459.579282776
10.0,-25479171.84265003,-7235372.356801673,-38124495.39443034,-33134006.715040866
50.0,-25841390.781912528,-7318380.334711891,-124384932.6722803,-123903204.74110252
100.0,-25665637.240967456,-7454590.339051379,-188225555.30543157,-188099812.5711963
