,CVL1,TrainL1,CVL2,TrainL2
0.001,-268931.56931380567,-254986.12925296684,-286719.4281984798,-274828.7101184262
0.005,-268670.9461330102,-254192.79465685916,-321869.6583713696,-312690.71200914076
0.01,-268439.948431151,-255984.84938863476,-341274.6225892696,-333248.3134626033
0.02,-269073.402032509,-256442.7660570123,-365637.91094774776,-358690.5919823256
0.04,-270213.6134612587,-256912.20458395517,-398327.32825988915,-392248.19228893064
0.06,-270378.3561565044,-257547.5078680091,-421794.9030442022,-416134.80226320715
0.08,-270537.7138659788,-258261.39258366355,-439941.91672028013,-434565.67889456364
0.1,-271312.4026810471,-258305.6663393297,-454475.91738395864,-449320.63723298
0.2,-274659.3151418989,-262144.974482803,-498368.5080371042,-493916.44539195456
0.4,-281727.4209442441,-270725.0751921629,-533912.7074376246,-530133.7687611043
0.6,-289521.98775420146,-277846.72777322057,-549351.9934798735,-545920.0249669998
0.8,-295443.9624926088,-284817.7015452598,-558054.9613671877,-554844.8711608574
1.0,-301183.056240924,-291436.008985279,-563686.9296806669,-560636.634394265
1.3,-310981.98992395843,-300281.1260283841,-569244.8871007537,-566371.6583720774
1.7,-325070.5025225857,-314754.22608112387,-573940.4197200647,-571240.27569397
2.0,-333446.632308551,-323373.17271634244,-576384.2150076531,-573787.1080353254
5.0,-354021.78890561475,-345736.0590692761,-586356.1338378272,-584373.1820925986
10.0,-394229.0082753678,-385555.9374574573,-591676.5935248727,-590252.9863317675
50.0,-568988.872330582,-567093.8013171629,-611649.0966513405,-611350.7398551811
100.0,-575521.3261687582,-574593.8013171629,-629337.1751373378,-629138.4636129515
