,CVL1,TrainL1,CVL2,TrainL2
0.001,-74110.16544345452,-68688.49538600713,-91413.46316392938,-83509.59189457611
0.005,-73755.51990020662,-68120.88162378129,-133060.27273873016,-121759.74821255526
0.01,-73321.86232351435,-68714.77048073908,-154614.12822948955,-141972.49311155602
0.02,-74224.30132212177,-69010.69280180299,-180950.8577843875,-167680.73031504775
0.04,-74292.5786640869,-68871.44845178182,-225344.415869413,-211750.7567188206
0.06,-74874.09949122931,-69551.17468016272,-265509.7929374304,-251842.12566837098
0.08,-74385.39299763665,-69326.59288479936,-300939.1260568084,-287358.35635746404
0.1,-74936.56878445501,-70135.72995295192,-331772.55844859465,-318389.3270449477
0.2,-76054.15787809604,-72373.68755839406,-436258.0206613948,-424425.697208582
0.4,-78237.02306906835,-73078.94422357279,-531313.6880193445,-522130.5646059342
0.6,-82206.78350660969,-75841.79781525664,-574920.2599051795,-567381.7878318699
0.8,-84096.28078136723,-78629.49505826716,-599897.8979163119,-593441.7649220029
1.0,-88280.3672462438,-81906.23472616037,-616086.3428260767,-610396.4945836678
1.3,-92872.97189521685,-86220.84359578213,-631925.7086772423,-627046.6994658681
1.7,-99739.80641480423,-93177.31970787329,-645008.8343820667,-640859.4685381457
2.0,-103909.70060680681,-96250.58512294642,-651613.6302375577,-647860.4975373659
5.0,-117952.05276517995,-110475.32586942478,-675292.3158209346,-673243.7282897055
10.0,-138368.78404199632,-130611.49297601446,-683645.7498434302,-682425.5476733288
50.0,-425313.839677277,-419511.0452427934,-690543.7658414597,-690240.2870386003
100.0,-652357.1347010286,-650396.6557909716,-691443.2172536016,-691284.8584962637
