,CVL1,TrainL1,CVL2,TrainL2
0.001,-1.505649408765307,-1.4413511859683796,-1.4932127831375135,-1.433819806803156
0.005,-1.5655556722462836,-1.5106630096991371,-1.5500528455485603,-1.495203069694114
0.01,-1.6896585809130438,-1.6177796087015825,-1.5968791420410244,-1.5431277298546289
0.02,-1.8214826095729075,-1.768969655815034,-1.652737308359476,-1.598899765100205
0.04,-1.8585785952007836,-1.8367855362792809,-1.7088580866342555,-1.6552308435456449
0.06,-1.858919287633366,-1.8387855362792809,-1.7389027347767043,-1.6864650983525762
0.08,-1.8593398974637114,-1.839927755439366,-1.7583960279416828,-1.7074147360053937
0.1,-1.8592657157551318,-1.839927755439366,-1.7723348671213754,-1.7227874923082858
0.2,-1.8592657157551318,-1.839927755439366,-1.8083202928563769,-1.7641822653851083
0.4,-1.8592657157551318,-1.839927755439366,-1.832735659301084,-1.794096509100361
0.6,-1.8592657157551318,-1.839927755439366,-1.8421138505729735,-1.8063779079168663
0.8,-1.8592657157551318,-1.839927755439366,-1.8469544529571695,-1.8131194307752805
1.0,-1.8592657157551318,-1.839927755439366,-1.8498479783847115,-1.8174016523795828
1.3,-1.8592657157551318,-1.839927755439366,-1.8524540494653847,-1.8215492901557706
1.7,-1.8592657157551318,-1.839927755439366,-1.8543999939876759,-1.8249713504281844
2.0,-1.8592657157551318,-1.839927755439366,-1.8552960697283012,-1.8267116988122925
5.0,-1.8592657157551318,-1.839927755439366,-1.8578814748647445,-1.8332838593742897
10.0,-1.8592657157551318,-1.839927755439366,-1.8585121323155074,-1.8359862616212812
50.0,-1.8592657157551318,-1.839927755439366,-1.8589531040287761,-1.8387416770265566
100.0,-1.8592657157551318,-1.839927755439366,-1.8590374156694198,-1.8392163352489272
