,CVL1,TrainL1,CVL2,TrainL2
0.001,-0.7005350612882918,-0.5344733827926417,-0.694931879688813,-0.5288434056109104
0.005,-0.7355341190355774,-0.5610391665258834,-0.7291634947156854,-0.5582668578796791
0.01,-0.7852064415583829,-0.5964505806069477,-0.7528063272329314,-0.5778767018561577
0.02,-0.8451414862203532,-0.6416448267967078,-0.7846214348500745,-0.6056959666553077
0.04,-0.9281635187862579,-0.7268624085692762,-0.8400181467241536,-0.6569398075749657
0.06,-1.0207289896113982,-0.8238063662834479,-0.8947415402595803,-0.7087827620909506
0.08,-1.1515217943825284,-0.9544510933083813,-0.9474808290770732,-0.7592138661109111
0.1,-1.300277408157716,-1.1125867540405516,-0.996936693140984,-0.8067578659542285
0.2,-1.806104688612809,-1.6220697422536734,-1.1901244485159728,-0.9939120319053659
0.4,-1.8544503037367603,-1.798989288453407,-1.4026798265315945,-1.201888855250717
0.6,-1.8592657157551318,-1.839927755439366,-1.5133647828240893,-1.3115778826781677
0.8,-1.8592657157551318,-1.839927755439366,-1.5810528105036163,-1.3797955315576969
1.0,-1.8592657157551318,-1.839927755439366,-1.6268172827702094,-1.4269133742424511
1.3,-1.8592657157551318,-1.839927755439366,-1.6732488136201964,-1.476228871869448
1.7,-1.8592657157551318,-1.839927755439366,-1.7130527086939265,-1.520660253135984
2.0,-1.8592657157551318,-1.839927755439366,-1.7337420736590492,-1.5450534717125086
5.0,-1.8592657157551318,-1.839927755439366,-1.81232132773125,-1.6565007385156882
10.0,-1.8592657157551318,-1.839927755439366,-1.8414168175802799,-1.7178948595239378
50.0,-1.8592657157551318,-1.839927755439366,-1.8588013211054841,-1.7979783154683326
100.0,-1.8592657157551318,-1.839927755439366,-1.8589112435846782,-1.8149456835476612
