,CVL1,TrainL1,CVL2,TrainL2
0.001,0.4675324675324675,0.4675324675324675,0.4812353001329379,0.4811330401881583
0.005,0.5430003067798344,0.501380509254525,0.4874731567644954,0.49718785151856015
0.01,0.538398609264751,0.49872175069025465,0.5204008589835362,0.5369669700378362
0.02,0.4968810716842213,0.4896206156048676,0.5646794150731158,0.5964822578995808
0.04,0.5278658349524491,0.539216688822988,0.6152980877390326,0.6208201247571327
0.06,0.5435116065037325,0.5470907045710195,0.6191839656406586,0.6240924429900808
0.08,0.545556805399325,0.5485223437979343,0.6253195623274364,0.6263421617752326
0.1,0.5483178239083751,0.6062992125984252,0.6229675835975048,0.6100828305552715
0.2,0.6166274670211678,0.6326822783515696,0.5960732181204622,0.5944370590039881
0.4,0.6786992535024031,0.6893342877594846,0.6020042949176807,0.6089579711626956
0.6,0.699458022292668,0.7173535126291032,0.6154003476838122,0.619593005419777
0.8,0.7173535126291032,0.7261478678801514,0.6217404642601493,0.6271602413334697
1.0,0.7260456079353718,0.7235913692606606,0.6264444217200122,0.6333980979650271
1.3,0.7174557725738828,0.7174557725738828,0.6336026178545864,0.6410675938234993
1.7,0.7169444728499846,0.7145924941200532,0.6416811534921771,0.6493506493506493
2.0,0.7151037938439513,0.7138766745065958,0.6459760711729216,0.6518048880253605
5.0,0.7156150935678495,0.7200122711933735,0.6818693117905716,0.6996625421822272
10.0,0.7183761120768994,0.7195009714694754,0.7135698946722568,0.7195009714694754
50.0,0.7213416504755087,0.723182329481542,0.7246139687084568,0.7254320482666939
100.0,0.722671029757644,0.716842212905205,0.7262501278249309,0.7254320482666939
