,CVL1,TrainL1,CVL2,TrainL2
0.001,0.47100930565497495,0.48225789958073423,0.7960936701094181,0.8236015952551385
0.005,0.839247366806422,0.8604151753758053,0.9552101441865222,0.9577666428060129
0.01,0.9511197463953369,0.9654361386644851,0.9702423560691277,0.9722875549647203
0.02,0.984251968503937,0.9877288066264445,0.9675835975048573,0.9664587381122814
0.04,0.9868084671234277,0.9866039472338685,0.9666632580018407,0.9662542182227222
0.06,0.9875242867368852,0.9881378464055629,0.9675835975048573,0.9697310563452296
0.08,0.9883423662951222,0.9900807853563759,0.9697310563452296,0.9716739952960426
0.1,0.9892627057981389,0.99171694447285,0.971571735351263,0.9725943347990592
0.2,0.9934553635341037,0.9944779629818999,0.9761734328663463,0.9792412312097352
0.4,0.9950915226505778,0.9950915226505778,0.9817977298292259,0.985070048062174
0.6,0.9950915226505778,0.995296042540137,0.9857858676756315,0.9877288066264445
0.8,0.9951937825953574,0.9953983024849167,0.987012987012987,0.9898762654668166
1.0,0.9955005624296963,0.9955005624296963,0.9887514060742407,0.9906943450250537
1.3,0.9955005624296963,0.9957050823192556,0.9903875651907148,0.9915124245832907
1.7,0.9957050823192556,0.9958073422640352,0.9914101646385111,0.9923305041415278
2.0,0.9957050823192556,0.9959096022088149,0.9922282441967482,0.9934553635341037
5.0,0.9960118621535944,0.9960118621535944,0.9948870027610185,0.995296042540137
10.0,0.9960118621535944,0.9960118621535944,0.9959096022088149,0.9960118621535944
50.0,0.9960118621535944,0.9960118621535944,0.9960118621535944,0.9960118621535944
100.0,0.9960118621535944,0.9960118621535944,0.9960118621535944,0.9960118621535944
