,CVL1,TrainL1,CVL2,TrainL2
0.1,-117672382.53029236,-97467499.16501608,-204092141.2979949,-187249066.61256045
0.15000000000000002,-117368271.74053109,-96677718.2835719,-203960907.46443957,-186451968.56119514
0.2,-117334293.12498799,-96090835.77466848,-203862856.59521604,-185527040.67106128
0.25,-117351860.68850374,-95790161.26239438,-203937285.10459295,-184841309.82392973
0.30000000000000004,-117486058.96595803,-95608993.69288805,-203937713.50635648,-184445821.6231717
0.35,-117421248.32065746,-95659880.3186181,-203909606.5313222,-184316682.70827368
0.4,-117384093.34268,-96082707.24709399,-203849415.62511894,-185099910.64912134
0.45000000000000007,-117394204.2587609,-96295732.8072576,-203888966.57479566,-185899729.87517524
0.5,-117562502.34792194,-96616348.7358794,-203959916.75251868,-186485578.8887738
0.55,-117535010.26351547,-96837428.840351,-203942656.9412499,-187210723.48418015
0.6,-117624084.7315044,-97131281.39452186,-203983344.61053059,-187845472.24241096
0.65,-117841620.76961748,-97384800.35864441,-203968130.08881244,-188730444.62147394
0.7000000000000001,-118083301.97634192,-97780389.01948023,-204006219.99606735,-189582309.21320534
0.75,-118242221.41773233,-97901209.97430338,-204053632.1727305,-190230111.99530175
0.8,-118400967.16837683,-97895305.95869443,-204118722.97440845,-190664335.84081903
0.85,-118742328.52196613,-98092284.09334385,-204145059.52345252,-191128732.09828588
0.9,-118713604.58943586,-98059261.123895,-204172257.79001588,-191547054.68247128
0.9500000000000001,-118957500.4299653,-98161703.44681802,-204227304.3848999,-192072110.3315118
1.0,-120244278.79252927,-114574360.52578136,-205478903.85171062,-203990814.55638298
