,CVL1,TrainL1,CVL2,TrainL2
0.1,-26034161.140633382,-11291.001493524966,-25822801.751082517,-65934.36686648351
0.15000000000000002,-26117775.58090582,-6702.700636731881,-25585617.301497754,-67666.55728375308
0.2,-26084134.82747405,-14058.050627826484,-25580096.95123309,-68475.56502766951
0.25,-26768109.514780756,-15358.114353853181,-25594909.45738344,-68127.58485700341
0.30000000000000004,-25236582.783101115,-13340.026523035738,-25598603.310847946,-68295.04440663653
0.35,-25758783.325745754,-8142.092770841754,-25584727.48915347,-68067.30992717703
0.4,-26328778.7503838,-4455.557671826253,-25587226.55189013,-67851.78872075898
0.45000000000000007,-25467563.502294734,-6316.405147490678,-25583929.1057481,-68545.52708239711
0.5,-27052849.287130196,-6843.995741991923,-25572343.253083088,-68459.57574516366
0.55,-25458199.372666664,-9628.734937565408,-25557302.42882749,-67978.58148000296
0.6,-25513817.773345277,-8970.240944422105,-25558641.56635259,-68205.90888033135
0.65,-28315598.53011026,-7427.6050954725915,-25556230.78690398,-68094.33978688312
0.7000000000000001,-25308679.63307665,-9616.46829139699,-25520702.98922392,-68295.76538923878
0.75,-25587854.889412235,-5444.963948426978,-25529822.264152136,-68035.93176712799
0.8,-25403880.174146965,-6666.581510593521,-25539890.982748408,-67497.41990225024
0.85,-26235603.861864008,-15378.73981955116,-25545449.034251533,-67375.74950577086
0.9,-25396786.23164911,-5977.5516740813555,-25547627.48363425,-66985.62341041659
0.9500000000000001,-25222828.071208306,-10017.825558279786,-25551951.47151695,-66831.95347238022
1.0,-29306851.652365524,-8404231.749664925,-25568599.43733316,-8582821.435067678
