,CVL1,TrainL1,CVL2,TrainL2
0.1,-294658.2081199255,-224429.00209449185,-449198.22823663306,-408794.5262762001
0.15000000000000002,-295187.8440619606,-223266.30234201034,-449602.21314918995,-409118.52811714297
0.2,-295302.4041838508,-221456.18702119743,-450104.99646892014,-408095.0741728436
0.25,-295291.88531436154,-221890.54737798436,-450160.7510714138,-408039.3025712843
0.30000000000000004,-295428.91355061776,-221163.19592314592,-450082.15964494634,-407837.85582301277
0.35,-295169.1823146862,-220454.3317041284,-450051.3614248705,-407469.0107434949
0.4,-296034.6548359302,-224948.6698971531,-451134.32736750494,-411069.7656798413
0.45000000000000007,-297521.0451944241,-228269.8809073094,-452432.78269444377,-414901.59895840817
0.5,-298603.32812695217,-230775.6181717341,-453297.31542591995,-417223.59345084836
0.55,-297832.80999132805,-233768.65887436146,-454361.5250493096,-421127.3570333233
0.6,-297666.9626923717,-236727.26124939654,-455038.3502084788,-423846.9309899316
0.65,-290664.2387053631,-240404.19352262042,-454697.38665039185,-428415.81631623814
0.7000000000000001,-285028.12642845267,-244517.9426793636,-454098.21219560987,-432850.20553579053
0.75,-280898.7057361569,-247264.0209406198,-453909.3798947119,-436303.9858075781
0.8,-277620.5202480313,-248469.97070108438,-453785.868856544,-439235.2744597324
0.85,-274791.95884858526,-249378.667650195,-453769.7011581001,-441699.5988849056
0.9,-273391.97729187657,-250234.83122869668,-453818.6286929689,-443535.5806006651
0.9500000000000001,-272994.0783063605,-251594.60359759876,-453863.02352723293,-445116.15567026334
1.0,-271724.1548925714,-257097.346486864,-454477.30411105306,-448645.04088030115
