,CVL1,TrainL1,CVL2,TrainL2
0.1,-1606438.3102514402,-54685.41064422361,-407462.33205365995,-257989.62936211104
0.15000000000000002,-206745.7290779638,-68457.0360978479,-437450.58476742916,-267780.9666900732
0.2,-225716.48291603365,-67968.75698391834,-437369.48394046316,-264272.42602545314
0.25,-247891.5505020652,-67090.70046810279,-436037.1977044932,-262660.58785836335
0.30000000000000004,-264128.9660630812,-66593.5425066171,-431541.57908781414,-261980.99162511906
0.35,-210376.68762431727,-67010.95271930326,-438784.4250799494,-262785.31555920077
0.4,-227108.45793058,-70810.85249680899,-441396.55054639344,-268088.9810653759
0.45000000000000007,-222186.68230202474,-72501.30198419074,-445450.28732162964,-276328.2235401282
0.5,-218615.0823397048,-74605.48042239924,-449387.98679406027,-278432.7995350246
0.55,-217465.10766504463,-76188.38957932763,-436993.96215022414,-285110.5674443416
0.6,-246936.387120214,-77710.73353699352,-431812.569839677,-288353.1114382058
0.65,-261758.7152137843,-81429.22297990376,-388052.6083197572,-297177.83160983975
0.7000000000000001,-138667.23287005356,-82317.02646984001,-339274.9650875763,-305985.95636256883
0.75,-114049.01970988193,-85400.54677857124,-336988.3597312081,-309314.4261752706
0.8,-105769.90989174943,-85153.89599800177,-336383.74472071603,-311933.97650148015
0.85,-103818.76655534099,-84807.63405321098,-335761.2307330241,-314822.85728421237
0.9,-102908.39951136764,-85404.73867174858,-334448.4343368869,-316288.8513375871
0.9500000000000001,-101169.64672901231,-85374.60026053879,-334050.3005988463,-317868.5661961706
1.0,-102964.51448739883,-91268.93848263755,-338720.34464405605,-320064.6650661479
