,CVL1,TrainL1,CVL2,TrainL2
0.1,-1.8820077385482148,-1.6329691066908247,-1.8012525050753747,-1.5514389893724725
0.15000000000000002,-1.8456535620561851,-1.8019846227530636,-1.747720968928117,-1.6899926473182418
0.2,-1.8464631264785525,-1.712368913566761,-1.7348573422328255,-1.6074249984942912
0.25,-1.84249911838451,-1.6359130565603313,-1.7460221382061494,-1.5430760220867525
0.30000000000000004,-1.8406809775278075,-1.6170800451912855,-1.747732048468556,-1.530503518707448
0.35,-1.8397681678734763,-1.6378890858362756,-1.7433053765015294,-1.5462489415422158
0.4,-1.8445662833648915,-1.6682227041109972,-1.7412903331841179,-1.5709478759062185
0.45000000000000007,-1.8488156278422008,-1.6594439299780472,-1.7498548166155437,-1.5686502241485738
0.5,-1.8441929148500624,-1.635078458891099,-1.7500771494259801,-1.5511633159266203
0.55,-1.8498940109851933,-1.6025784771162623,-1.756902115858868,-1.524726878527352
0.6,-1.8436288618026198,-1.6025453006819894,-1.7543438113472252,-1.5288060519834679
0.65,-1.841966938817777,-1.6390131981762255,-1.7491959896424067,-1.5594362132246338
0.7000000000000001,-1.842931505309989,-1.6531427863588024,-1.7532582557858014,-1.5796782333141945
0.75,-1.8489784196322607,-1.6270952155775973,-1.761544365398161,-1.5604773271676824
0.8,-1.846666591715006,-1.6214636729607388,-1.7634910813225555,-1.5569516317524288
0.85,-1.8443399386356092,-1.6448958792084931,-1.7610515452695747,-1.5801308926767066
0.9,-1.844339549501182,-1.6643013044373063,-1.761420276627073,-1.6018178723782661
0.9500000000000001,-1.8479889185137188,-1.642901466234162,-1.7660981052446396,-1.5844821902818655
1.0,-1.8593167152114785,-1.8377565846278088,-1.772365742588248,-1.7173504759229647
