,CVL1,TrainL1,CVL2,TrainL2
0.1,-0.6966490136315112,-0.4089191627029908,-0.8177352474270144,-0.25908727625442485
0.15000000000000002,-0.7025280043983829,-0.4055402204333124,-0.6949617038679412,-0.27268390343439786
0.2,-0.6986973677859981,-0.4156816501510997,-0.6998522341982942,-0.27199442116351924
0.25,-0.7105228525274137,-0.40730293870229384,-0.7121504719175136,-0.25839858251816805
0.30000000000000004,-0.7409377545696973,-0.4151880183953143,-0.7431549061275433,-0.2639500339452299
0.35,-0.74741464984183,-0.40314635157537804,-0.7276651768460016,-0.2587796068261757
0.4,-0.73086277352364,-0.42156720053740393,-0.739258627810415,-0.28453342455550695
0.45000000000000007,-0.7407859296646798,-0.43567067850171065,-0.7428775924358415,-0.2960850090730608
0.5,-0.7782317207455003,-0.44701787707148055,-0.7717134014833334,-0.307546340828757
0.55,-0.7728052387031132,-0.47755800744126226,-0.7373569953346303,-0.3433453702570023
0.6,-0.7635289174098242,-0.5052818060485814,-0.7246905671505238,-0.36545880403829567
0.65,-0.7519799468575948,-0.5000035817946963,-0.6614772783482907,-0.3772281850045133
0.7000000000000001,-0.6666668625847845,-0.5378503014307923,-0.5731260515935499,-0.412865029004596
0.75,-0.6613685719767901,-0.5581375612902908,-0.5728426898953932,-0.43476232175614093
0.8,-0.6639368123191262,-0.5594547615608694,-0.5753862727706986,-0.4346974650264614
0.85,-0.6556817353582116,-0.5575677093087823,-0.5711213109338044,-0.4381663502591688
0.9,-0.6518162968512462,-0.5731564645697237,-0.570604926860798,-0.4545333125786913
0.9500000000000001,-0.6581909588537206,-0.5735795500735618,-0.5717777164996386,-0.45230414808033137
1.0,-0.6717666615518236,-0.5686517864005234,-0.5809166922496571,-0.4415430538297092
