,CVL1,TrainL1,CVL2,TrainL2
0.001,-120322833.5674268,-114957113.31019613,-122678924.88248505,-117123255.02614008
0.005,-120311860.4309669,-115205637.7480311,-133637587.80021231,-128262120.86973417
0.01,-120230479.88767228,-114882000.40485421,-144831730.32127404,-140235716.55000332
0.02,-120231319.16783118,-115084556.26652157,-161220848.0609196,-157771676.314561
0.04,-120176429.8422259,-115066904.05932575,-180952463.55197826,-178613943.67189193
0.06,-120212523.32385747,-115045471.30321212,-192432424.55809683,-190630840.99692285
0.08,-120245961.6127716,-115019531.36167215,-200020968.20041564,-198544466.19190142
0.1,-120276474.7467689,-115022669.38705944,-205474475.5213593,-204220383.12334082
0.2,-120152262.60012612,-115014571.65343393,-220017902.43212655,-219306713.45686284
0.4,-120401180.15422764,-115155359.94630744,-232778662.54460302,-232395117.2874235
0.6,-120373242.75161462,-115022880.09436339,-240939131.9767467,-240646139.9054935
0.8,-120410539.9921827,-115188228.24862199,-247513414.97505218,-247246582.52867603
1.0,-120453786.86705543,-115170482.36017713,-253134187.0299965,-252872460.8399499
1.3,-120701691.92904712,-115362361.37140608,-260289861.1013492,-260024571.33656985
1.7,-120700542.90511775,-115328287.9363608,-268084948.5550128,-267812405.16102213
2.0,-120850216.17009853,-115549183.06075741,-272954988.29016715,-272678571.60049856
5.0,-121933519.03555818,-116536984.25745004,-299691421.9756704,-299420653.10821646
10.0,-123679162.39621659,-117887120.02788359,-315797540.01095223,-315555613.7362481
50.0,-131395821.57747991,-124905277.54538369,-334989538.5717138,-334814441.72120935
100.0,-134608849.63463894,-131059349.17339197,-338049970.84349525,-337888757.10588616
